Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,11,-1.4448,37,0.39759,31,0.13835,28,-0.0961
ENSG00000188976,NOC2L,32,-0.7919,80,0.76578,51,-0.1246,46,-0.2641
ENSG00000188290,HES4,239,1.56713,67,-0.5824,85,-0.2673,81,-0.3032
ENSG00000187608,ISG15,221,1.13788,107,-0.0711,99,-0.2847,97,-0.2571
ENSG00000188157,AGRN,34,-0.0673,50,0.59624,37,0.05235,26,-0.6044
ENSG00000078808,SDF4,86,-0.1797,125,0.47627,85,-0.3193,100,0.06896
ENSG00000176022,B3GALT6,29,-0.3677,42,0.24575,33,-0.2957,43,0.29545
ENSG00000160087,UBE2J2,35,-0.6290,67,0.42430,50,-0.1337,54,0.03729
ENSG00000131584,ACAP3,62,-0.6507,113,0.31242,98,0.07760,89,-0.1246
ENSG00000127054,INTS11,56,-0.0333,69,0.31643,50,-0.3547,63,0.19053
ENSG00000224051,CPTP,21,-0.7384,39,0.20345,34,-0.0679,37,0.17068
ENSG00000107404,DVL1,75,-0.0606,70,-0.1939,72,-0.2160,95,0.40703
ENSG00000175756,AURKAIP1,171,0.09608,126,-0.4249,184,0.37849,142,-0.2367
ENSG00000221978,CCNL2,71,0.64258,57,0.33003,41,-0.3553,44,-0.1533
ENSG00000242485,MRPL20,199,0.12659,152,-0.3288,197,0.19101,178,-0.0661
ENSG00000235098,ANKRD65,26,0.10703,21,-0.2595,23,-0.1564,29,0.31689
ENSG00000179403,VWA1,35,-0.1761,37,-0.1333,19,-1.5224,77,1.56154
ENSG00000197785,ATAD3A,8,-1.0086,27,0.95448,14,-0.3433,15,-0.1302
ENSG00000205090,TMEM240,31,-0.6496,62,0.52287,48,0.07248,40,-0.3198
ENSG00000160075,SSU72,175,-0.2106,219,0.15285,230,0.38370,148,-0.5719
ENSG00000228594,FNDC10,31,-0.3509,43,0.21262,33,-0.3723,47,0.39907
ENSG00000272106,AL691432.2,15,-0.9757,26,-0.1386,33,0.43625,26,-0.1417
ENSG00000197530,MIB2,29,-0.6691,48,0.09321,48,0.15334,44,-0.0330
ENSG00000189339,SLC35E2B,21,-0.6207,36,0.21798,34,0.23989,27,-0.2672
ENSG00000215790,SLC35E2A,2,-3.3299,21,-0.3077,33,0.82281,22,-0.2310
ENSG00000008130,NADK,48,0.62625,35,0.12618,31,-0.1337,29,-0.2524
ENSG00000078369,GNB1,291,-0.6774,524,0.27742,497,0.27871,373,-0.3589
ENSG00000187730,GABRD,56,-1.2746,150,0.28240,161,0.68634,82,-0.8248
ENSG00000067606,PRKCZ,78,-1.4220,229,0.26086,220,0.29323,181,-0.1813
ENSG00000162585,FAAP20,46,0.05376,37,-0.3479,37,-0.4758,63,0.72486
ENSG00000157933,SKI,36,-0.3333,31,-0.6179,36,-0.5299,71,1.03211
ENSG00000157916,RER1,83,0.14222,79,0.06367,80,0.12011,66,-0.2727
ENSG00000157911,PEX10,16,-0.9689,28,-0.1026,35,0.46211,27,-0.2049
ENSG00000149527,PLCH2,5,-2.6413,34,0.25467,42,1.11743,14,-1.3174
ENSG00000157881,PANK4,18,-0.1130,21,0.12701,18,-0.2451,22,0.24203
ENSG00000197921,HES5,8,-1.7821,20,-0.4103,24,-0.1611,38,0.83889
ENSG00000157870,PRXL2B,49,-0.6039,99,0.56085,76,0.12868,57,-0.4562
ENSG00000177133,PRDM16-DT,25,-0.0016,11,-1.2896,22,-0.3901,41,1.05049
ENSG00000158109,TPRG1L,154,-0.4016,253,0.43876,213,0.18544,154,-0.4826
ENSG00000116213,WRAP73,13,-0.2205,16,0.16046,15,0.00405,14,-0.0436
ENSG00000130764,LRRC47,36,-0.9142,99,0.78068,58,-0.2823,64,-0.0439
ENSG00000116198,CEP104,24,0.24932,19,-0.1802,13,-0.9673,33,1.01410
ENSG00000196581,AJAP1,10,-2.1240,44,0.13857,50,0.58244,34,-0.3617
ENSG00000069424,KCNAB2,161,-0.8291,261,-0.0919,339,0.61074,216,-0.4599
ENSG00000116254,CHD5,78,-1.1895,190,0.20917,182,0.19217,165,-0.0501
ENSG00000116251,RPL22,1237,0.92494,398,-0.9547,611,-0.3585,888,0.48147
ENSG00000116237,ICMT,26,-0.5689,46,0.32499,46,0.52822,24,-0.8393
ENSG00000158292,GPR153,2,-3.3430,21,-0.0937,21,-0.2212,33,0.83630
ENSG00000097021,ACOT7,133,-0.7973,292,0.49757,257,0.40427,148,-0.7500
ENSG00000215788,TNFRSF25,16,-0.5509,23,0.04583,30,0.85418,12,-1.1047
ENSG00000171680,PLEKHG5,25,-0.5493,45,0.39697,43,0.52912,21,-0.9380
ENSG00000162408,NOL9,22,-1.0185,53,0.35669,34,-0.5726,59,0.66162
ENSG00000162413,KLHL21,18,-1.1535,36,-0.0804,36,-0.1389,49,0.53793
ENSG00000116273,PHF13,15,-0.5447,31,0.72699,20,-0.1276,18,-0.2939
ENSG00000041988,THAP3,9,-1.1997,22,0.14548,23,0.45396,16,-0.3450
ENSG00000007923,DNAJC11,17,-1.1142,50,0.56390,39,0.18007,30,-0.3862
ENSG00000171735,CAMTA1,195,-0.1206,216,0.04559,207,-0.0430,218,0.06704
ENSG00000049245,VAMP3,79,1.33377,23,-0.7457,17,-1.5953,61,1.21564
ENSG00000049246,PER3,26,-0.5532,31,-0.3043,39,0.07439,44,0.30314
ENSG00000116288,PARK7,356,-0.0113,290,-0.3666,377,0.13853,374,0.08302
ENSG00000116285,ERRFI1,81,2.06980,24,-0.0651,19,-0.6015,16,-0.8258
ENSG00000162426,SLC45A1,20,-0.4822,49,1.07271,23,-0.4343,24,-0.3021
ENSG00000142599,RERE,66,-0.9680,120,-0.0639,140,0.32111,121,-0.0494
ENSG00000074800,ENO1,481,-0.4574,632,-0.0339,684,0.16371,640,-0.0127
ENSG00000171612,SLC25A33,16,-1.2582,33,-0.2115,36,-0.1007,49,0.59479
ENSG00000188807,TMEM201,1,-3.6016,22,0.59216,16,-0.0139,17,0.11443
ENSG00000171603,CLSTN1,406,-0.6835,961,0.78598,634,0.01680,478,-0.5232
ENSG00000178585,CTNNBIP1,32,-0.0876,45,0.48443,25,-0.7068,43,0.45067
ENSG00000162441,LZIC,46,0.42101,34,-0.0852,32,-0.2156,38,0.12977
ENSG00000130939,UBE4B,23,-0.8824,65,0.86282,39,-0.1405,35,-0.3264
ENSG00000054523,KIF1B,139,-1.1859,373,0.39481,287,-0.1161,327,0.17281
ENSG00000142657,PGD,46,-0.1078,68,0.59836,41,-0.4520,51,0.08649
ENSG00000241563,CORT,25,-2.4395,38,-1.9381,46,-2.0478,354,3.07289
ENSG00000160049,DFFA,33,-0.0257,30,-0.1613,26,-0.5965,48,0.76655
ENSG00000142655,PEX14,16,-1.0060,38,0.29893,34,0.18565,29,-0.1600
ENSG00000120948,TARDBP,85,0.28436,86,0.32251,66,-0.2051,67,-0.1362
ENSG00000116649,SRM,69,-0.9385,127,-0.0078,143,0.33442,120,-0.1163
ENSG00000171824,EXOSC10,30,0.30696,30,0.33642,18,-0.8088,32,0.51208
ENSG00000198793,MTOR,38,-0.3179,51,0.15484,58,0.65232,27,-0.9735
ENSG00000116661,FBXO2,201,-0.3041,206,-0.2953,245,0.00941,283,0.29822
ENSG00000132879,FBXO44,98,-0.7326,204,0.46486,166,0.12597,134,-0.3099
ENSG00000116670,MAD2L2,15,-0.8461,31,0.31986,25,-0.0650,27,0.10050
ENSG00000177000,MTHFR,22,0.41398,15,-0.1714,17,-0.0009,16,-0.0697
ENSG00000011021,CLCN6,32,-1.1919,96,0.60363,61,-0.2917,76,0.19672
ENSG00000116685,KIAA2013,49,0.40012,48,0.43720,26,-0.8335,46,0.41616
ENSG00000083444,PLOD1,34,0.59763,22,-0.0904,19,-0.4961,28,0.35717
ENSG00000116688,MFN2,55,-0.8032,116,0.39819,87,-0.1727,101,0.15275
ENSG00000116691,MIIP,30,1.08818,21,0.54891,11,-0.8432,15,-0.0778
ENSG00000048707,VPS13D,43,-0.1350,54,0.24419,48,0.03426,43,-0.1874
