Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,11,-1.4448,41,0.52918,33,0.15736,40,0.46330,45,0.67257,36,0.31360,18,-0.8578,45,0.65529,22,-0.4295,18,-0.7939
ENSG00000188976,NOC2L,32,-0.7919,86,0.77678,75,0.55320,45,-0.2694,41,-0.3976,39,-0.4877,64,0.33970,68,0.40648,33,-0.7238,37,-0.5526
ENSG00000188290,HES4,239,1.56713,67,-0.5367,67,-0.5306,104,0.15081,89,-0.0989,84,-0.1869,75,-0.4130,85,-0.1761,55,-0.8387,103,0.13294
ENSG00000187608,ISG15,221,1.13788,79,-0.5365,135,0.30717,103,-0.1250,70,-0.7226,139,0.35410,93,-0.3130,84,-0.4442,91,-0.3160,117,0.08698
ENSG00000188157,AGRN,34,-0.0673,57,0.73829,43,0.28337,44,0.32799,37,0.05127,23,-0.6532,39,0.15506,9,-2.0407,39,0.14800,29,-0.3156
ENSG00000078808,SDF4,86,-0.1797,116,0.30291,134,0.53198,117,0.30791,71,-0.4785,88,-0.1362,74,-0.4501,105,0.12977,88,-0.1371,106,0.15739
ENSG00000176022,B3GALT6,29,-0.3677,51,0.51777,34,-0.1381,29,-0.3503,24,-0.6834,43,0.24524,34,-0.1481,56,0.65553,39,0.06854,34,-0.1216
ENSG00000160087,UBE2J2,35,-0.6290,70,0.43537,65,0.31427,52,-0.0421,42,-0.3764,57,0.11471,51,-0.0777,71,0.45965,51,-0.0657,41,-0.4148
ENSG00000131584,ACAP3,62,-0.6507,168,0.93881,58,-0.7694,63,-0.6363,95,-0.0029,122,0.40036,105,0.17112,71,-0.4544,109,0.21542,88,-0.1269
ENSG00000127054,INTS11,56,-0.0333,81,0.55296,56,-0.0371,45,-0.3736,35,-0.7649,73,0.37864,48,-0.3071,82,0.56243,56,-0.0518,53,-0.1431
ENSG00000224051,CPTP,21,-0.7384,45,0.41222,33,-0.0823,39,0.20976,36,0.05901,22,-0.7090,35,0.05197,46,0.45143,31,-0.1490,36,0.04967
ENSG00000107404,DVL1,75,-0.0606,67,-0.2437,73,-0.1101,69,-0.1913,54,-0.5749,123,0.72837,57,-0.5450,102,0.42125,82,0.07242,102,0.43186
ENSG00000175756,AURKAIP1,171,0.09608,116,-0.5070,135,-0.2761,213,0.45255,197,0.32181,196,0.31290,158,-0.0370,116,-0.5115,123,-0.4173,188,0.24885
ENSG00000221978,CCNL2,71,0.64258,64,0.49162,50,0.07132,58,0.31458,38,-0.3516,55,0.22088,28,-0.8943,48,0.03268,42,-0.2064,41,-0.2092
ENSG00000242485,MRPL20,199,0.12659,182,-0.0188,122,-0.6351,181,-0.0233,230,0.35456,198,0.11820,189,0.04653,196,0.09637,147,-0.3523,191,0.06158
ENSG00000235098,ANKRD65,26,0.10703,15,-0.7158,27,0.13869,22,-0.1398,28,0.18996,24,-0.0591,21,-0.2807,31,0.37816,21,-0.2809,35,0.54500
ENSG00000179403,VWA1,35,-0.1761,9,-2.2582,65,0.79658,14,-1.5874,27,-0.5732,20,-1.0395,18,-1.2904,42,0.07303,121,1.92283,68,0.87811
ENSG00000197785,ATAD3A,8,-1.0086,33,1.19552,20,0.37312,17,0.09760,19,0.32082,16,-0.0170,8,-1.0191,13,-0.2526,12,-0.4401,19,0.29254
ENSG00000205090,TMEM240,31,-0.6496,52,0.15778,73,0.72277,39,-0.2893,57,0.32717,63,0.46651,41,-0.2383,48,0.05682,47,0.02156,23,-1.0970
ENSG00000160075,SSU72,175,-0.2106,188,-0.0983,249,0.34472,309,0.70118,215,0.10821,171,-0.2546,228,0.22707,149,-0.4666,146,-0.4971,149,-0.4592
ENSG00000228594,FNDC10,31,-0.3509,47,0.33022,39,0.03779,40,0.07612,51,0.46329,20,-0.9607,27,-0.6211,63,0.79018,48,0.34823,30,-0.3983
ENSG00000272106,AL691432.2,15,-0.9757,34,0.28277,18,-0.6606,27,-0.0717,30,0.08526,42,0.63631,33,0.28148,12,-1.2643,31,0.16535,35,0.34758
ENSG00000197530,MIB2,29,-0.6691,45,0.00857,50,0.15563,52,0.22972,29,-0.6714,50,0.16440,54,0.31174,67,0.64377,39,-0.2435,27,-0.7756
ENSG00000189339,SLC35E2B,21,-0.6207,35,0.14035,37,0.24735,33,0.08051,24,-0.4216,48,0.66904,34,0.11247,26,-0.3005,27,-0.2167,29,-0.1394
ENSG00000215790,SLC35E2A,2,-3.3299,27,0.12331,15,-0.8092,34,0.47758,41,0.77175,46,0.97445,23,-0.1849,16,-0.7303,24,-0.0674,27,0.12247
ENSG00000008130,NADK,48,0.62625,40,0.32199,30,-0.1235,46,0.54980,42,0.39461,25,-0.4391,21,-0.7169,29,-0.2083,25,-0.3854,32,-0.0397
ENSG00000078369,GNB1,291,-0.6774,472,0.07950,577,0.40073,528,0.25701,338,-0.4460,602,0.47084,509,0.22223,427,-0.0808,358,-0.3544,333,-0.4703
ENSG00000187730,GABRD,56,-1.2746,237,1.01593,62,-1.1004,140,0.13845,146,0.21085,208,0.79285,157,0.36301,108,-0.2677,54,-1.3212,84,-0.6595
ENSG00000067606,PRKCZ,78,-1.4220,236,0.27557,223,0.18848,198,-0.0012,166,-0.2789,260,0.43293,239,0.33817,218,0.15442,178,-0.1700,145,-0.4837
ENSG00000162585,FAAP20,46,0.05376,29,-0.6972,45,-0.0062,47,0.05896,49,0.15357,19,-1.3222,35,-0.4276,60,0.45898,59,0.44259,70,0.72851
ENSG00000157933,SKI,36,-0.3333,40,-0.1713,22,-1.0880,46,0.05041,17,-1.4612,37,-0.2997,40,-0.2017,128,1.80065,49,0.15674,37,-0.2949
ENSG00000157916,RER1,83,0.14222,83,0.14160,75,-0.0314,90,0.27128,82,0.11819,50,-0.6533,88,0.25737,51,-0.6200,65,-0.2609,83,0.13202
ENSG00000157911,PEX10,16,-0.9689,30,0.02016,26,-0.2134,36,0.29772,32,0.11433,48,0.77723,30,-0.0079,18,-0.7589,30,0.01717,32,0.11616
ENSG00000149527,PLCH2,5,-2.6413,41,0.51665,27,-0.1173,60,1.15549,64,1.28711,29,-0.0340,29,-0.0516,5,-2.4395,7,-2.0437,29,-0.0335
ENSG00000157881,PANK4,18,-0.1130,18,-0.1352,24,0.33245,14,-0.4538,29,0.65373,20,0.01506,12,-0.7447,37,1.06073,10,-0.9492,18,-0.0988
ENSG00000197921,HES5,8,-1.7821,18,-0.5733,23,-0.1961,29,0.17030,19,-0.4377,33,0.37061,20,-0.4176,22,-0.2255,46,0.94454,46,0.94333
ENSG00000157870,PRXL2B,49,-0.6039,87,0.28054,111,0.68581,83,0.20531,73,0.00432,98,0.48619,64,-0.2295,35,-1.1078,78,0.11745,58,-0.3565
ENSG00000177133,PRDM16-DT,25,-0.0016,10,-1.4154,13,-1.0137,32,0.35711,20,-0.3880,27,0.09319,15,-0.8794,28,0.15527,44,0.90989,50,1.12240
ENSG00000158109,TPRG1L,154,-0.4016,266,0.46911,241,0.30401,199,0.00286,210,0.08391,257,0.40855,200,0.00633,157,-0.3681,177,-0.1817,128,-0.6823
ENSG00000116213,WRAP73,13,-0.2205,21,0.55426,11,-0.3897,11,-0.3979,15,0.06305,14,-0.0891,17,0.20740,16,0.15532,12,-0.3152,15,0.02175
ENSG00000130764,LRRC47,36,-0.9142,106,0.79038,92,0.56453,61,-0.0903,56,-0.2395,74,0.21531,49,-0.4655,58,-0.1665,69,0.10038,63,-0.0499
ENSG00000116198,CEP104,24,0.24932,14,-0.5427,23,0.14758,15,-0.4466,12,-0.7721,17,-0.2817,11,-1.0136,58,1.74297,26,0.37378,15,-0.5133
ENSG00000196581,AJAP1,10,-2.1240,63,0.69994,25,-0.7316,62,0.66549,36,-0.1892,58,0.56850,47,0.24492,41,0.00503,33,-0.3388,27,-0.6114
ENSG00000069424,KCNAB2,161,-0.8291,275,-0.0036,248,-0.1661,344,0.35963,296,0.11756,431,0.72947,312,0.22475,253,-0.1323,191,-0.5717,204,-0.4644
ENSG00000116254,CHD5,78,-1.1895,175,0.04921,206,0.31474,194,0.21737,190,0.18806,134,-0.3599,195,0.24983,221,0.43062,154,-0.1468,119,-0.5418
ENSG00000116251,RPL22,1237,0.92494,416,-0.8189,381,-0.9499,512,-0.4980,451,-0.6936,794,0.19103,648,-0.1473,809,0.21986,893,0.38115,962,0.50266
ENSG00000116237,ICMT,26,-0.5689,50,0.44122,41,0.12304,65,0.86460,30,-0.3875,36,-0.0708,49,0.45784,27,-0.5153,15,-1.4297,30,-0.3641
ENSG00000158292,GPR153,2,-3.3430,29,0.41466,13,-0.7885,14,-0.6868,19,-0.2166,27,0.28757,21,-0.1140,61,1.69719,12,-0.8982,26,0.23424
ENSG00000097021,ACOT7,133,-0.7973,394,0.94021,190,-0.2448,194,-0.2173,216,-0.0431,295,0.45792,289,0.47528,161,-0.5026,135,-0.7735,149,-0.6191
ENSG00000215788,TNFRSF25,16,-0.5509,37,0.80418,9,-1.3426,66,1.82637,12,-0.9755,19,-0.2528,27,0.28794,6,-1.9633,10,-1.1744,20,-0.1811
ENSG00000171680,PLEKHG5,25,-0.5493,70,1.09782,19,-0.9237,37,0.03536,30,-0.2654,46,0.40431,51,0.65595,26,-0.4667,19,-0.9346,18,-1.0362
ENSG00000162408,NOL9,22,-1.0185,49,0.19568,56,0.43045,30,-0.5703,38,-0.2118,29,-0.6004,37,-0.2805,91,1.23508,45,0.08475,41,-0.0895
ENSG00000162413,KLHL21,18,-1.1535,33,-0.2339,40,0.07509,51,0.46804,31,-0.3120,29,-0.4338,35,-0.1610,68,0.94126,40,0.08153,40,0.08250
ENSG00000116273,PHF13,15,-0.5447,34,0.77723,28,0.48265,23,0.16659,19,-0.1306,19,-0.1541,19,-0.1626,19,-0.1757,18,-0.2313,17,-0.3151
ENSG00000041988,THAP3,9,-1.1997,19,-0.0453,24,0.29021,28,0.54633,23,0.20280,18,-0.1390,24,0.33673,23,0.24658,15,-0.4017,11,-0.8806
ENSG00000007923,DNAJC11,17,-1.1142,41,0.19878,58,0.75408,43,0.27970,59,0.77237,35,-0.0444,29,-0.4122,28,-0.3945,36,-0.0332,25,-0.5670
ENSG00000171735,CAMTA1,195,-0.1206,181,-0.2405,252,0.28383,193,-0.1360,199,-0.0880,191,-0.1526,226,0.12647,247,0.25072,179,-0.2587,229,0.12910
ENSG00000049245,VAMP3,79,1.33377,10,-1.9451,36,0.01382,15,-1.2806,12,-1.5760,28,-0.3557,14,-1.5246,46,0.41958,80,1.35747,56,0.74518
