Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,10,-1.1444,20,-0.0982,36,0.89525,27,0.52931,13,-0.7834,8,-1.3851,14,-0.7219
ENSG00000188976,NOC2L,39,-0.5865,52,-0.1539,94,0.87757,65,0.24674,40,-0.5829,22,-1.4679,48,-0.3299
ENSG00000188290,HES4,57,-0.8221,83,-0.2471,46,-1.1981,70,-0.6575,418,2.60901,69,-0.5291,83,-0.2606
ENSG00000187608,ISG15,42,-0.3899,32,-0.7960,31,-0.9097,44,-0.4387,209,2.34989,69,0.38074,32,-0.8941
ENSG00000188157,AGRN,45,0.38695,35,-0.0171,37,0.06176,39,0.20845,50,0.55580,28,-0.3452,18,-1.0553
ENSG00000078808,SDF4,109,0.30176,61,-0.5869,86,-0.0769,97,0.15404,116,0.39741,85,-0.0954,76,-0.2975
ENSG00000176022,B3GALT6,32,-0.2312,57,0.65841,52,0.58733,44,0.35932,4,-3.2260,13,-1.5905,32,-0.2744
ENSG00000160087,UBE2J2,46,-0.4708,49,-0.3545,85,0.57290,68,0.19850,24,-1.4448,99,0.74578,42,-0.6420
ENSG00000162572,SCNN1D,15,0.29033,4,-1.5080,15,0.33812,18,0.87487,2,-2.1821,1,-2.9240,11,-0.0988
ENSG00000131584,ACAP3,110,-0.0499,151,0.45228,152,0.51662,105,-0.1773,70,-0.7437,68,-0.7816,122,0.11326
ENSG00000169972,PUSL1,6,-1.3045,21,0.64858,14,0.05170,13,-0.0506,33,1.39138,6,-1.2045,9,-0.6654
ENSG00000127054,INTS11,86,0.55291,46,-0.4335,74,0.34984,62,0.06275,27,-1.2244,56,-0.1095,57,-0.0929
ENSG00000224051,CPTP,20,-0.7542,22,-0.6105,45,0.59371,44,0.70091,10,-1.7224,14,-1.2789,29,-0.1857
ENSG00000107404,DVL1,78,0.13741,93,0.40823,62,-0.2564,73,0.01985,55,-0.4148,83,0.21780,70,-0.0472
ENSG00000175756,AURKAIP1,120,-0.4345,270,0.86382,120,-0.4668,150,-0.1171,288,0.97129,144,-0.1496,120,-0.4716
ENSG00000221978,CCNL2,84,0.31968,60,-0.2078,86,0.40874,70,0.04975,89,0.41956,37,-0.9377,49,-0.5447
ENSG00000224870,MRPL20-AS1,17,0.30786,27,1.02214,12,-0.2965,15,0.07192,16,0.18233,10,-0.4575,9,-0.8028
ENSG00000242485,MRPL20,155,-0.2523,331,0.96825,167,-0.1502,155,-0.3458,276,0.66094,197,0.12213,139,-0.4546
ENSG00000179403,VWA1,295,3.14802,9,-2.6356,21,-1.5132,16,-2.1847,124,1.35656,16,-1.7966,53,-0.0656
ENSG00000160072,ATAD3B,3,-2.4792,11,-0.6969,29,0.86857,17,-0.0560,39,1.29850,7,-1.3181,13,-0.5433
ENSG00000197785,ATAD3A,9,-1.2892,22,0.06847,33,0.76358,29,0.75564,5,-2.0565,8,-1.3645,14,-0.6886
ENSG00000205090,TMEM240,5,-3.2762,54,0.15732,87,1.08593,57,0.33857,26,-0.9339,22,-1.2207,38,-0.4165
ENSG00000160075,SSU72,94,-0.8352,161,-0.0169,159,-0.0377,169,0.08341,192,0.26350,224,0.51053,143,-0.2187
ENSG00000228594,FNDC10,9,-2.4583,75,0.71621,68,0.63670,52,0.17469,10,-2.2510,49,0.04807,43,-0.1673
ENSG00000272106,AL691432.2,55,0.60953,52,0.52463,29,-0.4309,40,0.13332,25,-0.6062,31,-0.2728,34,-0.1486
ENSG00000197530,MIB2,46,-0.0759,67,0.50606,57,0.28003,55,0.28405,43,-0.2114,19,-1.4236,37,-0.4610
ENSG00000189339,SLC35E2B,30,-0.9179,41,-0.4585,54,-0.0255,67,0.43732,91,0.80717,41,-0.4558,41,-0.4892
ENSG00000008128,CDK11A,18,0.69049,9,-0.4335,19,0.84500,9,-0.5416,0,-5.0808,17,0.56788,12,0.00951
ENSG00000008130,NADK,36,-0.0218,44,0.28324,42,0.23446,33,-0.2314,68,1.00800,30,-0.3226,23,-0.7434
ENSG00000078369,GNB1,316,-0.3373,409,0.06427,380,-0.0583,491,0.51462,324,-0.3010,405,0.04721,268,-0.6407
ENSG00000187730,GABRD,9,-2.8487,71,0.20958,85,0.55196,84,0.68014,27,-1.2782,28,-1.2013,55,-0.2179
ENSG00000067606,PRKCZ,100,-1.0507,254,0.38286,318,0.85385,219,0.20675,116,-0.8313,163,-0.3158,124,-0.7862
ENSG00000162585,FAAP20,76,0.15981,71,0.04254,62,-0.1842,63,-0.1764,105,0.68371,33,-1.1102,82,0.30344
ENSG00000157933,SKI,49,0.61946,55,0.83152,36,0.14028,17,-1.2270,59,0.94341,11,-1.6432,40,0.36215
ENSG00000157916,RER1,101,0.48365,61,-0.3020,54,-0.5532,96,0.58761,58,-0.3844,51,-0.5953,66,-0.2065
ENSG00000157911,PEX10,58,0.73946,50,0.51867,27,-0.4708,33,-0.1903,31,-0.2669,39,0.10936,35,-0.0422
ENSG00000149527,PLCH2,35,0.41307,9,-1.6511,6,-2.3206,57,2.21639,11,-1.3359,2,-3.4270,13,-1.1413
ENSG00000157881,PANK4,19,-0.1331,15,-0.4798,22,0.14850,29,0.88252,20,-0.0461,4,-2.2538,12,-0.8239
ENSG00000197921,HES5,1,-5.1465,68,0.19946,27,-1.2550,46,-0.5240,204,2.11996,28,-1.1308,88,0.69432
ENSG00000272449,AL139246.5,1,-3.6746,20,-0.0938,12,-0.9924,19,-0.2964,74,2.10845,32,0.61074,17,-0.4174
