Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,15,-0.4922,18,-0.2709,17,-0.2798,18,-0.2070,15,-0.4668,48,1.46418
ENSG00000188976,NOC2L,27,-1.1156,52,-0.1482,51,-0.1236,64,0.26643,62,0.19597,77,0.53873
ENSG00000188290,HES4,89,0.59016,59,-0.1188,53,-0.2389,64,0.05623,45,-0.5003,69,0.17001
ENSG00000187608,ISG15,69,0.18748,62,0.01980,55,-0.1621,56,-0.1503,49,-0.3620,80,0.43544
ENSG00000188157,AGRN,30,-0.3225,40,0.25907,30,-0.2903,37,0.01254,30,-0.2828,39,0.09766
ENSG00000078808,SDF4,86,0.08427,65,-0.5033,87,0.08831,81,-0.0182,117,0.57895,106,0.41163
ENSG00000176022,B3GALT6,27,-0.0790,25,-0.3304,31,0.09435,33,0.25874,28,-0.0312,36,0.34913
ENSG00000160087,UBE2J2,26,-0.7556,44,0.14184,22,-0.9800,44,0.09118,43,0.06327,62,0.63083
ENSG00000131584,ACAP3,92,-0.5469,132,0.02634,87,-0.6339,122,-0.1322,146,0.17980,211,0.78401
ENSG00000127054,INTS11,57,-0.2471,43,-0.9246,81,0.31743,76,0.24854,83,0.35901,120,0.97387
ENSG00000224051,CPTP,35,0.43953,14,-1.3009,25,-0.0895,34,0.49902,23,-0.2394,57,1.29688
ENSG00000107404,DVL1,95,0.40326,62,-0.4085,91,0.32422,58,-0.4389,86,0.22850,108,0.60468
ENSG00000175756,AURKAIP1,97,-0.3022,133,0.30316,100,-0.2579,112,-0.0886,99,-0.2791,126,0.10541
ENSG00000221978,CCNL2,47,-0.1862,41,-0.5850,64,0.28750,86,0.92502,57,0.11419,29,-0.9414
ENSG00000242485,MRPL20,145,-0.2268,163,-0.0686,142,-0.2596,186,0.18660,164,-0.0381,202,0.30345
ENSG00000179403,VWA1,47,1.09670,22,-0.2448,19,-0.3215,14,-0.9353,44,0.99390,17,-0.5729
ENSG00000197785,ATAD3A,15,-0.1842,17,0.02619,16,-0.0864,19,0.12993,15,-0.1769,19,0.11682
ENSG00000205090,TMEM240,22,-0.8972,42,0.18641,54,0.53843,38,-0.0661,32,-0.3096,38,-0.0268
ENSG00000160075,SSU72,131,-0.5707,176,-0.1687,224,0.27293,220,0.27796,215,0.20690,176,-0.1078
ENSG00000228594,FNDC10,42,-0.1207,46,0.02651,35,-0.4342,42,-0.1499,44,-0.0733,68,0.63874
ENSG00000272106,AL691432.2,20,-0.4304,23,-0.3605,9,-1.6378,32,0.29876,24,-0.1782,60,1.36886
ENSG00000197530,MIB2,38,-0.3661,54,0.33119,37,-0.3899,39,-0.3694,47,-0.0175,60,0.36627
ENSG00000189339,SLC35E2B,17,-0.4075,25,0.32481,23,0.02973,24,0.09300,17,-0.4223,17,-0.3789
ENSG00000215790,SLC35E2A,18,-0.7335,28,-0.1227,31,0.10300,34,0.27934,16,-0.8858,48,0.79342
ENSG00000008130,NADK,24,-0.0564,19,-0.5537,14,-0.8368,22,-0.2171,58,1.43474,31,0.35715
ENSG00000078369,GNB1,405,-0.3327,496,-0.0182,553,0.16240,546,0.16022,426,-0.2548,539,0.12122
ENSG00000187730,GABRD,90,-1.0157,148,-0.3646,154,-0.1819,252,0.70953,210,0.31481,184,0.09295
ENSG00000067606,PRKCZ,139,-0.7033,246,0.30601,207,-0.0808,233,0.12372,199,-0.1367,181,-0.2886
ENSG00000162585,FAAP20,64,0.64811,44,0.09209,53,0.34979,29,-0.6627,38,-0.1697,37,-0.2403
ENSG00000157933,SKI,41,0.38870,24,-0.6691,28,-0.2259,34,0.09143,53,0.81754,38,0.25045
ENSG00000157916,RER1,33,-0.8781,54,-0.1541,55,-0.0917,71,0.36054,85,0.61628,49,-0.2507
ENSG00000157911,PEX10,37,0.38357,26,-0.2372,17,-0.7732,21,-0.5690,50,0.91726,39,0.47098
ENSG00000149527,PLCH2,32,0.03973,32,0.08600,37,0.29100,36,0.27258,26,-0.2571,14,-1.1905
ENSG00000157881,PANK4,10,-0.9475,18,-0.0927,13,-0.5718,19,0.04475,28,0.64369,26,0.53153
ENSG00000157870,PRXL2B,64,0.10292,49,-0.4691,48,-0.3494,62,0.06399,90,0.66925,78,0.43720
ENSG00000177133,PRDM16-DT,43,0.82949,20,-0.5276,19,-0.4369,17,-0.6925,61,1.46164,19,-0.4598
ENSG00000158109,TPRG1L,108,-1.0110,199,-0.1007,255,0.33418,251,0.35067,215,0.05860,199,-0.0639
ENSG00000116213,WRAP73,11,-0.3439,10,-0.6744,16,0.24762,18,0.60343,13,0.02096,18,0.44937
ENSG00000130764,LRRC47,46,-0.6331,50,-0.6843,127,1.01788,88,0.44983,74,0.10722,65,-0.0849
ENSG00000196581,AJAP1,18,-1.2487,39,-0.0732,49,0.33364,38,-0.0838,56,0.53497,46,0.22732
ENSG00000069424,KCNAB2,259,-0.1186,302,0.19860,188,-0.6160,267,-0.0746,374,0.47727,224,-0.3475
ENSG00000116254,CHD5,88,-0.8030,150,0.04393,201,0.51384,133,-0.1767,130,-0.1981,186,0.38171
ENSG00000116251,RPL22,639,0.42243,603,0.52366,390,-0.3707,368,-0.5088,321,-0.6726,430,-0.2165
ENSG00000116237,ICMT,24,-0.3889,25,-0.5247,27,-0.2481,38,0.36141,49,0.73138,38,0.30558
ENSG00000158292,GPR153,13,-0.2653,15,-0.0725,21,0.42583,13,-0.4002,27,0.85396,11,-0.5397
ENSG00000097021,ACOT7,147,-1.0832,254,-0.3479,281,-0.0766,497,1.01795,220,-0.4649,297,0.00792
