Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to9,Feature log2 fold change topic 3to9
ENSG00000188976,NOC2L,131,1.13522,64,-0.0798,59,-0.7277
ENSG00000188290,HES4,30,-1.4868,224,1.88022,65,-0.9637
ENSG00000187608,ISG15,30,-1.3361,138,1.13462,67,-0.3171
ENSG00000078808,SDF4,30,-1.3731,187,1.66579,63,-0.7857
ENSG00000160087,UBE2J2,30,-0.6199,26,-0.8113,49,0.79108
ENSG00000131584,ACAP3,36,-1.6095,60,-0.8409,118,1.29055
ENSG00000127054,INTS11,30,-0.8816,72,0.51910,53,0.05715
ENSG00000224051,CPTP,30,-0.4360,71,0.99150,36,-0.4707
ENSG00000107404,DVL1,30,-1.4086,46,-0.7637,85,1.15752
ENSG00000175756,AURKAIP1,30,-2.1232,55,-1.2183,143,1.73844
ENSG00000221978,CCNL2,30,-1.2165,136,1.25123,61,-0.4473
ENSG00000242485,MRPL20,30,-2.4806,124,-0.3447,176,1.18675
ENSG00000205090,TMEM240,30,-1.0276,7,-3.0342,69,1.86349
ENSG00000160075,SSU72,39,-1.9950,141,-0.0372,160,0.82367
ENSG00000228594,FNDC10,87,1.02198,39,-0.3070,43,-0.5449
ENSG00000197530,MIB2,30,-0.3090,26,-0.5485,39,0.47625
ENSG00000189339,SLC35E2B,30,-0.2175,0,-6.4465,40,1.38676
ENSG00000078369,GNB1,47,-3.2206,271,-0.6173,468,1.55577
ENSG00000187730,GABRD,30,-2.5289,68,-1.3158,190,1.94650
ENSG00000067606,PRKCZ,51,-2.1051,33,-2.7229,247,2.54036
ENSG00000162585,FAAP20,30,-0.7398,91,1.08608,44,-0.4401
ENSG00000157933,SKI,30,-0.9433,71,0.41556,56,0.15741
ENSG00000157916,RER1,30,-1.0518,50,-0.2646,64,0.68265
ENSG00000157870,PRXL2B,30,-1.2997,75,0.12071,74,0.50108
ENSG00000158109,TPRG1L,30,-2.7610,136,-0.4915,215,1.36653
ENSG00000130764,LRRC47,595,3.03156,49,-1.5017,76,-2.0837
ENSG00000196581,AJAP1,30,-0.8267,14,-1.9027,59,1.39193
