"cluster","carrier_AA","carrier_EA","anc_E2","anc_E4"
"Astro.1",17,2,2,95
"Astro.2",2,0,1,0
"Astro.3",0,0,1,1
"Astro.4",0,0,2,0
"Astro.5",0,0,0,0
"Macro",0,0,0,0
"Micro.1",15,1,4,3
"Micro.2",0,0,0,0
"Micro.3",0,3,3,2
"Micro.4",3,3,3,0
"Micro.5",0,0,0,0
"OPC.1",1,0,1,2
"OPC.2",0,0,1,0
"OPC.3",1,1,1,1
"OPC.4",4,0,3,3
"OPC.5",0,1,0,0
"Oligo.1",0,0,6,15
"Oligo.2",0,3,4,17
"Oligo.3",5,225,0,36
"Oligo.4",0,0,0,2
"Oligo.5",0,1,0,5
"Vasc.Endo",2,59,0,1
"Vasc.VLMC",3,1,0,0
"Excit.L2",0,0,0,0
"Excit.L2_5.1",0,0,0,0
"Excit.L2_5.2",0,1,2,0
"Excit.L5.1",0,1,1,0
"Excit.L5.2",175,0,0,0
"Excit.L6_CT",0,0,0,0
"Excit.L6b",0,0,0,0
"Inhib.Chandelier",0,0,0,8
"Inhib.Lamp5_Lhx6",0,0,0,0
"Inhib.Pvalb",0,0,0,0
"Inhib.Sst",0,0,0,1
"Inhib.Vip",0,0,1,4
