gene_id,gene_name,nnsvg_avg_rank,n,top.svg
ENSG00000197971,MBP,2,31,TRUE
ENSG00000131095,GFAP,9.290322580645162,31,TRUE
ENSG00000106809,OGN,10,1,FALSE
ENSG00000123560,PLP1,10.516129032258064,31,TRUE
ENSG00000118271,TTR,12.666666666666666,18,TRUE
ENSG00000132639,SNAP25,19.64516129032258,31,TRUE
ENSG00000154146,NRGN,26.548387096774192,31,TRUE
ENSG00000142173,COL6A2,29,1,FALSE
ENSG00000165507,DEPP1,29.5,2,FALSE
ENSG00000171617,ENC1,29.580645161290324,31,TRUE
ENSG00000164707,SLC13A4,31.5,2,FALSE
ENSG00000128656,CHN1,36.70967741935484,31,TRUE
ENSG00000187094,CCK,36.8,30,TRUE
ENSG00000133392,MYH11,37,3,FALSE
ENSG00000115457,IGFBP2,43,1,FALSE
ENSG00000107796,ACTA2,46.6,10,TRUE
ENSG00000104888,SLC17A7,48.29032258064516,31,TRUE
ENSG00000123416,TUBA1B,48.58064516129032,31,TRUE
ENSG00000105519,CAPS,49,1,FALSE
ENSG00000154277,UCHL1,49.45161290322581,31,TRUE
ENSG00000171476,HOPX,50.833333333333336,30,TRUE
ENSG00000130558,OLFM1,51,31,TRUE
ENSG00000164692,COL1A2,51.5,2,FALSE
ENSG00000067715,SYT1,53.67741935483871,31,TRUE
ENSG00000176788,BASP1,53.806451612903224,31,TRUE
ENSG00000277586,NEFL,54.16129032258065,31,TRUE
ENSG00000163032,VSNL1,54.93333333333333,30,TRUE
ENSG00000110436,SLC1A2,55.806451612903224,31,TRUE
ENSG00000049540,ELN,56,1,FALSE
ENSG00000244734,HBB,57.064516129032256,31,TRUE
ENSG00000128245,YWHAH,57.3,30,TRUE
ENSG00000150625,GPM6A,57.903225806451616,31,TRUE
ENSG00000006327,TNFRSF12A,58,1,FALSE
ENSG00000143013,LMO4,59.096774193548384,31,TRUE
ENSG00000137267,TUBB2A,59.666666666666664,30,TRUE
ENSG00000221890,NPTXR,60.41935483870968,31,TRUE
ENSG00000104435,STMN2,62.13333333333333,30,TRUE
ENSG00000171246,NPTX1,62.45161290322581,31,TRUE
ENSG00000166426,CRABP1,62.666666666666664,3,FALSE
ENSG00000196154,S100A4,64,2,FALSE
ENSG00000101439,CST3,64.87096774193549,31,TRUE
ENSG00000130176,CNN1,68,1,FALSE
ENSG00000173110,HSPA6,68,1,FALSE
ENSG00000269028,MTRNR2L12,68.96774193548387,31,TRUE
ENSG00000111341,MGP,69.66666666666667,12,TRUE
