Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,146,3.04474,2,-4.0170,40,0.44011,17,-1.1733,6,-2.5238,0,-5.6382
ENSG00000188976,NOC2L,146,1.81698,47,-0.1850,64,0.36202,29,-1.1590,17,-1.6947,51,-0.0690
ENSG00000188290,HES4,146,-0.1117,776,3.27861,64,-1.5118,84,-1.2004,13,-3.7129,97,-0.7545
ENSG00000187608,ISG15,146,0.40484,144,0.38194,129,0.23070,109,-0.1094,60,-1.0167,95,-0.3035
ENSG00000188157,AGRN,146,1.84759,80,0.71614,53,0.03436,29,-1.1070,19,-1.5259,29,-0.8947
ENSG00000078808,SDF4,146,0.76776,182,1.15949,74,-0.4039,60,-0.8439,41,-1.2490,134,0.61648
ENSG00000176022,B3GALT6,146,1.81613,46,-0.2331,52,-0.0216,41,-0.4987,16,-1.8153,39,-0.4669
ENSG00000160087,UBE2J2,146,1.61008,55,-0.1027,71,0.37805,36,-0.9630,24,-1.3420,51,-0.2080
ENSG00000131584,ACAP3,146,0.52959,93,-0.2193,163,0.84829,84,-0.4816,67,-0.7230,73,-0.5947
ENSG00000127054,INTS11,146,1.38196,117,0.96458,54,-0.3515,44,-0.8138,57,-0.2307,34,-1.0346
ENSG00000224051,CPTP,146,2.10425,36,-0.4084,49,0.09553,36,-0.4849,22,-1.1101,5,-3.3023
ENSG00000107404,DVL1,146,0.79751,147,0.80451,78,-0.2670,62,-0.7602,67,-0.4863,115,0.38836
ENSG00000175756,AURKAIP1,146,-0.3400,211,0.25115,171,-0.1090,210,0.33110,141,-0.4033,161,-0.1906
ENSG00000221978,CCNL2,146,1.15917,108,0.62308,62,-0.3170,47,-0.9113,60,-0.3284,89,0.29803
ENSG00000242485,MRPL20,146,-0.3297,152,-0.2680,209,0.28297,156,-0.2959,182,0.02287,252,0.55825
ENSG00000179403,VWA1,146,1.00662,160,1.17245,21,-2.2083,26,-2.0563,90,0.17597,212,1.70946
ENSG00000205090,TMEM240,146,1.39951,8,-3.1067,112,1.10881,59,-0.2070,12,-2.5295,19,-1.8719
ENSG00000160075,SSU72,146,-0.0750,111,-0.5070,167,0.15526,163,0.14063,123,-0.3476,175,0.21773
ENSG00000228594,FNDC10,146,1.79858,33,-0.7701,61,0.24873,53,0.00356,14,-2.0547,5,-3.3492
ENSG00000197530,MIB2,146,1.67750,50,-0.1938,59,0.08665,41,-0.6326,25,-1.2359,45,-0.3587
ENSG00000008130,NADK,146,2.55642,36,-0.0934,13,-1.7721,29,-0.5734,8,-2.3040,40,0.09815
ENSG00000078369,GNB1,146,-1.4712,339,-0.1722,425,0.22120,466,0.48198,223,-0.8306,443,0.26140
ENSG00000187730,GABRD,146,0.66833,20,-2.3839,192,1.43235,103,0.10701,6,-4.0562,15,-2.7674
ENSG00000067606,PRKCZ,146,-0.5171,85,-1.3563,331,0.99624,246,0.43780,134,-0.6560,59,-1.8821
ENSG00000162585,FAAP20,146,0.63057,135,0.49562,49,-1.2324,107,0.15502,99,-0.0125,101,0.00898
ENSG00000157933,SKI,146,1.41710,86,0.47135,44,-0.6835,40,-0.9327,68,0.08104,74,0.21430
ENSG00000157916,RER1,146,0.98637,147,0.99153,55,-0.6967,55,-0.7758,79,-0.0619,88,0.12029
ENSG00000157911,PEX10,146,1.90649,8,-2.7986,36,-0.6077,34,-0.7834,29,-0.8677,99,1.14157
ENSG00000149527,PLCH2,146,2.66330,15,-1.3608,34,-0.1424,21,-1.0219,4,-3.1319,31,-0.2619
ENSG00000157870,PRXL2B,146,1.47896,19,-1.8310,94,0.81288,53,-0.3409,33,-1.0099,18,-1.9187
ENSG00000177133,PRDM16-DT,146,3.01020,38,0.28244,0,-5.9301,33,0.05585,3,-3.4390,2,-3.9158
ENSG00000158109,TPRG1L,146,-0.0371,81,-0.9707,278,1.29317,146,-0.0489,59,-1.4361,67,-1.2592
ENSG00000130764,LRRC47,146,0.82178,40,-1.2433,122,0.60279,93,0.06794,40,-1.2487,58,-0.6787
ENSG00000196581,AJAP1,146,2.51969,30,-0.3984,39,0.00234,28,-0.6583,4,-3.1282,6,-2.7154
ENSG00000069424,KCNAB2,146,-0.3624,28,-2.8570,262,0.69948,256,0.79864,40,-2.3060,145,-0.3792
ENSG00000116254,CHD5,146,0.32191,11,-3.5813,236,1.43497,133,0.21557,36,-1.8589,19,-2.7640
ENSG00000116251,RPL22,146,-2.2244,1270,1.21856,341,-1.0530,467,-0.5944,1118,0.98631,1016,0.81551
ENSG00000116237,ICMT,146,2.07871,49,0.08080,48,0.06333,25,-1.2099,28,-0.8010,26,-0.8921
ENSG00000097021,ACOT7,146,-0.7011,88,-1.4733,435,1.36249,241,0.12351,93,-1.3926,131,-0.8717
ENSG00000171680,PLEKHG5,146,2.31674,22,-1.0266,61,0.74190,23,-1.1419,6,-2.9200,13,-1.8230
ENSG00000162408,NOL9,146,1.92086,44,-0.2282,48,-0.0824,36,-0.6507,18,-1.6011,40,-0.3608
ENSG00000162413,KLHL21,146,2.28818,45,0.10290,28,-0.7348,26,-0.9478,8,-2.4689,49,0.23303
ENSG00000007923,DNAJC11,146,1.91028,23,-1.2073,58,0.26883,44,-0.2935,28,-0.8956,9,-2.5999
ENSG00000171735,CAMTA1,146,-0.0022,92,-0.7316,214,0.75179,134,-0.1862,76,-1.0226,173,0.26970
ENSG00000049245,VAMP3,146,1.35999,124,1.05840,14,-2.5054,27,-1.6825,104,0.74977,117,0.94679
ENSG00000049246,PER3,146,2.37561,8,-2.3656,12,-1.9461,27,-0.8274,35,-0.2373,73,0.98315
ENSG00000116288,PARK7,146,-1.1816,233,-0.4624,273,-0.2410,413,0.65867,241,-0.4091,401,0.41387
ENSG00000162426,SLC45A1,146,2.41794,32,-0.3504,43,0.12619,26,-0.8400,3,-3.5835,16,-1.4459
ENSG00000142599,RERE,146,1.02186,44,-0.9493,110,0.61264,57,-0.6675,37,-1.1797,102,0.39307
ENSG00000074800,ENO1,146,-2.2647,628,-0.0389,718,0.20893,704,0.20037,428,-0.6446,1036,0.80261
ENSG00000142583,SLC2A5,146,1.91494,32,-0.7156,23,-1.3037,26,-1.2755,61,0.30505,91,1.00205
ENSG00000171612,SLC25A33,146,1.91376,14,-1.9323,19,-1.5835,39,-0.5215,13,-2.0591,125,1.59135
ENSG00000171603,CLSTN1,146,-1.6676,117,-1.9990,914,1.64411,372,-0.3071,132,-1.8269,536,0.35983
ENSG00000178585,CTNNBIP1,146,1.69998,48,-0.2483,52,-0.1341,53,-0.1352,25,-1.2490,23,-1.3548
ENSG00000162441,LZIC,146,2.01394,48,0.00806,23,-1.2471,38,-0.4792,56,0.26000,22,-1.2110
ENSG00000130939,UBE4B,146,2.06762,32,-0.6214,48,0.04097,27,-1.0578,31,-0.6277,36,-0.4217
ENSG00000054523,KIF1B,146,-0.5592,41,-2.4768,307,0.77032,216,0.07760,183,-0.2064,242,0.24533
ENSG00000142657,PGD,146,1.73100,44,-0.3667,42,-0.4678,38,-0.7343,48,-0.2060,59,0.10206
ENSG00000241563,CORT,146,1.08720,0,-7.1189,136,1.15594,57,-0.5988,14,-2.6070,92,0.28227
ENSG00000160049,DFFA,146,2.34960,1,-4.7311,21,-1.1281,31,-0.5839,21,-1.0368,69,0.84144
ENSG00000142655,PEX14,146,2.73203,18,-1.0440,33,-0.1240,16,-1.4752,14,-1.4420,27,-0.4277
ENSG00000120948,TARDBP,146,1.43697,32,-1.0672,56,-0.2549,48,-0.5696,61,-0.0863,81,0.38496
ENSG00000116649,SRM,146,0.48455,110,0.01962,129,0.31701,119,0.19676,68,-0.7534,42,-1.4812
ENSG00000171824,EXOSC10,146,2.34576,35,-0.2673,22,-1.0811,21,-1.2703,17,-1.3283,67,0.80545
ENSG00000198793,MTOR,146,2.32826,14,-1.6194,51,0.39352,32,-0.5380,0,-7.1601,17,-1.3962
ENSG00000116661,FBXO2,146,-1.1781,146,-1.1785,238,-0.4809,235,-0.5668,394,0.38937,932,1.99354
ENSG00000132879,FBXO44,146,-0.0297,13,-3.6619,285,1.37002,165,0.22924,60,-1.4120,56,-1.5134
ENSG00000116670,MAD2L2,146,2.71382,34,-0.0622,8,-2.4398,21,-1.0593,43,0.31894,20,-0.8682
ENSG00000011021,CLCN6,146,1.74476,20,-1.5233,83,0.81211,30,-1.1775,16,-1.8861,57,0.05984
ENSG00000116685,KIAA2013,146,1.86262,60,0.24576,63,0.36309,19,-1.8111,34,-0.6621,43,-0.3074
ENSG00000083444,PLOD1,146,2.04660,93,1.13962,31,-0.7264,13,-2.2137,15,-1.7539,70,0.64203
ENSG00000116688,MFN2,146,1.02978,18,-2.2254,132,1.02182,55,-0.7526,65,-0.3212,60,-0.4523
ENSG00000048707,VPS13D,146,1.65839,46,-0.3405,54,-0.0930,38,-0.8035,33,-0.8717,67,0.24876
ENSG00000162496,DHRS3,146,1.29375,72,0.06722,26,-1.6470,46,-0.8030,82,0.28009,132,1.10169
ENSG00000116731,PRDM2,146,1.54091,46,-0.4474,62,0.03091,48,-0.4669,54,-0.1941,32,-0.9894
ENSG00000189337,KAZN,146,1.66397,34,-0.8199,40,-0.6304,39,-0.7282,52,-0.1372,83,0.61237
ENSG00000142634,EFHD2,146,0.26841,12,-3.5151,159,0.47623,156,0.52814,115,-0.1253,58,-1.1842
ENSG00000116786,PLEKHM2,146,0.91424,52,-0.7873,70,-0.3484,82,-0.0843,59,-0.5726,123,0.61327
ENSG00000065526,SPEN,146,2.02070,88,1.03000,38,-0.3954,16,-1.9533,31,-0.6786,41,-0.2538
ENSG00000185519,FAM131C,146,2.90815,15,-1.2309,14,-1.4740,27,-0.4281,16,-1.1523,14,-1.3123
ENSG00000055070,SZRD1,146,1.84751,105,1.19807,13,-2.2295,25,-1.3611,34,-0.6503,81,0.74026
ENSG00000159363,ATP13A2,146,0.02779,36,-2.0944,190,0.53871,193,0.69271,40,-1.9674,113,-0.3861
ENSG00000117118,SDHB,146,1.07047,89,0.21850,75,-0.0593,76,-0.0510,31,-1.4049,56,-0.5371
ENSG00000117115,PADI2,146,1.01812,38,-1.1781,19,-2.3541,17,-2.7172,302,2.51412,149,1.04873
ENSG00000074964,ARHGEF10L,146,2.29207,69,0.79932,21,-1.2135,31,-0.6076,23,-0.9419,9,-2.3610
ENSG00000117154,IGSF21,146,1.51861,14,-2.2261,76,0.39469,58,-0.1199,30,-1.0982,37,-0.8012
ENSG00000159423,ALDH4A1,146,1.85563,47,-0.1568,19,-1.6761,35,-0.7669,31,-0.8096,99,1.10562
ENSG00000127463,EMC1,146,2.35899,71,0.90039,25,-0.8332,21,-1.2733,14,-1.6050,26,-0.7090
ENSG00000053372,MRTO4,146,1.61473,52,-0.1841,60,0.04208,38,-0.8644,38,-0.6950,58,-0.0221
ENSG00000053371,AKR7A2,146,1.21343,54,-0.4694,28,-1.5949,58,-0.4525,70,-0.0504,150,1.26288
