Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000188976,NOC2L,36,-0.8859,111,1.00680,52,-0.3208,47,-0.4898,83,0.46775,62,-0.0388,51,-0.3497
ENSG00000188290,HES4,340,1.64669,76,-0.9941,85,-0.8251,148,0.08482,150,0.10472,95,-0.6451,94,-0.6601
ENSG00000187608,ISG15,266,1.49856,74,-0.7559,69,-0.8802,78,-0.6748,129,0.14462,134,0.21610,78,-0.6723
ENSG00000188157,AGRN,88,1.03328,54,0.14719,34,-0.6112,63,0.41979,22,-1.2392,52,0.08849,32,-0.7063
ENSG00000078808,SDF4,75,-0.4747,107,0.10393,101,0.01791,167,0.89596,89,-0.1927,80,-0.3669,83,-0.3145
ENSG00000176022,B3GALT6,32,-0.1851,54,0.68678,41,0.20921,25,-0.5932,34,-0.1147,38,0.06799,30,-0.3244
ENSG00000160087,UBE2J2,12,-2.2230,89,0.99637,38,-0.4731,73,0.61937,41,-0.3371,65,0.42020,38,-0.4903
ENSG00000131584,ACAP3,148,-0.0695,186,0.32301,96,-0.7683,136,-0.2059,177,0.23677,221,0.62458,115,-0.4842
ENSG00000127054,INTS11,87,0.32184,95,0.47593,69,-0.0642,38,-1.0213,78,0.13829,76,0.09560,60,-0.2911
ENSG00000224051,CPTP,75,0.35238,58,-0.0787,36,-0.8518,60,-0.0377,84,0.54623,84,0.53506,31,-1.0655
ENSG00000107404,DVL1,56,-1.0275,88,-0.3090,86,-0.3461,98,-0.1257,175,0.88571,116,0.14629,124,0.25873
ENSG00000175756,AURKAIP1,156,-0.2641,150,-0.3278,186,0.03057,160,-0.2144,251,0.54935,190,0.06638,186,0.02712
ENSG00000221978,CCNL2,132,1.67283,62,0.24322,26,-1.1685,51,-0.0825,24,-1.2842,43,-0.3860,40,-0.4904
ENSG00000242485,MRPL20,142,-0.2374,161,-0.0366,208,0.40289,113,-0.6085,172,0.08177,193,0.27748,160,-0.0429
ENSG00000179403,VWA1,144,1.30277,19,-2.0316,77,0.14460,102,0.63104,67,-0.0905,16,-2.2631,69,-0.0359
ENSG00000205090,TMEM240,25,-1.6018,98,0.59448,34,-1.1108,56,-0.3516,79,0.22186,90,0.44352,103,0.69258
ENSG00000160075,SSU72,191,0.08094,220,0.32964,165,-0.1564,195,0.11967,248,0.54051,109,-0.8311,143,-0.3907
ENSG00000228594,FNDC10,54,-0.0085,54,-0.0245,44,-0.3547,43,-0.3730,72,0.47863,68,0.37742,46,-0.2716
ENSG00000197530,MIB2,8,-2.4476,51,0.47132,42,0.16383,34,-0.2236,36,-0.1148,53,0.54938,46,0.30712
ENSG00000215790,SLC35E2A,15,-0.8957,38,0.60003,38,0.61099,26,-0.0723,18,-0.6657,24,-0.2006,29,0.13450
ENSG00000008130,NADK,17,-1.0002,50,0.74977,38,0.25302,30,-0.1065,53,0.85632,19,-0.8815,20,-0.7587
ENSG00000078369,GNB1,277,-0.3861,439,0.38957,358,0.04112,306,-0.2232,377,0.12865,375,0.12060,315,-0.1723
ENSG00000187730,GABRD,17,-2.6899,185,1.16175,73,-0.4609,55,-0.9049,117,0.31646,158,0.85122,75,-0.4248
ENSG00000067606,PRKCZ,105,-0.8896,277,0.72493,77,-1.3689,170,-0.1244,200,0.15607,276,0.72132,174,-0.0814
ENSG00000162585,FAAP20,98,0.23143,52,-0.7996,103,0.31965,81,-0.0838,67,-0.4036,82,-0.0637,115,0.50675
ENSG00000157933,SKI,38,-0.5089,71,0.53020,41,-0.4060,54,0.04578,51,-0.0562,57,0.14364,55,0.07119
ENSG00000157916,RER1,46,-0.6407,104,0.73584,80,0.27111,92,0.50990,61,-0.1949,39,-0.9206,57,-0.3046
ENSG00000157911,PEX10,18,-1.3657,28,-0.7186,69,0.81601,43,-0.0161,42,-0.0310,62,0.61671,41,-0.0928
ENSG00000149527,PLCH2,35,0.22015,46,0.68158,20,-0.7126,23,-0.4923,40,0.44507,28,-0.1516,24,-0.3898
ENSG00000197921,HES5,3,-4.8581,54,-0.6531,128,0.81448,169,1.34918,129,0.82798,48,-0.8353,34,-1.3848
ENSG00000157870,PRXL2B,75,-0.6876,163,0.60317,102,-0.1955,83,-0.5283,123,0.11739,175,0.73418,83,-0.5314
ENSG00000177133,PRDM16-DT,51,-0.4350,24,-1.5749,88,0.49967,162,1.68989,46,-0.5738,45,-0.6241,45,-0.6075
ENSG00000158109,TPRG1L,61,-1.1406,217,0.99383,98,-0.3818,143,0.24291,77,-0.7723,185,0.69631,87,-0.5714
ENSG00000130764,LRRC47,17,-1.9067,88,0.74325,63,0.15402,74,0.44753,68,0.27939,60,0.07690,32,-0.9400
ENSG00000196581,AJAP1,48,0.20319,79,1.13046,19,-1.2571,24,-0.9152,21,-1.0825,77,1.05867,28,-0.6730
ENSG00000069424,KCNAB2,142,-0.9278,404,0.83472,154,-0.7952,220,-0.2234,274,0.14489,283,0.20016,284,0.20827
ENSG00000116254,CHD5,81,-1.8516,363,0.54521,207,-0.4070,242,-0.1473,243,-0.1394,404,0.73995,312,0.28310
ENSG00000116251,RPL22,994,0.63531,365,-1.0251,682,-0.0208,551,-0.3716,644,-0.1149,662,-0.0691,933,0.52093
ENSG00000116237,ICMT,13,-1.4792,58,0.91070,34,-0.0483,44,0.40108,47,0.51421,30,-0.2197,16,-1.1837
ENSG00000158292,GPR153,15,-1.1137,37,0.31335,20,-0.7247,25,-0.3738,53,0.93518,26,-0.2677,41,0.47496
ENSG00000097021,ACOT7,44,-1.3991,201,1.15293,77,-0.5331,66,-0.7804,118,0.18179,153,0.63652,84,-0.3780
ENSG00000215788,TNFRSF25,39,0.60359,59,1.38767,9,-1.7470,17,-0.7646,21,-0.4369,18,-0.7019,30,0.13902
ENSG00000171680,PLEKHG5,19,-1.1542,86,1.44802,12,-1.7659,37,-0.0691,27,-0.5613,61,0.78431,30,-0.4397
ENSG00000162408,NOL9,38,-0.1562,66,0.77135,25,-0.8399,21,-1.1045,38,-0.1747,56,0.47600,52,0.34251
ENSG00000162413,KLHL21,31,-0.2906,36,-0.0814,40,0.11466,49,0.44272,24,-0.7107,39,0.08303,43,0.23483
ENSG00000007923,DNAJC11,1,-5.3553,56,0.44607,41,-0.0901,35,-0.3493,65,0.71106,72,0.92386,31,-0.5027
ENSG00000171735,CAMTA1,289,-0.1701,275,-0.2485,236,-0.5007,297,-0.1210,465,0.65358,368,0.23854,308,-0.0623
ENSG00000049245,VAMP3,72,0.52192,15,-1.9074,58,0.15771,75,0.60243,65,0.33523,29,-0.9570,57,0.11441
ENSG00000049246,PER3,25,-0.6130,35,-0.0422,55,0.72137,60,0.88925,34,-0.0998,25,-0.6032,19,-0.9876
ENSG00000116288,PARK7,298,-0.2369,218,-0.7429,470,0.54420,374,0.14445,405,0.28131,360,0.07660,280,-0.3374
ENSG00000162426,SLC45A1,0,-5.2829,49,1.20639,18,-0.4808,33,0.47892,40,0.84014,18,-0.5264,15,-0.7658
ENSG00000142599,RERE,133,-0.0738,158,0.21386,138,-0.0133,111,-0.3750,155,0.18684,124,-0.1938,155,0.18262
ENSG00000074800,ENO1,375,-1.3410,744,-0.2565,1243,0.62424,1753,1.28139,953,0.15761,517,-0.8408,494,-0.9144
ENSG00000171612,SLC25A33,45,-0.7066,28,-1.4688,143,1.29177,115,0.86664,81,0.24944,47,-0.6661,33,-1.2084
ENSG00000171603,CLSTN1,404,-0.4058,914,1.01867,361,-0.5863,628,0.33422,434,-0.2900,477,-0.1357,400,-0.4224
ENSG00000178585,CTNNBIP1,36,-0.0465,24,-0.7173,31,-0.3052,39,0.06390,59,0.79062,51,0.53014,22,-0.8617
ENSG00000162441,LZIC,54,0.28711,26,-0.9197,71,0.78234,58,0.42223,23,-1.0820,47,0.06545,39,-0.2462
ENSG00000130939,UBE4B,17,-1.1426,50,0.57214,32,-0.1886,24,-0.6263,64,1.03218,30,-0.3105,33,-0.1130
ENSG00000054523,KIF1B,198,-0.8721,382,0.19950,250,-0.4999,452,0.49542,440,0.44516,260,-0.4376,394,0.25297
ENSG00000142657,PGD,40,-0.4970,53,-0.0498,33,-0.8192,89,0.85972,61,0.17090,59,0.13176,48,-0.2251
ENSG00000160049,DFFA,72,0.72103,55,0.24520,54,0.20184,45,-0.1153,49,0.04949,16,-1.7473,44,-0.1458
ENSG00000120948,TARDBP,42,-0.7120,98,0.72797,57,-0.2100,52,-0.3436,96,0.68810,37,-0.8837,70,0.13560
ENSG00000116649,SRM,129,-0.1262,143,0.04236,116,-0.2994,158,0.22131,186,0.50528,148,0.10693,93,-0.6572
ENSG00000198793,MTOR,22,-0.9373,57,0.64953,41,0.08965,52,0.48585,48,0.35803,30,-0.4129,23,-0.8332
ENSG00000116661,FBXO2,409,0.03105,267,-0.6655,472,0.27591,419,0.07483,517,0.43733,327,-0.3357,397,-0.0174
ENSG00000132879,FBXO44,57,-1.5892,287,1.08272,95,-0.8081,170,0.13826,226,0.63203,143,-0.1504,119,-0.4480
ENSG00000116670,MAD2L2,39,0.05694,53,0.60431,26,-0.5918,55,0.66093,35,-0.1227,28,-0.5032,27,-0.5220
ENSG00000011021,CLCN6,58,-0.2084,122,1.12318,62,-0.0873,78,0.30790,36,-0.9705,53,-0.3556,49,-0.4710
ENSG00000116685,KIAA2013,37,-0.1698,65,0.81242,35,-0.2625,52,0.40221,59,0.61852,15,-1.5503,24,-0.8532
ENSG00000083444,PLOD1,68,0.99373,24,-0.7542,51,0.45412,49,0.40483,29,-0.4504,37,-0.0842,13,-1.6729
ENSG00000116688,MFN2,62,-0.4174,117,0.65057,75,-0.1193,51,-0.7331,90,0.17954,54,-0.6633,115,0.61653
ENSG00000048707,VPS13D,20,-1.3069,45,-0.0028,33,-0.4844,57,0.41194,65,0.64371,55,0.32947,40,-0.2017
ENSG00000162496,DHRS3,74,0.76056,17,-1.6435,86,1.05503,80,0.91466,25,-1.0414,26,-0.9754,26,-0.9419
ENSG00000116731,PRDM2,68,-0.2692,123,0.76431,48,-0.8201,66,-0.3097,87,0.14377,71,-0.1809,94,0.29141
ENSG00000189337,KAZN,19,-0.7699,28,-0.1252,31,0.03823,18,-0.8847,28,-0.1743,45,0.68111,45,0.67283
ENSG00000142634,EFHD2,77,1.23918,45,0.23779,33,-0.2379,27,-0.5801,27,-0.6021,5,-3.1143,57,0.68607
ENSG00000116786,PLEKHM2,59,-1.0750,103,-0.2031,144,0.36511,104,-0.1934,128,0.16281,152,0.46260,124,0.10799
ENSG00000065526,SPEN,78,0.59838,64,0.25863,45,-0.3428,57,0.04722,51,-0.1456,27,-1.1196,65,0.26677
ENSG00000055070,SZRD1,31,-0.7947,32,-0.7488,80,0.76650,51,-0.0189,49,-0.0878,65,0.39060,52,0.02617
ENSG00000159363,ATP13A2,24,-2.3526,125,0.18373,78,-0.5948,101,-0.1692,181,0.85135,147,0.47330,126,0.21044
ENSG00000117118,SDHB,119,0.73066,85,0.13843,46,-0.8413,112,0.62966,65,-0.3138,55,-0.5792,65,-0.2944
ENSG00000117115,PADI2,82,0.38834,21,-1.7590,83,0.41188,93,0.61220,72,0.18490,62,-0.0659,42,-0.7037
ENSG00000117154,IGSF21,92,0.76237,84,0.59467,51,-0.2594,41,-0.5915,69,0.23783,44,-0.5086,36,-0.7958
ENSG00000159423,ALDH4A1,35,-1.4672,31,-1.6462,157,1.04211,169,1.18314,106,0.31329,69,-0.3863,48,-0.9805
ENSG00000127463,EMC1,23,-0.2881,35,0.42937,41,0.68348,29,0.08759,19,-0.5839,19,-0.5794,26,-0.0999
ENSG00000053372,MRTO4,3,-3.7072,45,0.28314,25,-0.6393,49,0.43679,62,0.87225,26,-0.5797,54,0.62045
ENSG00000053371,AKR7A2,44,-1.0584,50,-0.8568,174,1.30069,111,0.46281,94,0.17608,71,-0.2928,51,-0.8330
ENSG00000077549,CAPZB,218,-0.0539,378,0.91865,183,-0.3448,211,-0.1123,195,-0.2425,192,-0.2656,201,-0.1928
ENSG00000173436,MICOS10,263,-0.4991,263,-0.5016,399,0.19043,355,-0.0056,380,0.10641,414,0.25277,423,0.28937
ENSG00000158747,NBL1,521,1.28974,225,-0.2157,133,-1.0522,228,-0.1968,289,0.20165,166,-0.7064,234,-0.1557
ENSG00000162545,CAMK2N1,796,-0.4981,1538,0.62018,727,-0.6434,954,-0.2027,702,-0.6986,1760,0.86882,1064,-0.0203
ENSG00000158828,PINK1,266,-0.4553,315,-0.1776,330,-0.1036,285,-0.3433,363,0.05970,495,0.59765,401,0.22856
ENSG00000127483,HP1BP3,214,0.30654,174,-0.0458,174,-0.0441,216,0.32535,193,0.12983,167,-0.1159,113,-0.7413
ENSG00000075151,EIF4G3,135,0.08613,188,0.66449,81,-0.7481,107,-0.2973,75,-0.8719,186,0.65131,126,-0.0329
ENSG00000076864,RAP1GAP,57,-1.1183,246,1.39673,83,-0.5451,101,-0.2151,139,0.32489,77,-0.6553,103,-0.1929
ENSG00000090686,USP48,34,-0.1113,29,-0.4098,16,-1.2828,40,0.15594,53,0.63750,59,0.82106,26,-0.5724
ENSG00000070831,CDC42,181,0.04266,223,0.39782,166,-0.1003,178,0.01257,144,-0.3417,178,0.01221,167,-0.0968
ENSG00000004487,KDM1A,1,-5.0980,77,1.13275,50,0.35414,41,-0.0055,30,-0.5101,57,0.58002,30,-0.5021
ENSG00000169641,LUZP1,51,0.00017,69,0.52714,77,0.71174,38,-0.4789,34,-0.6659,38,-0.4758,50,-0.0321
ENSG00000125944,HNRNPR,104,0.14054,98,0.03973,118,0.36046,78,-0.3335,54,-0.9222,154,0.84752,62,-0.6853
ENSG00000117318,ID3,478,4.05003,15,-2.7363,37,-1.4648,31,-1.7266,47,-1.0727,18,-2.4964,22,-2.2213
ENSG00000142676,RPL11,1128,0.99081,321,-1.1249,904,0.58091,384,-0.8485,320,-1.1311,498,-0.4312,975,0.71839
ENSG00000057757,PITHD1,70,-0.5359,157,0.85256,83,-0.2551,94,-0.0407,111,0.23308,75,-0.4203,87,-0.1697
ENSG00000011009,LYPLA2,40,-0.4619,76,0.63136,41,-0.4015,67,0.40308,43,-0.3270,58,0.16783,44,-0.2996
ENSG00000189266,PNRC2,154,1.30187,75,-0.0064,90,0.30185,63,-0.3072,39,-1.0419,52,-0.6017,54,-0.5302
ENSG00000188529,SRSF10,60,0.26654,62,0.33740,61,0.30340,68,0.48321,38,-0.4919,35,-0.6287,34,-0.6462
ENSG00000001461,NIPAL3,28,-0.6430,46,0.17251,47,0.20033,23,-0.9568,36,-0.2443,55,0.45531,58,0.55125
ENSG00000133226,SRRM1,103,0.58445,79,0.12614,83,0.20465,38,-1.0370,74,0.00957,37,-1.0814,99,0.52316
ENSG00000169504,CLIC4,275,2.88229,16,-2.2456,52,-0.5110,37,-1.0230,49,-0.5888,18,-2.1317,48,-0.6203
ENSG00000117614,SYF2,99,0.33815,71,-0.2277,89,0.15073,71,-0.2362,69,-0.2832,98,0.31785,73,-0.1725
