metric,name,value,form,cell_type
Min.,APOE_carrier,0,carrier,Inhib
Min.,exp_round,0,carrier,Inhib
Min.,seq_round,0,carrier,Inhib
Min.,Sex,0,carrier,Inhib
Min.,Anc_Afr,1.3343333349051406e-12,carrier,Inhib
Min.,Age,1.1394909697038765e-10,carrier,Inhib
Min.,Rin,2.7675948342176187e-11,carrier,Inhib
Min.,pseudo_expr_chrM_ratio,1.3927616256325251e-11,carrier,Inhib
Min.,ncells,6.037792914515746e-11,carrier,Inhib
Min.,Residuals,0.0018183296937170242,carrier,Inhib
1st Qu.,APOE_carrier,0,carrier,Inhib
1st Qu.,exp_round,0,carrier,Inhib
1st Qu.,seq_round,0,carrier,Inhib
1st Qu.,Sex,0,carrier,Inhib
1st Qu.,Anc_Afr,0.003470951521602415,carrier,Inhib
1st Qu.,Age,0.0028462853396681712,carrier,Inhib
1st Qu.,Rin,0.003966895360083388,carrier,Inhib
1st Qu.,pseudo_expr_chrM_ratio,0.0076681494174402915,carrier,Inhib
1st Qu.,ncells,0.006038552082109282,carrier,Inhib
1st Qu.,Residuals,0.5720673636626501,carrier,Inhib
Median,APOE_carrier,0,carrier,Inhib
Median,exp_round,7.3727053464034805e-19,carrier,Inhib
Median,seq_round,0,carrier,Inhib
Median,Sex,0,carrier,Inhib
Median,Anc_Afr,0.01545571344808436,carrier,Inhib
Median,Age,0.01302862350143246,carrier,Inhib
Median,Rin,0.016579198254583885,carrier,Inhib
Median,pseudo_expr_chrM_ratio,0.03105328981294201,carrier,Inhib
Median,ncells,0.02629575531255072,carrier,Inhib
Median,Residuals,0.7095386606611916,carrier,Inhib
Mean,APOE_carrier,0.017852953400690482,carrier,Inhib
Mean,exp_round,0.06480768016743749,carrier,Inhib
Mean,seq_round,0.009973296877417265,carrier,Inhib
Mean,Sex,0.008065502943250044,carrier,Inhib
Mean,Anc_Afr,0.03227482831010234,carrier,Inhib
Mean,Age,0.028995727485946213,carrier,Inhib
Mean,Rin,0.03451500561523582,carrier,Inhib
Mean,pseudo_expr_chrM_ratio,0.06772614950760764,carrier,Inhib
Mean,ncells,0.04942743224708086,carrier,Inhib
Mean,Residuals,0.6863614234452319,carrier,Inhib
3rd Qu.,APOE_carrier,7.037330364013438e-13,carrier,Inhib
3rd Qu.,exp_round,0.09755325644635779,carrier,Inhib
3rd Qu.,seq_round,5.541753273385733e-12,carrier,Inhib
3rd Qu.,Sex,0,carrier,Inhib
3rd Qu.,Anc_Afr,0.04507526489161176,carrier,Inhib
3rd Qu.,Age,0.037699884965230135,carrier,Inhib
3rd Qu.,Rin,0.04655343381773082,carrier,Inhib
3rd Qu.,pseudo_expr_chrM_ratio,0.08943885037680518,carrier,Inhib
3rd Qu.,ncells,0.0718212554444358,carrier,Inhib
3rd Qu.,Residuals,0.8235674780811238,carrier,Inhib
Max.,APOE_carrier,0.49379872523989954,carrier,Inhib
Max.,exp_round,0.8812645096094859,carrier,Inhib
Max.,seq_round,0.5013154299820944,carrier,Inhib
Max.,Sex,0.8812955458634417,carrier,Inhib
Max.,Anc_Afr,0.513657595182265,carrier,Inhib
Max.,Age,0.47261239290940926,carrier,Inhib
Max.,Rin,0.41889430951971235,carrier,Inhib
Max.,pseudo_expr_chrM_ratio,0.7784034120546837,carrier,Inhib
Max.,ncells,0.4617662610548748,carrier,Inhib
Max.,Residuals,0.9959036725627483,carrier,Inhib
