metric,name,value,form,cell_type
Min.,APOE_carrier,0,carrier,Excit
Min.,exp_round,0,carrier,Excit
Min.,seq_round,0,carrier,Excit
Min.,Sex,0,carrier,Excit
Min.,Anc_Afr,3.4557272876276886e-12,carrier,Excit
Min.,Age,1.332810603050081e-13,carrier,Excit
Min.,Rin,1.8191024897060644e-11,carrier,Excit
Min.,pseudo_expr_chrM_ratio,1.623558025742539e-11,carrier,Excit
Min.,ncells,1.7411289178677424e-13,carrier,Excit
Min.,Residuals,0.022404296018996794,carrier,Excit
1st Qu.,APOE_carrier,0,carrier,Excit
1st Qu.,exp_round,0,carrier,Excit
1st Qu.,seq_round,0,carrier,Excit
1st Qu.,Sex,3.301472944512575e-21,carrier,Excit
1st Qu.,Anc_Afr,0.00353981468943296,carrier,Excit
1st Qu.,Age,0.002583676898644605,carrier,Excit
1st Qu.,Rin,0.003530681175908313,carrier,Excit
1st Qu.,pseudo_expr_chrM_ratio,0.0064476529789887094,carrier,Excit
1st Qu.,ncells,0.01138572573550756,carrier,Excit
1st Qu.,Residuals,0.5945517313501825,carrier,Excit
Median,APOE_carrier,0,carrier,Excit
Median,exp_round,0,carrier,Excit
Median,seq_round,0,carrier,Excit
Median,Sex,1.5788193874699107e-13,carrier,Excit
Median,Anc_Afr,0.015285062717971693,carrier,Excit
Median,Age,0.011856354078201263,carrier,Excit
Median,Rin,0.015162442506428236,carrier,Excit
Median,pseudo_expr_chrM_ratio,0.025995980370261233,carrier,Excit
Median,ncells,0.04671906442826924,carrier,Excit
Median,Residuals,0.7118044369533845,carrier,Excit
Mean,APOE_carrier,0.0235102515963785,carrier,Excit
Mean,exp_round,0.051626278914358927,carrier,Excit
Mean,seq_round,0.01332145435166861,carrier,Excit
Mean,Sex,6.203893988029714e-5,carrier,Excit
Mean,Anc_Afr,0.028718336958423085,carrier,Excit
Mean,Age,0.02815632017938236,carrier,Excit
Mean,Rin,0.03114846337889064,carrier,Excit
Mean,pseudo_expr_chrM_ratio,0.05713642438154972,carrier,Excit
Mean,ncells,0.0738581353239146,carrier,Excit
Mean,Residuals,0.6924622959755533,carrier,Excit
3rd Qu.,APOE_carrier,0.01570457427107036,carrier,Excit
3rd Qu.,exp_round,0.05475867971122497,carrier,Excit
3rd Qu.,seq_round,5.235529472767277e-9,carrier,Excit
3rd Qu.,Sex,1.3349512760301715e-12,carrier,Excit
3rd Qu.,Anc_Afr,0.040592514318214666,carrier,Excit
3rd Qu.,Age,0.035863987482463076,carrier,Excit
3rd Qu.,Rin,0.04272535991988765,carrier,Excit
3rd Qu.,pseudo_expr_chrM_ratio,0.07169289163941606,carrier,Excit
3rd Qu.,ncells,0.112658307056784,carrier,Excit
3rd Qu.,Residuals,0.8107864649060565,carrier,Excit
Max.,APOE_carrier,0.46590551587223794,carrier,Excit
Max.,exp_round,0.851647691236257,carrier,Excit
Max.,seq_round,0.5075181206388223,carrier,Excit
Max.,Sex,0.892169497059877,carrier,Excit
Max.,Anc_Afr,0.48658241595308094,carrier,Excit
Max.,Age,0.47647088809751603,carrier,Excit
Max.,Rin,0.45440948363245165,carrier,Excit
Max.,pseudo_expr_chrM_ratio,0.6911302265035293,carrier,Excit
Max.,ncells,0.5931370256237564,carrier,Excit
Max.,Residuals,0.9937003521842601,carrier,Excit
Min.,APOE,0,apoe,Excit
Min.,exp_round,0,apoe,Excit
Min.,seq_round,0,apoe,Excit
Min.,Sex,0,apoe,Excit
Min.,Anc_Afr,1.1796961709037101e-11,apoe,Excit
Min.,Age,5.875007620591823e-11,apoe,Excit
Min.,Rin,2.7174600333661784e-14,apoe,Excit
Min.,pseudo_expr_chrM_ratio,1.0244037298327482e-10,apoe,Excit
Min.,ncells,3.1418797863718665e-13,apoe,Excit
Min.,Residuals,0.013849484519758634,apoe,Excit
1st Qu.,APOE,0,apoe,Excit
1st Qu.,exp_round,0,apoe,Excit
1st Qu.,seq_round,0,apoe,Excit
1st Qu.,Sex,4.543120182221965e-21,apoe,Excit
1st Qu.,Anc_Afr,0.0034611539110474604,apoe,Excit
1st Qu.,Age,0.002655807912107235,apoe,Excit
1st Qu.,Rin,0.0035206019957346115,apoe,Excit
