metric,name,value,form,cell_type
Min.,APOE_carrier,0,carrier,Vasc
Min.,exp_round,0,carrier,Vasc
Min.,seq_round,0,carrier,Vasc
Min.,Sex,0,carrier,Vasc
Min.,Anc_Afr,3.221056441673793e-31,carrier,Vasc
Min.,Age,9.971281809979083e-30,carrier,Vasc
Min.,Rin,5.938929388552128e-32,carrier,Vasc
Min.,pseudo_expr_chrM_ratio,3.966844188519546e-30,carrier,Vasc
Min.,ncells,1.6564504583013005e-30,carrier,Vasc
Min.,Residuals,3.4450650095854634e-15,carrier,Vasc
1st Qu.,APOE_carrier,0,carrier,Vasc
1st Qu.,exp_round,0,carrier,Vasc
1st Qu.,seq_round,0,carrier,Vasc
1st Qu.,Sex,0,carrier,Vasc
1st Qu.,Anc_Afr,0.004189772798922039,carrier,Vasc
1st Qu.,Age,0.0028013771747433585,carrier,Vasc
1st Qu.,Rin,0.00420683501053781,carrier,Vasc
1st Qu.,pseudo_expr_chrM_ratio,0.005476015077468773,carrier,Vasc
1st Qu.,ncells,0.006670647411346489,carrier,Vasc
1st Qu.,Residuals,0.6273146737757102,carrier,Vasc
Median,APOE_carrier,2.2599661658345002e-14,carrier,Vasc
Median,exp_round,0,carrier,Vasc
Median,seq_round,0,carrier,Vasc
Median,Sex,0,carrier,Vasc
Median,Anc_Afr,0.01830103823432886,carrier,Vasc
Median,Age,0.012519428287105009,carrier,Vasc
Median,Rin,0.019114408627543208,carrier,Vasc
Median,pseudo_expr_chrM_ratio,0.023505658283105642,carrier,Vasc
Median,ncells,0.029913903485858553,carrier,Vasc
Median,Residuals,0.7479044985404025,carrier,Vasc
Mean,APOE_carrier,2.8581147428458347e-7,carrier,Vasc
Mean,exp_round,0.04482158779659436,carrier,Vasc
Mean,seq_round,0.010236777567550467,carrier,Vasc
Mean,Sex,0.007886312385377054,carrier,Vasc
Mean,Anc_Afr,0.03332650670039658,carrier,Vasc
Mean,Age,0.03096441688425329,carrier,Vasc
Mean,Rin,0.03817010408733812,carrier,Vasc
Mean,pseudo_expr_chrM_ratio,0.050503178518224306,carrier,Vasc
Mean,ncells,0.06593754192998119,carrier,Vasc
Mean,Residuals,0.7181532883188103,carrier,Vasc
3rd Qu.,APOE_carrier,2.6331389630798532e-12,carrier,Vasc
3rd Qu.,exp_round,0.04059844574966209,carrier,Vasc
3rd Qu.,seq_round,0,carrier,Vasc
3rd Qu.,Sex,0,carrier,Vasc
3rd Qu.,Anc_Afr,0.05036753523341525,carrier,Vasc
3rd Qu.,Age,0.039426287107084276,carrier,Vasc
3rd Qu.,Rin,0.05174900461774822,carrier,Vasc
3rd Qu.,pseudo_expr_chrM_ratio,0.06330835067718518,carrier,Vasc
3rd Qu.,ncells,0.08471278677016267,carrier,Vasc
3rd Qu.,Residuals,0.8480930740785135,carrier,Vasc
Max.,APOE_carrier,0.008416822224923803,carrier,Vasc
Max.,exp_round,0.9937436757434821,carrier,Vasc
Max.,seq_round,0.5354594345163891,carrier,Vasc
Max.,Sex,0.8573668989612756,carrier,Vasc
Max.,Anc_Afr,0.46832891118905057,carrier,Vasc
Max.,Age,0.47981419665857017,carrier,Vasc
Max.,Rin,0.5497374379509972,carrier,Vasc
Max.,pseudo_expr_chrM_ratio,0.7145765211721097,carrier,Vasc
Max.,ncells,0.6946925750691217,carrier,Vasc
Max.,Residuals,0.9969882879795627,carrier,Vasc
Min.,APOE,0,apoe,Vasc
Min.,exp_round,0,apoe,Vasc
Min.,seq_round,0,apoe,Vasc
Min.,Sex,0,apoe,Vasc
Min.,Anc_Afr,2.8485390880334335e-12,apoe,Vasc
Min.,Age,1.88296964246159e-9,apoe,Vasc
