Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,13,-0.6942,19,-0.1542,18,-0.2335,25,0.29751,9,-1.2288,15,-0.5219,35,0.81809,17,-0.2696,36,0.86819,20,-0.0780,22,0.12125
ENSG00000188976,NOC2L,81,0.96877,49,0.14762,61,0.49796,39,-0.1998,34,-0.4479,58,0.41480,57,0.39565,25,-0.8746,37,-0.3106,25,-0.8746,26,-0.8513
ENSG00000188290,HES4,58,-0.6130,73,-0.2625,93,0.11856,143,0.82613,79,-0.1307,95,0.15442,29,-1.6297,101,0.26046,97,0.18137,87,0.02007,92,0.10531
ENSG00000187608,ISG15,12,-2.9674,85,-0.1499,153,0.81341,206,1.32815,76,-0.3246,84,-0.1687,43,-1.1863,89,-0.0652,55,-0.8159,114,0.33103,107,0.21625
ENSG00000188157,AGRN,57,0.41486,15,-1.6122,58,0.46593,65,0.63594,31,-0.5459,31,-0.5060,55,0.38040,36,-0.3141,40,-0.1539,48,0.15757,44,0.02781
ENSG00000078808,SDF4,83,0.39385,54,-0.2805,78,0.30740,81,0.35744,57,-0.1898,52,-0.3320,64,-0.0215,48,-0.4745,70,0.12085,62,-0.0571,62,-0.0634
ENSG00000176022,B3GALT6,44,0.45614,29,-0.1933,34,0.07565,44,0.47693,18,-0.9503,36,0.14514,48,0.59339,29,-0.1844,31,-0.0794,31,-0.0826,17,-0.9903
ENSG00000160087,UBE2J2,87,1.38773,35,-0.1390,58,0.69220,43,0.21590,27,-0.5289,35,-0.1015,23,-0.7753,22,-0.8072,30,-0.3505,30,-0.3349,25,-0.6303
ENSG00000131584,ACAP3,99,0.26400,76,-0.1573,115,0.50594,59,-0.5551,53,-0.7099,86,0.04689,119,0.56156,50,-0.7966,103,0.33515,62,-0.4697,100,0.28759
ENSG00000169972,PUSL1,7,-0.8421,11,-0.3109,19,0.62517,28,1.24388,8,-0.6460,18,0.50220,6,-1.2455,9,-0.4837,12,-0.0971,8,-0.6890,16,0.33809
ENSG00000127054,INTS11,46,-0.0173,68,0.60691,77,0.81120,65,0.52520,42,-0.1510,51,0.14826,48,0.04761,41,-0.2026,22,-1.1149,29,-0.7334,23,-1.0540
ENSG00000224051,CPTP,38,0.28323,49,0.66862,43,0.46587,32,0.00887,15,-1.1654,45,0.54475,39,0.31483,18,-0.9000,23,-0.5394,27,-0.2437,24,-0.4580
ENSG00000107404,DVL1,59,-0.1862,100,0.65657,34,-1.0129,48,-0.5098,68,0.02694,52,-0.3994,89,0.46328,63,-0.0958,50,-0.4592,63,-0.0879,108,0.78227
ENSG00000175756,AURKAIP1,183,-0.0530,156,-0.3097,215,0.19960,305,0.77483,211,0.17281,128,-0.6044,137,-0.5019,209,0.15423,159,-0.2792,201,0.09494,180,-0.0772
ENSG00000221978,CCNL2,47,0.41158,20,-0.8861,63,0.91718,41,0.18556,37,0.03850,23,-0.6885,29,-0.3254,38,0.07004,33,-0.1147,37,0.02916,29,-0.3510
ENSG00000242485,MRPL20,181,-0.0429,171,-0.1312,157,-0.2644,241,0.41801,201,0.12058,209,0.18822,178,-0.0649,145,-0.3853,186,4.90049,240,0.41240,135,-0.4995
ENSG00000235098,ANKRD65,10,-0.1763,7,-0.7795,13,0.24527,5,-1.1616,26,1.39875,12,0.09844,17,0.64780,14,0.32752,6,-0.8645,10,-0.2161,4,-1.6319
ENSG00000179403,VWA1,53,1.10010,9,-1.6171,5,-2.5639,17,-0.6598,121,2.75346,13,-1.0757,15,-0.8634,18,-0.6165,14,-0.9802,10,-1.4573,21,-0.3880
ENSG00000197785,ATAD3A,31,0.91739,8,-1.2119,32,1.01528,20,0.25822,16,-0.1031,13,-0.4015,20,0.20453,9,-1.0042,18,0.04157,7,-1.2495,16,-0.1110
ENSG00000205090,TMEM240,24,-0.7322,60,0.68932,41,0.07719,66,0.83789,26,-0.6166,44,0.19212,52,0.44071,28,-0.5448,33,-0.2783,33,-0.2838,25,-0.7048
