gene,locus,sample_1,sample_2,status,value_1,value_2,log2.fold_change.,test_stat,p_value,q_value
A1BG,chr19:58858171-58874214,E3,E4,OK,6.2748,7.19763,0.197953,0.770168,0.1798,0.271552
A1BG-AS1,chr19:58858171-58874214,E3,E4,OK,1.21205,1.04824,-0.209477,-0.375995,0.5164,0.625824
A1CF,chr10:52559168-52645435,E3,E4,NOTEST,0.0914959,0.0892715,-0.0355075,0,1,1
A2M,chr12:9217772-9268558,E3,E4,OK,0.0674056,28.3074,8.7141,9.95322,1.00E-04,0.00032265
A2M-AS1,chr12:9217772-9268558,E3,E4,OK,1.31981,1.38647,0.071081,0.0918937,0.8004,0.861934
A2ML1,chr12:8975149-9029381,E3,E4,NOTEST,0.0543787,0.0684904,0.332861,0,1,1
A2MP1,chr12:9381128-9386803,E3,E4,NOTEST,0.014639,0.0816196,2.4791,0,1,1
A4GALT,chr22:43088126-43116876,E3,E4,OK,0.0462413,1.00296,4.43894,3.54868,0.00065,0.0018484
A4GNT,chr3:137842559-137851229,E3,E4,NOTEST,0,0.0091455,Inf,0,1,1
AA06,chr17:31340105-32483825,E3,E4,NOTEST,0,0,0,0,1,1
AAAS,chr12:53701239-53715412,E3,E4,OK,26.3484,25.8198,-0.0292345,-0.188293,0.73915,0.816173
AACS,chr12:125549924-125627871,E3,E4,OK,10.1111,9.82447,-0.0414859,-0.257741,0.65595,0.749232
AACSP1,chr5:178191863-178203277,E3,E4,NOTEST,0.386752,0.0970172,-1.9951,0,1,1
AADAC,chr3:151347319-151546276,E3,E4,NOTEST,0,0.0110775,Inf,0,1,1
AADACL2,chr3:151347319-151546276,E3,E4,NOTEST,0,0,0,0,1,1
AADACL3,chr1:12776117-12788726,E3,E4,NOTEST,0,0,0,0,1,1
AADACL4,chr1:12704565-12727097,E3,E4,NOTEST,0,0,0,0,1,1
AADAT,chr4:170981372-171011372,E3,E4,OK,6.88878,8.9124,0.371566,2.05785,0.00035,0.00104344
AAED1,chr9:99403532-99417599,E3,E4,OK,7.834,9.52013,0.281231,1.38767,0.01305,0.0279908
AAGAB,chr15:67493012-67819641,E3,E4,OK,21.4594,26.9842,0.330505,2.01717,3.00E-04,0.00090347
AAK1,chr2:69685126-69870977,E3,E4,OK,2.51071,3.21981,0.358884,2.36036,5.00E-05,0.000167183
AAMDC,chr11:77532207-77583398,E3,E4,OK,49.3808,49.6461,0.00773026,0.042907,0.93925,0.958053
AAMP,chr2:219128851-219134893,E3,E4,OK,47.2399,47.8155,0.0174722,0.116481,0.8374,0.88916
AANAT,chr17:74449432-74466199,E3,E4,NOTEST,0.25602,0.221863,-0.20659,0,1,1
AAR2,chr20:34824338-34844863,E3,E4,OK,15.3225,17.4356,0.186381,1.18431,0.03745,0.0710957
AARD,chr8:117950463-117956239,E3,E4,OK,0.404687,0.990217,1.29094,2.88778,5.00E-05,0.000167183
AARS,chr16:70286296-70323412,E3,E4,OK,45.4967,48.1825,0.0827476,0.56421,0.32035,0.431746
AARS2,chr6:44266462-44281063,E3,E4,OK,3.21321,4.19615,0.38505,2.1821,0.00025,0.000762626
AARSD1,chr17:41102542-41132545,E3,E4,OK,19.7349,19.747,0.000881645,0.00490242,0.9924,0.99431
AASDH,chr4:57204456-57253638,E3,E4,OK,6.37171,4.59995,-0.470062,-2.69832,5.00E-05,0.000167183
AASDHPPT,chr11:105921824-105969419,E3,E4,OK,32.6543,31.2939,-0.0613902,-0.39986,0.47695,0.589985
AASS,chr7:121713597-121784344,E3,E4,OK,33.8691,20.1834,-0.746796,-5.08152,5.00E-05,0.000167183
AATF,chr17:35306174-35414171,E3,E4,OK,18.4592,18.8151,0.0275515,0.173946,0.757,0.83022
AATK,chr17:79008946-79156964,E3,E4,OK,1.32535,0.785645,-0.754422,-0.944487,0.0998,0.165985
AATK-AS1,chr17:79008946-79156964,E3,E4,NOTEST,0.0441175,0.0104366,-2.0797,0,1,1
ABAT,chr16:8768443-8878432,E3,E4,OK,183.856,101.287,-0.860132,-5.96535,5.00E-05,0.000167183
ABCA1,chr9:107543283-107690527,E3,E4,OK,4.88887,5.99609,0.294523,1.9257,9.00E-04,0.00249084
ABCA10,chr17:67144147-67323323,E3,E4,NOTEST,0.135945,0.183219,0.430548,0,1,1
ABCA11P,chr4:419223-533320,E3,E4,OK,3.7007,3.738,0.0144666,0.0281803,0.96365,0.975668
ABCA12,chr2:215796265-216003151,E3,E4,NOTEST,0.0263242,0.08044,1.61153,0,1,1
ABCA13,chr7:48211056-48687091,E3,E4,NOTEST,0.144476,0.284943,0.979848,0,1,1
ABCA17P,chr16:2390922-2476700,E3,E4,NOTEST,0.0515593,0.0449678,-0.19734,0,1,1
ABCA2,chr9:139901685-139931234,E3,E4,OK,13.6366,13.8606,0.0235025,0.158092,0.78365,0.849348
ABCA3,chr16:2325878-2390747,E3,E4,OK,30.0422,18.0352,-0.736177,-5.0126,5.00E-05,0.000167183
