Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000228794,LINC01128,6,-1.2382,14,0.12601,14,0.27328
ENSG00000188976,NOC2L,43,-0.1619,70,1.00382,33,-0.9526
ENSG00000188290,HES4,44,-0.2232,52,0.08471,50,0.01215
ENSG00000187608,ISG15,67,1.24293,22,-0.8407,33,-0.0208
ENSG00000188157,AGRN,20,0.26713,14,-0.4058,18,0.24056
ENSG00000078808,SDF4,182,1.33416,77,-0.2337,68,-0.6009
ENSG00000176022,B3GALT6,47,0.38156,42,0.25488,32,-0.4310
ENSG00000160087,UBE2J2,47,0.18969,47,0.23992,37,-0.3176
ENSG00000131584,ACAP3,47,-0.4207,63,0.07427,63,0.09484
ENSG00000127054,INTS11,55,0.35294,52,0.37727,36,-0.5387
ENSG00000224051,CPTP,45,0.65179,33,0.16607,25,-0.4991
ENSG00000107404,DVL1,45,-0.3504,50,-0.2622,63,0.38181
ENSG00000175756,AURKAIP1,160,-0.1548,169,-0.0850,185,0.14434
ENSG00000221978,CCNL2,65,0.68543,45,0.08083,37,-0.4363
ENSG00000242485,MRPL20,178,-0.1257,190,-0.0222,197,0.07410
ENSG00000179403,VWA1,41,-0.7229,34,-1.3048,94,1.39810
ENSG00000197785,ATAD3A,2,-2.7090,22,1.05269,12,-0.4412
ENSG00000205090,TMEM240,26,-0.5313,53,0.96713,27,-0.7663
ENSG00000160075,SSU72,154,0.16283,147,0.12260,130,-0.1906
ENSG00000228594,FNDC10,6,-2.4884,49,1.18480,25,-0.5958
ENSG00000272106,AL691432.2,45,0.77771,31,0.17475,23,-0.5881
ENSG00000197530,MIB2,28,-0.0684,35,0.40855,26,-0.3669
ENSG00000189339,SLC35E2B,41,0.04444,46,0.33755,35,-0.3457
ENSG00000008130,NADK,27,0.33126,23,0.17587,19,-0.3264
ENSG00000078369,GNB1,372,0.00543,421,0.30775,332,-0.2987
ENSG00000187730,GABRD,38,-0.3422,72,1.12253,31,-1.0066
ENSG00000067606,PRKCZ,109,-0.5965,214,0.78054,128,-0.5482
ENSG00000162585,FAAP20,76,0.19727,71,0.12703,62,-0.2115
ENSG00000157933,SKI,37,0.01651,45,0.47460,31,-0.4711
ENSG00000157916,RER1,60,0.08984,58,0.03769,56,-0.0757
ENSG00000157911,PEX10,22,-0.5976,32,-0.0027,34,0.22656
ENSG00000197921,HES5,16,-0.5074,16,-0.5741,27,0.71511
ENSG00000157870,PRXL2B,35,-0.9137,67,0.18540,65,0.13829
ENSG00000177133,PRDM16-DT,0,-5.8993,13,-0.8566,31,1.57524
ENSG00000158109,TPRG1L,133,-0.2983,206,0.64464,131,-0.5136
ENSG00000130764,LRRC47,74,0.10152,84,0.47339,57,-0.5093
ENSG00000116198,CEP104,1,-3.6945,17,-0.1982,24,0.86589
ENSG00000196581,AJAP1,22,-0.5899,48,1.07834,23,-0.8650
ENSG00000069424,KCNAB2,139,0.02071,149,0.18604,128,-0.1863
ENSG00000116254,CHD5,102,-0.3941,171,0.67967,107,-0.5138
ENSG00000116251,RPL22,1378,1.12155,472,-0.8953,754,0.10958
ENSG00000116237,ICMT,22,-0.5581,44,0.93640,23,-0.7243
ENSG00000097021,ACOT7,239,0.18915,281,0.69331,157,-0.7832
ENSG00000171680,PLEKHG5,32,0.82089,22,0.30362,15,-0.7491
ENSG00000162408,NOL9,5,-2.8358,45,0.79678,31,-0.1732
ENSG00000162413,KLHL21,46,0.76385,28,-0.0941,26,-0.3189
ENSG00000116273,PHF13,11,-0.5938,22,0.81001,13,-0.5797
ENSG00000041988,THAP3,34,0.51668,26,0.16580,21,-0.4183
ENSG00000007923,DNAJC11,0,-5.4334,45,1.01894,27,-0.3011
ENSG00000171735,CAMTA1,79,-0.9159,157,0.26676,144,0.05991
ENSG00000049245,VAMP3,27,-0.9108,30,-0.9609,67,1.17990
ENSG00000049246,PER3,17,-0.7435,31,0.20619,29,0.07119
ENSG00000116288,PARK7,323,-0.1665,344,-0.0927,377,0.15611
ENSG00000116285,ERRFI1,4,-2.1430,24,0.94871,14,-0.3946
ENSG00000162426,SLC45A1,13,-0.7448,25,0.37766,21,-0.0958
ENSG00000142599,RERE,161,0.75564,93,-0.2385,97,-0.1817
ENSG00000074800,ENO1,888,0.27396,783,0.09109,697,-0.2150
ENSG00000171612,SLC25A33,27,-0.0953,18,-0.9170,36,0.83579
ENSG00000188807,TMEM201,11,-0.2768,17,0.61855,11,-0.4951
ENSG00000171603,CLSTN1,497,0.06964,630,0.71516,356,-0.7468
ENSG00000178585,CTNNBIP1,18,-1.1501,53,0.84252,32,-0.4583
ENSG00000162441,LZIC,58,0.54145,28,-0.8149,48,0.42753
ENSG00000130939,UBE4B,56,0.43513,59,0.79534,28,-1.0347
ENSG00000054523,KIF1B,260,-0.3990,370,0.25354,323,-0.0851
ENSG00000142657,PGD,91,0.68136,67,0.24297,48,-0.5946
ENSG00000241563,CORT,18,-3.6580,518,4.34475,27,-3.8555
ENSG00000160049,DFFA,42,0.08795,41,0.06845,38,-0.1039
ENSG00000142655,PEX14,5,-2.2438,38,1.27985,18,-0.7201
ENSG00000120948,TARDBP,71,0.33666,63,0.18232,51,-0.3355
ENSG00000116649,SRM,163,0.61193,116,0.05235,99,-0.3640
ENSG00000171824,EXOSC10,28,0.47077,17,-0.4697,23,0.18754
ENSG00000198793,MTOR,54,0.47014,39,-0.0890,38,-0.1492
ENSG00000116661,FBXO2,302,-0.0538,245,-0.5251,365,0.49399
ENSG00000132879,FBXO44,57,-0.8283,130,0.76583,81,-0.4625
ENSG00000116670,MAD2L2,12,-0.9875,19,-0.3694,28,0.67969
ENSG00000177674,AGTRAP,20,0.15403,8,-1.5355,26,1.16358
ENSG00000177000,MTHFR,12,-0.4212,20,0.66651,13,-0.4905
ENSG00000011021,CLCN6,70,0.30843,85,1.02309,35,-1.2205
ENSG00000116685,KIAA2013,29,-0.2236,38,0.32771,30,-0.2229
ENSG00000083444,PLOD1,14,-0.3522,15,-0.2256,19,0.34931
ENSG00000116688,MFN2,92,0.09707,97,0.25008,78,-0.2834
ENSG00000116691,MIIP,9,-1.0382,16,-0.1099,19,0.45174
ENSG00000048707,VPS13D,81,0.79145,49,-0.0970,45,-0.3339
ENSG00000162496,DHRS3,7,-1.9332,24,-0.1407,32,0.65452
ENSG00000116731,PRDM2,31,-0.7086,56,0.36537,47,-0.0943
ENSG00000189337,KAZN,15,-1.8360,68,0.71254,48,-0.1978
ENSG00000142634,EFHD2,50,-1.1448,140,0.78198,89,-0.3976
ENSG00000116138,DNAJC16,7,-1.5830,28,0.84570,17,-0.3733
ENSG00000197312,DDI2,12,-0.9070,31,1.03281,16,-0.7177
ENSG00000116786,PLEKHM2,30,-0.9520,55,-0.0008,61,0.32673
ENSG00000065526,SPEN,43,0.13473,42,0.13628,37,-0.1905
ENSG00000037637,FBXO42,1,-3.5202,20,0.58430,16,0.08157
ENSG00000055070,SZRD1,28,-0.0729,24,-0.4375,33,0.42672
ENSG00000157191,NECAP2,7,-1.6339,18,-0.2262,24,0.68774
ENSG00000219481,NBPF1,3,-2.5063,19,0.18576,20,0.40570
ENSG00000058453,CROCC,9,-0.8019,19,0.60918,13,-0.3105
ENSG00000159363,ATP13A2,73,-0.7946,161,0.73524,102,-0.4407
ENSG00000117118,SDHB,109,0.38603,90,0.08984,78,-0.2721
ENSG00000117115,PADI2,41,-1.0917,30,-1.8792,130,1.97273
ENSG00000074964,ARHGEF10L,21,-0.0524,19,-0.2165,23,0.22201
ENSG00000117154,IGSF21,62,-0.2864,93,0.57824,62,-0.4501
ENSG00000159423,ALDH4A1,4,-2.6992,15,-0.8968,36,1.47011
ENSG00000127463,EMC1,55,0.73490,39,0.24477,28,-0.6308
ENSG00000053372,MRTO4,25,-0.5795,46,0.60205,32,-0.3707
ENSG00000053371,AKR7A2,45,-0.1808,40,-0.4497,58,0.48261
ENSG00000077549,CAPZB,255,0.29678,230,0.17435,191,-0.3070
ENSG00000173436,MICOS10,346,0.18371,314,0.02806,298,-0.1107
ENSG00000158747,NBL1,200,-0.2600,260,0.23664,225,-0.1197
ENSG00000162545,CAMK2N1,1034,0.45731,685,-0.3113,804,0.05825
ENSG00000090432,MUL1,36,0.56965,31,0.49506,18,-0.7871
ENSG00000183114,FAM43B,0,-5.8675,26,1.68316,10,-0.9618
ENSG00000158828,PINK1,380,-0.0226,425,0.23312,357,-0.2131
ENSG00000244038,DDOST,29,-0.0799,31,0.08583,30,-0.0467
ENSG00000189410,SH2D5,22,-0.4112,35,0.59066,24,-0.4164
ENSG00000127483,HP1BP3,82,-0.9488,164,0.21236,156,0.12132
ENSG00000075151,EIF4G3,70,-0.5971,137,0.75589,83,-0.5225
ENSG00000076864,RAP1GAP,141,-0.0202,193,0.76711,106,-0.7597
ENSG00000090686,USP48,52,0.19612,43,-0.1643,47,0.06151
ENSG00000070831,CDC42,210,-0.1597,294,0.59740,190,-0.5204
ENSG00000173372,C1QA,54,1.30334,11,-1.6167,30,0.44025
ENSG00000159189,C1QC,63,1.59529,7,-2.3966,31,0.56217
ENSG00000173369,C1QB,75,1.24101,15,-1.6408,43,0.50257
ENSG00000004487,KDM1A,38,-0.3278,64,0.80820,36,-0.6728
ENSG00000169641,LUZP1,10,-1.4879,44,1.52946,16,-1.1036
ENSG00000125944,HNRNPR,87,-0.4187,117,0.09200,115,0.07728
ENSG00000125945,ZNF436,1,-3.5221,23,1.16560,12,-0.5013
ENSG00000117318,ID3,47,0.31937,12,-2.1592,57,1.43711
ENSG00000142676,RPL11,1166,1.38751,299,-1.1801,556,0.10729
ENSG00000011007,ELOA,6,-1.4236,24,0.95060,13,-0.5102
ENSG00000057757,PITHD1,160,-0.2433,251,0.78311,142,-0.6798
ENSG00000011009,LYPLA2,15,-1.1088,35,0.31271,32,0.06273
ENSG00000117308,GALE,31,0.81043,28,1.01476,9,-1.5721
ENSG00000117305,HMGCL,48,1.10107,20,-0.4790,24,-0.2051
