Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188976,NOC2L,39,-0.3080,7,-2.8674,52,0.15148,37,-0.4436,68,0.86690
ENSG00000188290,HES4,67,0.85023,36,-0.1920,44,0.16865,31,-0.4464,37,-0.2151
ENSG00000187608,ISG15,303,1.60282,98,-0.3470,32,-2.1940,77,-0.8073,160,0.62988
ENSG00000078808,SDF4,82,0.15370,42,-0.8875,104,0.65098,53,-0.6055,77,0.08687
ENSG00000176022,B3GALT6,18,-0.8854,20,-0.7943,31,-0.0851,23,-0.6487,50,1.01763
ENSG00000160087,UBE2J2,16,-1.5041,20,-1.1994,43,-0.0127,53,0.41644,53,0.47139
ENSG00000131584,ACAP3,79,-0.0956,49,-0.8385,143,1.08828,56,-0.7010,76,-0.2049
ENSG00000127054,INTS11,64,0.20875,26,-1.2204,65,0.26406,42,-0.5192,68,0.42221
ENSG00000224051,CPTP,21,-0.3726,23,-0.2318,16,-0.8625,25,-0.1403,38,0.85035
ENSG00000107404,DVL1,51,0.05201,27,-0.9050,64,0.51586,35,-0.5799,55,0.24573
ENSG00000175756,AURKAIP1,102,-0.4066,96,-0.4910,90,-0.6644,208,0.92979,129,-0.0414
ENSG00000221978,CCNL2,69,0.38459,24,-1.2749,55,0.01652,49,-0.1943,63,0.33383
ENSG00000242485,MRPL20,166,-0.0166,144,-0.2405,171,0.03151,179,0.11633,167,-0.0096
ENSG00000179403,VWA1,157,2.81135,37,-0.0081,26,-0.6212,10,-2.0707,22,-0.9841
ENSG00000205090,TMEM240,4,-2.8727,21,-0.5343,23,-0.4246,35,0.33388,41,0.78894
ENSG00000160075,SSU72,120,-0.0977,73,-0.8785,129,0.02360,150,0.30571,132,0.07955
ENSG00000228594,FNDC10,22,-0.7869,17,-1.1068,22,-0.8504,42,0.30493,52,0.88410
ENSG00000197530,MIB2,42,0.09675,19,-1.1528,32,-0.3553,71,1.19394,30,-0.5770
ENSG00000215790,SLC35E2A,34,0.00914,7,-2.2767,35,0.05295,36,0.10310,41,0.41301
ENSG00000078369,GNB1,236,-0.7682,249,-0.6882,395,0.05304,371,-0.0634,480,0.51226
ENSG00000187730,GABRD,16,-2.0134,26,-1.3163,52,-0.3219,103,1.04499,68,0.20267
ENSG00000067606,PRKCZ,55,-1.6854,97,-0.8349,144,-0.2591,213,0.48516,208,0.52661
ENSG00000162585,FAAP20,76,0.77580,35,-0.4806,52,0.13957,37,-0.4327,47,-0.0386
ENSG00000157933,SKI,65,0.94220,37,-0.0082,63,1.07194,24,-0.7430,19,-1.2399
ENSG00000157916,RER1,95,0.57167,48,-0.5485,59,-0.2428,45,-0.7065,85,0.54089
ENSG00000157870,PRXL2B,42,-0.6162,29,-1.2120,84,0.56485,50,-0.3873,75,0.39729
ENSG00000158109,TPRG1L,93,-1.1432,70,-1.5647,164,-0.2863,175,-0.1720,297,1.07965
ENSG00000130764,LRRC47,68,-0.3363,33,-1.4129,64,-0.4881,109,0.50620,102,0.45810
ENSG00000069424,KCNAB2,16,-3.9151,124,-0.9350,192,-0.2882,308,0.61321,295,0.63264
ENSG00000116254,CHD5,14,-3.3668,94,-0.5138,164,0.44257,105,-0.3840,176,0.70013
ENSG00000116251,RPL22,1133,1.38389,677,0.46500,593,0.28011,326,-0.7880,318,-0.9348
ENSG00000116237,ICMT,64,1.23566,28,-0.1610,23,-0.5115,16,-1.1663,37,0.36768
ENSG00000097021,ACOT7,25,-3.5830,131,-1.1395,175,-0.7743,287,0.09763,457,1.34041
ENSG00000171680,PLEKHG5,0,-5.2594,15,-0.8762,26,-0.0139,27,0.11191,37,0.86436
ENSG00000162408,NOL9,35,-0.1306,7,-2.4695,67,1.13720,28,-0.5696,38,-0.0340
ENSG00000162413,KLHL21,91,1.14997,15,-1.7496,61,0.52973,20,-1.4204,50,0.16075
ENSG00000007923,DNAJC11,17,-1.3515,34,-0.2619,42,0.07324,32,-0.4287,55,0.72609
ENSG00000171735,CAMTA1,150,-0.0859,99,-0.7361,201,0.46783,152,-0.0737,155,-0.0341
ENSG00000116288,PARK7,353,0.09225,243,-0.5001,279,-0.3241,390,0.29626,356,0.14277
ENSG00000162426,SLC45A1,13,-1.6147,24,-0.6398,23,-0.8154,36,-0.0326,59,1.16468
ENSG00000142599,RERE,80,-0.2746,62,-0.6813,181,1.35213,54,-0.9841,82,-0.3194
