Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,19,1.72342,9,-0.8380,2,-3.2106
ENSG00000188976,NOC2L,51,0.19618,48,-0.0449,40,-0.3169
ENSG00000188290,HES4,92,-1.4704,343,1.76322,169,0.49483
ENSG00000187608,ISG15,66,-0.7155,145,1.10011,74,-0.0213
ENSG00000188157,AGRN,41,-1.2690,146,1.79355,51,-0.0339
ENSG00000078808,SDF4,70,-0.6206,145,1.03771,72,-0.1343
ENSG00000176022,B3GALT6,38,1.13330,16,-1.1821,19,-0.9155
ENSG00000160087,UBE2J2,47,-0.0116,39,-0.2843,55,0.26362
ENSG00000162572,SCNN1D,17,0.57137,23,0.56038,0,-5.0992
ENSG00000131584,ACAP3,103,1.27390,53,-0.8361,32,-1.6106
ENSG00000127054,INTS11,50,-0.1527,66,0.42218,45,-0.2054
ENSG00000224051,CPTP,33,-0.3643,24,-0.5492,60,0.91177
ENSG00000107404,DVL1,71,0.13182,90,0.41122,40,-0.8771
ENSG00000175756,AURKAIP1,148,0.17151,103,-0.5297,160,0.15645
ENSG00000221978,CCNL2,47,-0.5630,85,0.84846,53,0.04774
ENSG00000242485,MRPL20,164,0.57229,145,-0.0852,75,-1.1047
ENSG00000179403,VWA1,28,-0.9966,45,0.46962,68,1.16518
ENSG00000197785,ATAD3A,17,-0.1952,11,-0.7556,29,0.78603
ENSG00000205090,TMEM240,40,0.62323,11,-1.8709,41,0.15594
ENSG00000160075,SSU72,165,0.31773,152,-0.0691,113,-0.5331
ENSG00000228594,FNDC10,47,1.69655,28,-0.5569,0,-6.3264
ENSG00000272106,AL691432.2,22,0.24701,25,0.24805,12,-0.8667
ENSG00000197530,MIB2,40,-0.7017,72,0.77315,58,0.42089
ENSG00000189339,SLC35E2B,16,1.30673,6,-1.2590,6,-1.1584
ENSG00000215790,SLC35E2A,33,0.69844,16,-0.9795,24,-0.3507
ENSG00000008130,NADK,34,-0.3755,46,0.42479,41,0.22741
ENSG00000078369,GNB1,451,0.79070,239,-0.8519,282,-0.6004
ENSG00000187730,GABRD,111,2.52402,23,-2.1018,15,-2.7344
ENSG00000067606,PRKCZ,208,1.58762,78,-1.2922,60,-1.6853
ENSG00000162585,FAAP20,60,0.28967,82,0.56301,16,-1.9061
ENSG00000157933,SKI,34,-0.2033,36,0.03379,43,0.31422
ENSG00000157916,RER1,59,-0.0041,76,0.41929,41,-0.5376
ENSG00000157911,PEX10,33,-0.1017,18,-0.9768,54,0.75692
ENSG00000149527,PLCH2,30,1.89294,16,-0.7730,0,-5.7798
ENSG00000197921,HES5,37,2.76216,6,-2.3175,4,-2.9958
