Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000228794,LINC01128,6,-2.1461,17,-0.6381,22,-0.2540,37,0.94942,24,-0.0723
ENSG00000188976,NOC2L,25,-1.0107,35,-0.4500,40,-0.3053,53,0.24674,63,0.56843
ENSG00000188290,HES4,58,-0.6260,69,-0.3437,94,0.16477,121,0.81578,48,-1.0039
ENSG00000187608,ISG15,178,-0.2361,196,-0.0825,212,0.05251,264,0.57416,133,-0.7740
ENSG00000188157,AGRN,30,-0.8074,41,-0.3298,37,-0.5143,74,0.97276,41,-0.3713
ENSG00000131591,C1orf159,13,0.04311,14,0.23470,9,-0.5067,14,0.20273,12,0.02309
ENSG00000078808,SDF4,65,-0.2303,59,-0.3815,69,-0.1454,71,-0.1119,99,0.54732
ENSG00000176022,B3GALT6,13,-1.3522,28,-0.1733,17,-0.9683,38,0.44046,45,0.73233
ENSG00000160087,UBE2J2,27,-0.8415,41,-0.2152,51,0.16259,48,0.07381,53,0.22605
ENSG00000131584,ACAP3,77,-0.1567,86,0.02773,71,-0.3205,89,0.11536,95,0.21176
ENSG00000169972,PUSL1,6,-1.2539,10,-0.5556,11,-0.4182,15,0.13048,22,0.86291
ENSG00000127054,INTS11,38,-0.5570,48,-0.2023,53,-0.0576,64,0.36954,53,-0.0537
ENSG00000224051,CPTP,9,-1.8766,26,-0.2359,20,-0.6939,41,0.69413,38,0.40028
ENSG00000107404,DVL1,44,-0.5953,85,0.46353,72,0.20615,62,-0.0747,60,-0.1325
ENSG00000175756,AURKAIP1,187,0.09306,189,0.11252,200,0.23103,159,-0.2211,169,-0.0867
ENSG00000221978,CCNL2,46,-0.2136,46,-0.2131,37,-0.5945,74,0.82056,42,-0.4068
ENSG00000242485,MRPL20,145,-0.3082,140,-0.3651,219,0.42402,170,-0.0733,174,-0.0135
ENSG00000235098,ANKRD65,41,0.62597,21,-0.4863,35,0.39116,21,-0.5660,29,0.07498
ENSG00000179403,VWA1,157,2.87317,28,-0.3784,23,-0.7918,12,-1.9105,28,-0.4275
ENSG00000160072,ATAD3B,8,-0.5274,9,-0.3651,10,-0.2375,15,0.58762,11,-0.1246
ENSG00000197785,ATAD3A,25,0.09958,12,-1.0071,20,-0.2532,20,-0.3464,36,0.89976
ENSG00000205090,TMEM240,20,-1.0459,30,-0.4086,38,-0.0770,47,0.38078,44,0.21784
ENSG00000160075,SSU72,104,-0.7278,139,-0.2715,199,0.35968,163,-0.0306,178,0.13723
ENSG00000228594,FNDC10,11,-1.9381,40,-0.0697,40,-0.0746,57,0.76502,35,-0.2920
ENSG00000272106,AL691432.2,17,-0.4819,14,-0.7841,25,0.10631,21,-0.2184,34,0.68252
ENSG00000197530,MIB2,35,-0.4965,57,0.29054,53,0.19373,37,-0.4932,60,0.42749
ENSG00000215790,SLC35E2A,18,-1.6151,50,-0.0551,63,0.37472,52,0.02336,57,0.19261
ENSG00000008130,NADK,13,-1.2278,24,-0.3038,39,0.55107,25,-0.2938,36,0.39137
ENSG00000078369,GNB1,234,-1.0056,436,-0.0325,483,0.15492,525,0.37557,396,-0.2134
