Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,39,-0.3080,7,-2.8674,20,-1.3315,83,0.94141,37,-0.4436,61,0.39913,72,0.82100
ENSG00000188290,HES4,67,0.85023,36,-0.1920,60,0.64414,29,-0.5303,31,-0.4464,19,-1.1756,45,0.21170
ENSG00000187608,ISG15,303,1.60282,98,-0.3470,33,-2.0134,31,-2.0789,77,-0.8073,182,0.66596,149,0.37760
ENSG00000078808,SDF4,82,0.15370,42,-0.8875,81,0.14640,126,0.89076,53,-0.6055,51,-0.5913,90,0.37413
ENSG00000176022,B3GALT6,18,-0.8854,20,-0.7943,31,-0.1003,32,-0.0495,23,-0.6487,60,1.00840,45,0.59951
ENSG00000160087,UBE2J2,16,-1.5041,20,-1.1994,46,0.12962,39,-0.1634,53,0.41644,77,0.99664,40,-0.1059
ENSG00000131584,ACAP3,79,-0.0956,49,-0.8385,120,0.58745,167,1.17223,56,-0.7010,42,-1.0651,93,0.19277
ENSG00000127054,INTS11,64,0.20875,26,-1.2204,85,0.68200,45,-0.3661,42,-0.5192,52,-0.1287,76,0.57529
ENSG00000224051,CPTP,21,-0.3726,23,-0.2318,15,-0.8665,17,-0.6959,25,-0.1403,29,0.11681,43,0.94415
ENSG00000107404,DVL1,51,0.05201,27,-0.9050,62,0.38955,66,0.48992,35,-0.5799,43,-0.2056,61,0.40447
ENSG00000175756,AURKAIP1,102,-0.4066,96,-0.4910,82,-0.7313,97,-0.4712,208,0.92979,86,-0.6634,150,0.25167
ENSG00000221978,CCNL2,69,0.38459,24,-1.2749,78,0.57980,33,-0.8045,49,-0.1943,63,0.22973,64,0.28881
ENSG00000242485,MRPL20,166,-0.0166,144,-0.2405,121,-0.5221,221,0.45113,179,0.11633,196,0.25309,153,-0.1729
ENSG00000179403,VWA1,157,2.81135,37,-0.0081,36,-0.0278,15,-1.3281,10,-2.0707,44,0.27053,11,-1.9082
ENSG00000205090,TMEM240,4,-2.8727,21,-0.5343,26,-0.1772,20,-0.6045,35,0.33388,21,-0.5538,52,1.13177
ENSG00000160075,SSU72,120,-0.0977,73,-0.8785,117,-0.1406,141,0.16908,150,0.30571,111,-0.2170,142,0.21158
ENSG00000228594,FNDC10,22,-0.7869,17,-1.1068,23,-0.7155,21,-0.8217,42,0.30493,73,1.20763,41,0.26748
ENSG00000197530,MIB2,42,0.09675,19,-1.1528,43,0.14468,22,-0.9403,71,1.19394,15,-1.5214,37,-0.1102
ENSG00000215790,SLC35E2A,34,0.00914,7,-2.2767,34,0.00961,36,0.08213,36,0.10310,30,-0.2157,47,0.60198
ENSG00000078369,GNB1,236,-0.7682,249,-0.6882,405,0.08602,385,0.00572,371,-0.0634,555,0.61457,442,0.26542
ENSG00000187730,GABRD,16,-2.0134,26,-1.3163,54,-0.2211,49,-0.3521,103,1.04499,34,-0.9087,84,0.60429
ENSG00000067606,PRKCZ,55,-1.6854,97,-0.8349,112,-0.6254,176,0.09487,213,0.48516,279,0.87848,173,0.07902
ENSG00000162585,FAAP20,76,0.77580,35,-0.4806,76,0.77523,27,-0.8907,37,-0.4327,80,0.85881,31,-0.7805
ENSG00000157933,SKI,65,0.94220,37,-0.0082,48,0.41750,79,1.27452,24,-0.7430,23,-0.7430,17,-1.2808
ENSG00000157916,RER1,95,0.57167,48,-0.5485,54,-0.3669,64,-0.0743,45,-0.7065,74,0.15706,91,0.57657
ENSG00000157870,PRXL2B,42,-0.6162,29,-1.2120,52,-0.3090,116,1.04847,50,-0.3873,99,0.76448,63,-0.0027
ENSG00000158109,TPRG1L,93,-1.1432,70,-1.5647,116,-0.8026,213,0.16525,175,-0.1720,308,0.78823,292,0.82628
ENSG00000130764,LRRC47,68,-0.3363,33,-1.4129,37,-1.2556,90,0.11840,109,0.50620,108,0.41955,100,0.32778
ENSG00000069424,KCNAB2,16,-3.9151,124,-0.9350,147,-0.6695,237,0.08049,308,0.61321,183,-0.3337,351,0.89170
ENSG00000116254,CHD5,14,-3.3668,94,-0.5138,179,0.51811,150,0.22999,105,-0.3840,131,0.00441,198,0.82986
ENSG00000116251,RPL22,1133,1.38389,677,0.46500,670,0.44570,516,0.01434,326,-0.7880,374,-0.4990,290,-0.9859
ENSG00000116237,ICMT,64,1.23566,28,-0.1610,22,-0.5693,25,-0.3509,16,-1.1663,17,-0.9321,47,0.79001
ENSG00000097021,ACOT7,25,-3.5830,131,-1.1395,108,-1.4356,243,-0.1866,287,0.09763,395,0.61947,488,1.20803
ENSG00000171680,PLEKHG5,0,-5.2594,15,-0.8762,26,0.03812,25,-0.0639,27,0.11191,11,-1.3521,50,1.39976
ENSG00000162408,NOL9,35,-0.1306,7,-2.4695,37,-0.0731,97,1.63540,28,-0.5696,45,0.24997,34,-0.2044
ENSG00000162413,KLHL21,91,1.14997,15,-1.7496,48,0.05366,74,0.78468,20,-1.4204,70,0.67945,40,-0.2683
ENSG00000007923,DNAJC11,17,-1.3515,34,-0.2619,38,-0.0748,45,0.19306,32,-0.4287,64,0.76750,50,0.42484
