Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to13,Feature log2 fold change topic 5to13
ENSG00000228794,LINC01128,2,-3.1271,5,-1.7777,18,0.03658,22,1.46647
ENSG00000188976,NOC2L,27,-0.5752,32,-0.3835,15,-1.4630,46,0.78868
ENSG00000188290,HES4,157,1.13309,54,-0.6018,45,-0.8354,78,0.01059
ENSG00000187608,ISG15,53,-0.6743,32,-1.5149,58,-0.5262,99,1.17840
ENSG00000188157,AGRN,2,-3.8530,45,0.76348,5,-2.5121,31,0.36933
ENSG00000131591,C1orf159,2,-2.5900,13,0.13789,19,0.76985,12,0.01985
ENSG00000078808,SDF4,60,-0.3358,95,0.43133,89,0.28413,69,-0.2829
ENSG00000176022,B3GALT6,2,-3.8158,18,-0.7505,52,0.96580,31,0.46637
ENSG00000160087,UBE2J2,2,-4.3525,41,0.01352,33,-0.3198,46,0.64165
ENSG00000131584,ACAP3,69,0.07100,45,-0.6073,33,-1.0220,74,0.60174
ENSG00000127054,INTS11,7,-2.7960,59,0.35474,30,-0.6830,52,0.41624
ENSG00000224051,CPTP,41,0.55543,19,-0.6164,30,0.10005,29,0.07228
ENSG00000107404,DVL1,101,0.98664,54,-0.0327,10,-2.5492,55,0.00684
ENSG00000175756,AURKAIP1,2,-6.2899,194,0.33020,81,-1.0267,179,0.60270
ENSG00000221978,CCNL2,40,-0.3336,46,-0.1431,23,-1.1584,55,0.49788
ENSG00000224870,MRPL20-AS1,2,-2.2413,10,0.07664,1,-3.2589,11,0.95182
ENSG00000242485,MRPL20,45,-2.0951,212,0.24810,124,-0.6040,200,0.42508
ENSG00000235098,ANKRD65,43,0.81168,42,0.87781,0,-5.2039,23,-0.4654
ENSG00000179403,VWA1,2,-4.8269,226,3.06771,15,-1.9964,31,-1.9208
ENSG00000197785,ATAD3A,2,-3.2639,23,0.33308,31,0.74573,19,-0.0662
ENSG00000205090,TMEM240,2,-3.6763,14,-0.9831,2,-3.7242,33,2.04919
