metric,name,value,form,SpD
Min.,APOE_carrier,0,carrier,Vasc_Sp09D08
Min.,round,0,carrier,Vasc_Sp09D08
Min.,Sex,0,carrier,Vasc_Sp09D08
Min.,Visium_slide,0,carrier,Vasc_Sp09D08
Min.,Anc_Afr,2.416554350705492e-10,carrier,Vasc_Sp09D08
Min.,Age,3.3665379903568164e-11,carrier,Vasc_Sp09D08
Min.,Rin,4.408660223065164e-11,carrier,Vasc_Sp09D08
Min.,pseudo_expr_chrM_ratio,2.095490211556008e-10,carrier,Vasc_Sp09D08
Min.,Residuals,0.011660527548608484,carrier,Vasc_Sp09D08
1st Qu.,APOE_carrier,0,carrier,Vasc_Sp09D08
1st Qu.,round,0,carrier,Vasc_Sp09D08
1st Qu.,Sex,0,carrier,Vasc_Sp09D08
1st Qu.,Visium_slide,0,carrier,Vasc_Sp09D08
1st Qu.,Anc_Afr,0.0038868052058778557,carrier,Vasc_Sp09D08
1st Qu.,Age,0.0035247040542515603,carrier,Vasc_Sp09D08
1st Qu.,Rin,0.004914572264810021,carrier,Vasc_Sp09D08
1st Qu.,pseudo_expr_chrM_ratio,0.0037985444766016636,carrier,Vasc_Sp09D08
1st Qu.,Residuals,0.6708432205325525,carrier,Vasc_Sp09D08
Median,APOE_carrier,0,carrier,Vasc_Sp09D08
Median,round,0,carrier,Vasc_Sp09D08
Median,Sex,0,carrier,Vasc_Sp09D08
Median,Visium_slide,1.638249398963478e-19,carrier,Vasc_Sp09D08
Median,Anc_Afr,0.017200988518489863,carrier,Vasc_Sp09D08
Median,Age,0.01585029999707718,carrier,Vasc_Sp09D08
Median,Rin,0.019735367175591368,carrier,Vasc_Sp09D08
Median,pseudo_expr_chrM_ratio,0.01906039561796657,carrier,Vasc_Sp09D08
Median,Residuals,0.8016696983873927,carrier,Vasc_Sp09D08
Mean,APOE_carrier,0.010697941755620898,carrier,Vasc_Sp09D08
Mean,round,0.012094645481937479,carrier,Vasc_Sp09D08
Mean,Sex,0.0089392901025564,carrier,Vasc_Sp09D08
Mean,Visium_slide,0.054015803272211095,carrier,Vasc_Sp09D08
Mean,Anc_Afr,0.030459678606404653,carrier,Vasc_Sp09D08
Mean,Age,0.03450302222058224,carrier,Vasc_Sp09D08
Mean,Rin,0.03708375947996974,carrier,Vasc_Sp09D08
Mean,pseudo_expr_chrM_ratio,0.048263197232864555,carrier,Vasc_Sp09D08
Mean,Residuals,0.763942661847853,carrier,Vasc_Sp09D08
3rd Qu.,APOE_carrier,8.254857887124176e-13,carrier,Vasc_Sp09D08
3rd Qu.,round,8.991908201063572e-12,carrier,Vasc_Sp09D08
3rd Qu.,Sex,0,carrier,Vasc_Sp09D08
3rd Qu.,Visium_slide,0.07025248423414854,carrier,Vasc_Sp09D08
3rd Qu.,Anc_Afr,0.043562056038854255,carrier,Vasc_Sp09D08
3rd Qu.,Age,0.04564338858877841,carrier,Vasc_Sp09D08
3rd Qu.,Rin,0.050237806274150774,carrier,Vasc_Sp09D08
3rd Qu.,pseudo_expr_chrM_ratio,0.056569685318887314,carrier,Vasc_Sp09D08
3rd Qu.,Residuals,0.8913365449742161,carrier,Vasc_Sp09D08
Max.,APOE_carrier,0.4303387651479066,carrier,Vasc_Sp09D08
Max.,round,0.4493073435396819,carrier,Vasc_Sp09D08
Max.,Sex,0.859115778742961,carrier,Vasc_Sp09D08
Max.,Visium_slide,0.9839442455312102,carrier,Vasc_Sp09D08
Max.,Anc_Afr,0.5480995873676732,carrier,Vasc_Sp09D08
Max.,Age,0.4244849895925164,carrier,Vasc_Sp09D08
Max.,Rin,0.41939076367723094,carrier,Vasc_Sp09D08
Max.,pseudo_expr_chrM_ratio,0.9626053698968984,carrier,Vasc_Sp09D08
Max.,Residuals,0.9999004782377923,carrier,Vasc_Sp09D08
Min.,APOE,0,apoe,Vasc_Sp09D08
Min.,round,0,apoe,Vasc_Sp09D08
Min.,Sex,0,apoe,Vasc_Sp09D08
Min.,Visium_slide,0,apoe,Vasc_Sp09D08
Min.,Anc_Afr,1.7364523886939766e-9,apoe,Vasc_Sp09D08
Min.,Age,3.3666863367358895e-11,apoe,Vasc_Sp09D08
Min.,Rin,4.3714017093512325e-11,apoe,Vasc_Sp09D08
Min.,pseudo_expr_chrM_ratio,2.95328668971732e-10,apoe,Vasc_Sp09D08
Min.,Residuals,0.00984689423261315,apoe,Vasc_Sp09D08
1st Qu.,APOE,0,apoe,Vasc_Sp09D08
1st Qu.,round,0,apoe,Vasc_Sp09D08
1st Qu.,Sex,0,apoe,Vasc_Sp09D08
1st Qu.,Visium_slide,0,apoe,Vasc_Sp09D08
1st Qu.,Anc_Afr,0.0038378474928762417,apoe,Vasc_Sp09D08
1st Qu.,Age,0.0036069265960859418,apoe,Vasc_Sp09D08
1st Qu.,Rin,0.004914572264809545,apoe,Vasc_Sp09D08
1st Qu.,pseudo_expr_chrM_ratio,0.0037132899176254455,apoe,Vasc_Sp09D08
1st Qu.,Residuals,0.631068479199294,apoe,Vasc_Sp09D08
Median,APOE,0,apoe,Vasc_Sp09D08
Median,round,0,apoe,Vasc_Sp09D08
Median,Sex,0,apoe,Vasc_Sp09D08
