metric,name,value,form,vSpD
Min.,APOE_carrier,0,carrier,vWMuf
Min.,round,0,carrier,vWMuf
Min.,Sex,0,carrier,vWMuf
Min.,Visium_slide,0,carrier,vWMuf
Min.,Anc_Afr,1.1675115730340046e-12,carrier,vWMuf
Min.,Age,6.083989043160403e-12,carrier,vWMuf
Min.,Rin,1.0382987824706084e-10,carrier,vWMuf
Min.,pseudo_expr_chrM_ratio,3.53425985057206e-12,carrier,vWMuf
Min.,nspots,2.939304348504122e-9,carrier,vWMuf
Min.,Residuals,0.022147445982931585,carrier,vWMuf
1st Qu.,APOE_carrier,3.1391580615442965e-17,carrier,vWMuf
1st Qu.,round,0,carrier,vWMuf
1st Qu.,Sex,0,carrier,vWMuf
1st Qu.,Visium_slide,0,carrier,vWMuf
1st Qu.,Anc_Afr,0.0033446183340985385,carrier,vWMuf
1st Qu.,Age,0.0023905179992555455,carrier,vWMuf
1st Qu.,Rin,0.0044912982644632815,carrier,vWMuf
1st Qu.,pseudo_expr_chrM_ratio,0.006297636599639378,carrier,vWMuf
1st Qu.,nspots,0.015494843887338558,carrier,vWMuf
1st Qu.,Residuals,0.6365684071215599,carrier,vWMuf
Median,APOE_carrier,3.9639847653834377e-17,carrier,vWMuf
Median,round,0,carrier,vWMuf
Median,Sex,0,carrier,vWMuf
Median,Visium_slide,0,carrier,vWMuf
Median,Anc_Afr,0.014421692622550424,carrier,vWMuf
Median,Age,0.012563533393080879,carrier,vWMuf
Median,Rin,0.017738373726534626,carrier,vWMuf
Median,pseudo_expr_chrM_ratio,0.02440914594086488,carrier,vWMuf
Median,nspots,0.056526526870450636,carrier,vWMuf
Median,Residuals,0.7487812160789327,carrier,vWMuf
Mean,APOE_carrier,3.9663647777024014e-14,carrier,vWMuf
Mean,round,0.009505911622204693,carrier,vWMuf
Mean,Sex,0.008650534891184725,carrier,vWMuf
Mean,Visium_slide,0.03883414979448995,carrier,vWMuf
Mean,Anc_Afr,0.02732315802318963,carrier,vWMuf
Mean,Age,0.029776047458573863,carrier,vWMuf
Mean,Rin,0.036009952598877244,carrier,vWMuf
Mean,pseudo_expr_chrM_ratio,0.04486032069920632,carrier,vWMuf
Mean,nspots,0.08295331031039621,carrier,vWMuf
Mean,Residuals,0.7220866146018377,carrier,vWMuf
3rd Qu.,APOE_carrier,4.5835070336915057e-17,carrier,vWMuf
3rd Qu.,round,0,carrier,vWMuf
3rd Qu.,Sex,0,carrier,vWMuf
3rd Qu.,Visium_slide,0,carrier,vWMuf
