metric,name,value,form,vSpD
Min.,APOE_carrier,0,carrier,vL5b
Min.,round,0,carrier,vL5b
Min.,Sex,0,carrier,vL5b
Min.,Visium_slide,0,carrier,vL5b
Min.,Anc_Afr,6.9019922023055275e-12,carrier,vL5b
Min.,Age,1.2155212216750858e-11,carrier,vL5b
Min.,Rin,1.0220058133094481e-11,carrier,vL5b
Min.,pseudo_expr_chrM_ratio,3.83964385419512e-9,carrier,vL5b
Min.,nspots,4.397869732658124e-12,carrier,vL5b
Min.,Residuals,0.01637793748200284,carrier,vL5b
1st Qu.,APOE_carrier,1.4081959983750982e-20,carrier,vL5b
1st Qu.,round,0,carrier,vL5b
1st Qu.,Sex,0,carrier,vL5b
1st Qu.,Visium_slide,0,carrier,vL5b
1st Qu.,Anc_Afr,0.00503252030207148,carrier,vL5b
1st Qu.,Age,0.004357038918834408,carrier,vL5b
1st Qu.,Rin,0.007109777156905531,carrier,vL5b
1st Qu.,pseudo_expr_chrM_ratio,0.009560169338053223,carrier,vL5b
1st Qu.,nspots,0.005338702338681176,carrier,vL5b
1st Qu.,Residuals,0.5018518999021204,carrier,vL5b
Median,APOE_carrier,1.8844516092777354e-20,carrier,vL5b
Median,round,0,carrier,vL5b
Median,Sex,0,carrier,vL5b
Median,Visium_slide,0,carrier,vL5b
Median,Anc_Afr,0.02014121934635852,carrier,vL5b
Median,Age,0.019663256184661325,carrier,vL5b
Median,Rin,0.032257529850347695,carrier,vL5b
Median,pseudo_expr_chrM_ratio,0.043016578873090204,carrier,vL5b
Median,nspots,0.02249775380838318,carrier,vL5b
Median,Residuals,0.6699746688822007,carrier,vL5b
Mean,APOE_carrier,2.529208573917667e-19,carrier,vL5b
Mean,round,0.011879812708364784,carrier,vL5b
Mean,Sex,0.008214741762007807,carrier,vL5b
Mean,Visium_slide,0.055992723062692276,carrier,vL5b
Mean,Anc_Afr,0.03430928312857004,carrier,vL5b
Mean,Age,0.042950059230201544,carrier,vL5b
Mean,Rin,0.05834209322183424,carrier,vL5b
Mean,pseudo_expr_chrM_ratio,0.0961801745528133,carrier,vL5b
Mean,nspots,0.051946260804810136,carrier,vL5b
Mean,Residuals,0.6401848515287059,carrier,vL5b
3rd Qu.,APOE_carrier,2.2402284993243576e-20,carrier,vL5b
3rd Qu.,round,0,carrier,vL5b
3rd Qu.,Sex,0,carrier,vL5b
3rd Qu.,Visium_slide,0.07676389015384633,carrier,vL5b
3rd Qu.,Anc_Afr,0.05140997197000739,carrier,vL5b
3rd Qu.,Age,0.060288200212694425,carrier,vL5b
3rd Qu.,Rin,0.08945461334102978,carrier,vL5b
3rd Qu.,pseudo_expr_chrM_ratio,0.13764617836322784,carrier,vL5b
3rd Qu.,nspots,0.06720201695232028,carrier,vL5b
3rd Qu.,Residuals,0.7956324370101567,carrier,vL5b
Max.,APOE_carrier,5.9927456487759366e-15,carrier,vL5b
Max.,round,0.4425815738012448,carrier,vL5b
Max.,Sex,0.8767940688390186,carrier,vL5b
Max.,Visium_slide,0.972386038541046,carrier,vL5b
Max.,Anc_Afr,0.4512297397671111,carrier,vL5b
Max.,Age,0.46104679304897783,carrier,vL5b
Max.,Rin,0.548548325328085,carrier,vL5b
Max.,pseudo_expr_chrM_ratio,0.8967368983263475,carrier,vL5b
Max.,nspots,0.7484024642827339,carrier,vL5b
Max.,Residuals,0.9931297803036695,carrier,vL5b
Min.,APOE,0,apoe,vL5b
Min.,round,0,apoe,vL5b
Min.,Sex,0,apoe,vL5b
Min.,Visium_slide,0,apoe,vL5b
Min.,Anc_Afr,6.057843630685866e-10,apoe,vL5b
Min.,Age,4.2109940430945384e-11,apoe,vL5b
Min.,Rin,3.460681635813104e-10,apoe,vL5b
Min.,pseudo_expr_chrM_ratio,2.2194634324855766e-13,apoe,vL5b
Min.,nspots,3.5808762536997925e-9,apoe,vL5b
Min.,Residuals,0.018802666630796272,apoe,vL5b
1st Qu.,APOE,0,apoe,vL5b
1st Qu.,round,0,apoe,vL5b
1st Qu.,Sex,0,apoe,vL5b
1st Qu.,Visium_slide,0,apoe,vL5b
1st Qu.,Anc_Afr,0.005749950981769472,apoe,vL5b
