metric,name,value,form,vSpD
Min.,APOE_carrier,0,carrier,vInhib
Min.,round,0,carrier,vInhib
Min.,Sex,0,carrier,vInhib
Min.,Visium_slide,0,carrier,vInhib
Min.,Anc_Afr,2.1253157719348064e-10,carrier,vInhib
Min.,Age,2.8437567885461365e-10,carrier,vInhib
Min.,Rin,1.1093021065136692e-10,carrier,vInhib
Min.,pseudo_expr_chrM_ratio,2.5454910984766423e-11,carrier,vInhib
Min.,nspots,4.815629510741675e-10,carrier,vInhib
Min.,Residuals,0.051266234783508766,carrier,vInhib
1st Qu.,APOE_carrier,0,carrier,vInhib
1st Qu.,round,0,carrier,vInhib
1st Qu.,Sex,0,carrier,vInhib
1st Qu.,Visium_slide,2.904533812221452e-16,carrier,vInhib
1st Qu.,Anc_Afr,0.004640917684223696,carrier,vInhib
1st Qu.,Age,0.003481608141516777,carrier,vInhib
1st Qu.,Rin,0.0058100303028472055,carrier,vInhib
1st Qu.,pseudo_expr_chrM_ratio,0.005709716803521068,carrier,vInhib
1st Qu.,nspots,0.005450098637498478,carrier,vInhib
1st Qu.,Residuals,0.6501359371098293,carrier,vInhib
Median,APOE_carrier,0,carrier,vInhib
Median,round,0,carrier,vInhib
Median,Sex,0,carrier,vInhib
Median,Visium_slide,1.986193478514785e-15,carrier,vInhib
Median,Anc_Afr,0.019128620849821792,carrier,vInhib
Median,Age,0.015616993092638235,carrier,vInhib
Median,Rin,0.02557501118988383,carrier,vInhib
Median,pseudo_expr_chrM_ratio,0.02387890649213533,carrier,vInhib
Median,nspots,0.024505466962018954,carrier,vInhib
Median,Residuals,0.765408129776721,carrier,vInhib
Mean,APOE_carrier,0.013482480719032717,carrier,vInhib
Mean,round,0.01486670965083834,carrier,vInhib
Mean,Sex,0.012014417950879196,carrier,vInhib
Mean,Visium_slide,2.0121174571857725e-5,carrier,vInhib
Mean,Anc_Afr,0.03383245069769039,carrier,vInhib
Mean,Age,0.0352057425339024,carrier,vInhib
Mean,Rin,0.049778862171391144,carrier,vInhib
Mean,pseudo_expr_chrM_ratio,0.05309253502069594,carrier,vInhib
Mean,nspots,0.05041250678549497,carrier,vInhib
Mean,Residuals,0.7372941732955031,carrier,vInhib
3rd Qu.,APOE_carrier,0,carrier,vInhib
3rd Qu.,round,0,carrier,vInhib
3rd Qu.,Sex,0,carrier,vInhib
3rd Qu.,Visium_slide,8.426143893670964e-14,carrier,vInhib
