metric,name,value,form,vSpD
Min.,APOE_carrier,0,carrier,vWMpv
Min.,round,0,carrier,vWMpv
Min.,Sex,0,carrier,vWMpv
Min.,Visium_slide,0,carrier,vWMpv
Min.,Anc_Afr,1.920710269243289e-12,carrier,vWMpv
Min.,Age,4.121883012213594e-10,carrier,vWMpv
Min.,Rin,9.724214228529076e-12,carrier,vWMpv
Min.,pseudo_expr_chrM_ratio,1.7040288995953664e-11,carrier,vWMpv
Min.,nspots,2.235713181387335e-11,carrier,vWMpv
Min.,Residuals,0.03877924530090943,carrier,vWMpv
1st Qu.,APOE_carrier,2.1587299094125086e-19,carrier,vWMpv
1st Qu.,round,0,carrier,vWMpv
1st Qu.,Sex,0,carrier,vWMpv
1st Qu.,Visium_slide,0,carrier,vWMpv
1st Qu.,Anc_Afr,0.003530430183211461,carrier,vWMpv
1st Qu.,Age,0.004348100882558348,carrier,vWMpv
1st Qu.,Rin,0.005067404673501149,carrier,vWMpv
1st Qu.,pseudo_expr_chrM_ratio,0.004052502078111099,carrier,vWMpv
1st Qu.,nspots,0.010068822767539447,carrier,vWMpv
1st Qu.,Residuals,0.5647645969892994,carrier,vWMpv
Median,APOE_carrier,9.677149194749058e-14,carrier,vWMpv
Median,round,0,carrier,vWMpv
Median,Sex,0,carrier,vWMpv
Median,Visium_slide,1.92658826886613e-10,carrier,vWMpv
Median,Anc_Afr,0.01550847328968195,carrier,vWMpv
Median,Age,0.017249050091196025,carrier,vWMpv
Median,Rin,0.019326498961204766,carrier,vWMpv
Median,pseudo_expr_chrM_ratio,0.018554667193888933,carrier,vWMpv
Median,nspots,0.04258796283395995,carrier,vWMpv
Median,Residuals,0.716012920801367,carrier,vWMpv
Mean,APOE_carrier,1.955568228865218e-6,carrier,vWMpv
Mean,round,0.009247624544833714,carrier,vWMpv
Mean,Sex,0.009343326724286524,carrier,vWMpv
Mean,Visium_slide,0.07512101311157071,carrier,vWMpv
Mean,Anc_Afr,0.030016988880576956,carrier,vWMpv
Mean,Age,0.034663079702753515,carrier,vWMpv
Mean,Rin,0.03323558174124574,carrier,vWMpv
Mean,pseudo_expr_chrM_ratio,0.04272893287232175,carrier,vWMpv
Mean,nspots,0.07910131895498364,carrier,vWMpv
Mean,Residuals,0.6865401778991986,carrier,vWMpv
3rd Qu.,APOE_carrier,9.299803918616669e-13,carrier,vWMpv
3rd Qu.,round,0,carrier,vWMpv
3rd Qu.,Sex,0,carrier,vWMpv
3rd Qu.,Visium_slide,0.12242694263962643,carrier,vWMpv
3rd Qu.,Anc_Afr,0.040554544521540684,carrier,vWMpv
3rd Qu.,Age,0.04713143191387501,carrier,vWMpv
3rd Qu.,Rin,0.04545427463294001,carrier,vWMpv
3rd Qu.,pseudo_expr_chrM_ratio,0.05531814377434724,carrier,vWMpv
3rd Qu.,nspots,0.11002882291849962,carrier,vWMpv
3rd Qu.,Residuals,0.8340931224879351,carrier,vWMpv
Max.,APOE_carrier,0.03200322602071054,carrier,vWMpv
Max.,round,0.42937399732107057,carrier,vWMpv
Max.,Sex,0.8516162557446132,carrier,vWMpv
Max.,Visium_slide,0.8952196800259071,carrier,vWMpv
Max.,Anc_Afr,0.4591459091110867,carrier,vWMpv
Max.,Age,0.43727949229024754,carrier,vWMpv
Max.,Rin,0.48368159346422646,carrier,vWMpv
Max.,pseudo_expr_chrM_ratio,0.9036053176310557,carrier,vWMpv
Max.,nspots,0.6518311001229693,carrier,vWMpv
Max.,Residuals,0.9967720032561268,carrier,vWMpv
Min.,APOE,0,apoe,vWMpv
Min.,round,0,apoe,vWMpv
Min.,Sex,0,apoe,vWMpv
Min.,Visium_slide,0,apoe,vWMpv
Min.,Anc_Afr,1.3503527890938393e-11,apoe,vWMpv
Min.,Age,4.790523172307361e-11,apoe,vWMpv
Min.,Rin,5.860872919091915e-12,apoe,vWMpv
Min.,pseudo_expr_chrM_ratio,1.8122509423422293e-11,apoe,vWMpv
Min.,nspots,3.408637304888032e-11,apoe,vWMpv
Min.,Residuals,0.03371822090446328,apoe,vWMpv
1st Qu.,APOE,0,apoe,vWMpv
1st Qu.,round,0,apoe,vWMpv
1st Qu.,Sex,0,apoe,vWMpv
1st Qu.,Visium_slide,0,apoe,vWMpv
1st Qu.,Anc_Afr,0.0036341080550402662,apoe,vWMpv
1st Qu.,Age,0.004399815654087953,apoe,vWMpv
1st Qu.,Rin,0.005387674036221258,apoe,vWMpv
1st Qu.,pseudo_expr_chrM_ratio,0.004316157316163303,apoe,vWMpv
1st Qu.,nspots,0.00979330808145618,apoe,vWMpv
1st Qu.,Residuals,0.5135456157387012,apoe,vWMpv
Median,APOE,0,apoe,vWMpv
Median,round,0,apoe,vWMpv
Median,Sex,0,apoe,vWMpv
Median,Visium_slide,6.614203061980003e-10,apoe,vWMpv
Median,Anc_Afr,0.01582330777963985,apoe,vWMpv
Median,Age,0.017403025197436587,apoe,vWMpv
Median,Rin,0.02039708014409123,apoe,vWMpv
