Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,131,1.13522,64,-0.0798,113,0.87067,18,-1.9796,94,0.64904,47,-0.5793,20,-1.8581,25,-1.5072
ENSG00000188290,HES4,30,-1.4868,224,1.88022,88,0.17741,29,-1.5221,65,-0.3447,69,-0.2112,73,-0.1134,65,-0.3044
ENSG00000187608,ISG15,30,-1.3361,138,1.13462,131,1.04130,33,-1.2074,65,-0.1508,56,-0.3753,35,-1.0949,86,0.30352
ENSG00000078808,SDF4,30,-1.3731,187,1.66579,91,0.36310,95,0.42972,76,0.08634,18,-2.0947,41,-0.8987,41,-0.8855
ENSG00000160087,UBE2J2,30,-0.6199,26,-0.8113,58,0.44022,73,0.83745,40,-0.1743,66,0.64576,17,-1.4877,49,0.15817
ENSG00000131584,ACAP3,36,-1.6095,60,-0.8409,75,-0.5018,146,0.57626,181,1.16239,114,0.16692,46,-1.2330,87,-0.2757
ENSG00000127054,INTS11,30,-0.8816,72,0.51910,51,-0.0381,75,0.58233,59,0.20872,54,0.05471,38,-0.4999,35,-0.6450
ENSG00000224051,CPTP,30,-0.4360,71,0.99150,48,0.31667,39,-0.0031,43,0.18131,29,-0.4629,24,-0.7868,27,-0.6171
ENSG00000107404,DVL1,30,-1.4086,46,-0.7637,73,-0.0356,91,0.32373,89,0.32769,57,-0.4344,89,0.28255,109,0.62811
ENSG00000175756,AURKAIP1,30,-2.1232,55,-1.2183,175,0.62352,69,-0.8774,140,0.28777,187,0.73204,137,0.21436,151,0.36620
ENSG00000221978,CCNL2,30,-1.2165,136,1.25123,90,0.52987,51,-0.3976,83,0.44559,52,-0.3772,39,-0.8280,27,-1.3610
ENSG00000242485,MRPL20,30,-2.4806,124,-0.3447,202,0.45230,212,0.53001,128,-0.3309,207,0.49134,175,0.21527,177,0.23506
ENSG00000205090,TMEM240,30,-1.0276,7,-3.0342,76,0.43854,135,1.46876,52,-0.2122,65,0.19239,59,0.04019,46,-0.3630
ENSG00000160075,SSU72,39,-1.9950,141,-0.0372,194,0.48536,201,0.55019,144,-0.0037,188,0.43934,95,-0.6650,153,0.09214
ENSG00000228594,FNDC10,87,1.02198,39,-0.3070,66,0.54181,17,-1.5704,45,-0.0766,36,-0.4541,41,-0.2368,51,0.10845
ENSG00000197530,MIB2,30,-0.3090,26,-0.5485,43,0.27956,53,0.61176,44,0.38078,26,-0.5177,30,-0.3156,31,-0.2555
ENSG00000189339,SLC35E2B,30,-0.2175,0,-6.4465,39,0.19321,32,-0.1057,51,0.78300,37,0.12885,41,0.28512,28,-0.3315
ENSG00000078369,GNB1,47,-3.2206,271,-0.6173,556,0.54889,424,0.09579,477,0.33543,578,0.61488,272,-0.6109,495,0.35309
ENSG00000187730,GABRD,30,-2.5289,68,-1.3158,207,0.43398,276,0.93053,247,0.88277,162,0.03438,84,-0.9957,109,-0.5918
ENSG00000067606,PRKCZ,51,-2.1051,33,-2.7229,318,0.76297,308,0.70623,237,0.30753,174,-0.2373,141,-0.5660,316,0.75121
ENSG00000162585,FAAP20,30,-0.7398,91,1.08608,108,1.40509,15,-1.7703,27,-0.9908,40,-0.2861,26,-0.9727,68,0.58649
ENSG00000157933,SKI,30,-0.9433,71,0.41556,39,-0.5497,88,0.79829,53,-0.0771,65,0.27612,47,-0.2468,49,-0.1869
ENSG00000157916,RER1,30,-1.0518,50,-0.2646,75,0.38888,78,0.46752,78,0.53557,34,-0.8559,69,0.25540,39,-0.6544
ENSG00000157870,PRXL2B,30,-1.2997,75,0.12071,37,-0.9759,92,0.46371,108,0.89213,50,-0.5132,54,-0.3955,70,0.00436
ENSG00000158109,TPRG1L,30,-2.7610,136,-0.4915,259,0.54952,325,0.94574,255,0.61696,153,-0.3093,115,-0.7625,145,-0.3987
ENSG00000130764,LRRC47,595,3.03156,49,-1.5017,97,-0.4723,56,-1.3045,107,-0.3567,45,-1.6236,49,-1.5068,68,-1.0243
ENSG00000196581,AJAP1,30,-0.8267,14,-1.9027,48,-0.0930,114,1.39570,65,0.47108,36,-0.5523,57,0.19952,28,-0.9276
ENSG00000069424,KCNAB2,88,-1.6620,73,-1.9333,297,0.23627,387,0.68399,297,0.27614,412,0.79478,230,-0.1787,231,-0.1696
ENSG00000116254,CHD5,30,-2.6700,39,-2.2938,337,1.12322,323,1.04837,200,0.25356,153,-0.2159,91,-1.0127,200,0.21719
ENSG00000116251,RPL22,30,-4.0710,1057,1.46792,330,-0.5168,329,-0.5205,395,-0.2644,411,-0.1690,631,0.53557,533,0.25215
ENSG00000116237,ICMT,30,-0.7540,53,0.13692,48,-0.0177,65,0.49032,79,0.98369,21,-1.2951,23,-1.1767,39,-0.3554
ENSG00000097021,ACOT7,34,-3.0241,70,-1.9655,420,0.85063,398,0.75310,409,0.96194,243,-0.0712,170,-0.6389,132,-1.0294
ENSG00000162408,NOL9,30,-0.7298,31,-0.6653,38,-0.3503,48,0.01164,74,0.88751,49,0.06118,24,-1.0674,59,0.35934
ENSG00000007923,DNAJC11,30,-0.4529,46,0.24800,60,0.66785,68,0.90331,37,-0.1543,16,-1.4083,21,-0.9904,44,0.17205
ENSG00000171735,CAMTA1,30,-2.7593,200,0.12181,305,0.83585,201,0.12763,208,0.20929,155,-0.2859,162,-0.2206,203,0.14460
ENSG00000116288,PARK7,32,-3.1690,151,-0.8815,291,0.15974,287,0.13841,331,0.43638,402,0.70487,313,0.28191,236,-0.1817
ENSG00000142599,RERE,30,-1.8515,114,0.21234,94,-0.1093,131,0.44005,113,0.22804,157,0.75432,110,0.15380,40,-1.4336
ENSG00000074800,ENO1,482,-0.2065,452,-0.3113,465,-0.2655,606,0.16250,715,0.51234,583,0.10087,583,0.09930,335,-0.7771
ENSG00000171603,CLSTN1,30,-4.3851,220,-1.4979,804,0.54838,584,0.01639,1179,1.53661,415,-0.5286,385,-0.6420,404,-0.5680
ENSG00000178585,CTNNBIP1,30,-0.5874,49,0.18866,52,0.28128,29,-0.6407,56,0.49322,30,-0.5676,15,-1.6231,74,0.89688
ENSG00000162441,LZIC,30,-0.4778,71,0.93512,63,0.73631,44,0.12842,21,-1.1425,44,0.13141,53,0.43221,19,-1.1641
ENSG00000130939,UBE4B,30,-0.6288,33,-0.4613,75,0.87515,42,-0.1044,53,0.32214,41,-0.1198,29,-0.6940,45,0.03069
ENSG00000054523,KIF1B,373,0.02406,218,-0.8240,361,-0.0309,428,0.25105,457,0.41829,266,-0.5121,297,-0.3391,450,0.33198
ENSG00000142657,PGD,30,-0.5382,20,-1.1692,33,-0.3835,32,-0.4268,80,1.34665,40,-0.0871,17,-1.3887,47,0.17796
ENSG00000241563,CORT,11787,8.11390,2,-9.4839,159,-3.2325,31,-5.5960,28,-5.9417,13,-6.7580,31,-5.5795,46,-5.0330
ENSG00000120948,TARDBP,426,2.57010,69,-0.7452,82,-0.4754,95,-0.2463,78,-0.6104,40,-1.5509,69,-0.7479,58,-0.9978
ENSG00000116649,SRM,30,-1.6119,51,-0.8030,143,0.86887,72,-0.2796,127,0.78519,99,0.23404,59,-0.5940,61,-0.5221
ENSG00000198793,MTOR,30,-0.4254,11,-1.9504,72,1.02810,33,-0.2690,50,0.47588,29,-0.4494,49,0.38250,27,-0.5621
ENSG00000116661,FBXO2,30,-2.9387,159,-0.4427,178,-0.2622,196,-0.1117,198,-0.1071,254,0.31362,444,1.29495,232,0.16384
ENSG00000132879,FBXO44,313,1.09723,75,-1.2239,192,0.25433,325,1.16926,157,-0.0903,109,-0.6531,56,-1.6598,97,-0.8289
ENSG00000011021,CLCN6,30,-1.0227,5,-3.4941,85,0.63718,40,-0.5884,109,1.32290,25,-1.3166,53,-0.1252,65,0.18089
ENSG00000116688,MFN2,30,-1.8657,64,-0.7308,164,0.80273,106,0.07227,144,0.68357,68,-0.6221,91,-0.1681,102,0.01081
ENSG00000048707,VPS13D,374,2.50851,47,-1.1697,94,-0.0862,75,-0.4448,71,-0.6101,34,-1.6388,56,-0.8987,74,-0.4624
ENSG00000162496,DHRS3,30,-0.4642,109,1.78113,26,-0.6671,29,-0.4988,21,-1.1043,15,-1.5044,55,0.52438,54,0.50059
ENSG00000116731,PRDM2,30,-1.5597,111,0.48388,70,-0.2581,108,0.44812,113,0.60760,64,-0.3940,58,-0.5633,76,-0.1374
ENSG00000189337,KAZN,30,-0.6260,60,0.49276,106,1.50462,30,-0.6403,42,-0.1155,32,-0.5143,4,-3.3502,55,0.35889
ENSG00000142634,EFHD2,30,-0.9445,24,-1.2715,106,1.11739,21,-1.4753,66,0.33912,23,-1.3422,14,-2.0721,145,1.72289
ENSG00000116786,PLEKHM2,30,-1.3993,55,-0.4638,83,0.17543,70,-0.0884,78,0.08745,91,0.33082,57,-0.4079,126,0.88854
ENSG00000065526,SPEN,30,-0.9164,111,1.24178,15,-1.9549,63,0.26845,64,0.32415,20,-1.4945,48,-0.1795,69,0.40833
ENSG00000159363,ATP13A2,278,1.03237,26,-2.6490,237,0.75342,98,-0.6895,212,0.66328,58,-1.4861,87,-0.8672,153,0.02019
ENSG00000117118,SDHB,30,-1.4251,96,0.39351,86,0.21710,54,-0.5342,90,0.34537,94,0.36931,84,0.16817,54,-0.5302
