Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,79,0.59509,44,-0.3501,102,1.03683,36,-0.6787,63,0.22876,20,-1.5226,60,0.15146,45,-0.3064,46,-0.3004
ENSG00000188290,HES4,389,2.49126,62,-0.8280,81,-0.3955,26,-2.0890,95,-0.1438,66,-0.7189,109,0.07333,34,-1.7400,77,-0.4919
ENSG00000187608,ISG15,197,1.50697,79,-0.0754,115,0.52993,25,-1.8136,83,-0.0112,62,-0.4681,26,-1.7687,75,-0.1611,87,0.06223
ENSG00000078808,SDF4,175,1.26224,156,1.05033,97,0.22448,92,0.14444,51,-0.7803,34,-1.3811,52,-0.7576,49,-0.8609,51,-0.7768
ENSG00000160087,UBE2J2,60,0.34143,2,-4.6912,48,-0.0285,52,0.10949,97,1.18978,39,-0.3537,54,0.18667,33,-0.5814,51,0.09570
ENSG00000131584,ACAP3,56,-0.9321,66,-0.6568,166,0.83974,127,0.38499,54,-0.9849,36,-1.6032,134,0.47436,164,0.81625,104,0.05073
ENSG00000127054,INTS11,67,0.30998,66,0.28396,55,-0.0113,83,0.67551,44,-0.3693,33,-0.8034,67,0.32582,40,-0.4937,42,-0.4294
ENSG00000224051,CPTP,99,1.49130,34,-0.3400,56,0.47194,31,-0.4694,31,-0.4617,27,-0.7018,30,-0.5534,39,-0.1105,31,-0.4716
ENSG00000107404,DVL1,26,-1.7387,69,-0.2329,65,-0.3297,95,0.27864,135,0.87590,103,0.42097,54,-0.6313,95,0.28695,78,-0.0357
ENSG00000175756,AURKAIP1,46,-1.4935,71,-0.8490,176,0.60695,100,-0.3196,116,-0.0820,171,0.56695,153,0.37544,121,-0.0105,142,0.25558
ENSG00000221978,CCNL2,225,1.98302,41,-0.9398,83,0.15098,61,-0.3384,95,0.37829,41,-0.9519,41,-0.9601,52,-0.5903,40,-1.0016
ENSG00000242485,MRPL20,126,-0.5113,139,-0.3642,120,-0.5951,170,-0.0356,231,0.46454,152,-0.2213,183,0.08155,239,0.52292,208,0.29181
ENSG00000205090,TMEM240,8,-3.1265,17,-1.9906,47,-0.4808,90,0.56361,103,0.79678,41,-0.6761,93,0.63228,113,0.97049,61,-0.0575
ENSG00000160075,SSU72,195,0.35561,91,-0.8555,153,-0.0494,214,0.50933,193,0.33738,122,-0.4037,117,-0.4744,155,-0.0207,175,0.17558
