Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to9,Feature log2 fold change topic 3to9
ENSG00000188976,NOC2L,37,-0.3802,29,-0.7537,51,0.62132
ENSG00000188290,HES4,4,-4.5579,52,-0.8324,106,1.90522
ENSG00000187608,ISG15,74,0.61131,35,-0.6068,50,-0.1140
ENSG00000188157,AGRN,97,1.56091,18,-1.1812,34,-0.7309
ENSG00000078808,SDF4,370,1.95692,54,-1.3181,101,-1.0671
ENSG00000176022,B3GALT6,13,-1.2794,20,-0.6842,35,1.05149
ENSG00000160087,UBE2J2,51,0.03017,32,-0.6839,52,0.32824
ENSG00000131584,ACAP3,3,-5.3593,85,-0.4421,132,1.57889
ENSG00000127054,INTS11,3,-4.5354,39,-0.7786,76,1.85334
ENSG00000224051,CPTP,3,-3.7133,24,-0.7714,46,1.76243
ENSG00000107404,DVL1,3,-4.1943,49,-0.0421,57,1.13614
ENSG00000175756,AURKAIP1,246,1.16863,66,-0.9978,115,-0.4323
ENSG00000221978,CCNL2,82,0.54099,39,-0.6650,59,-0.0392
ENSG00000242485,MRPL20,88,-0.5173,56,-1.2211,136,0.91983
ENSG00000235098,ANKRD65,3,-3.2885,12,-1.2096,32,2.06529
ENSG00000179403,VWA1,66,-0.7917,35,-1.7566,125,1.31483
ENSG00000205090,TMEM240,3,-4.0147,36,-0.3211,51,1.38470
ENSG00000160075,SSU72,150,0.22300,84,-0.6969,135,0.20250
ENSG00000228594,FNDC10,3,-3.4200,29,0.00016,33,1.03103
ENSG00000272106,AL691432.2,3,-2.9574,20,-0.0846,24,1.04965
ENSG00000197530,MIB2,40,0.30743,23,-0.5570,33,0.08439
ENSG00000215790,SLC35E2A,3,-3.2246,13,-1.0743,31,1.94161
ENSG00000008130,NADK,3,-3.1101,19,-0.3406,27,1.29786
ENSG00000078369,GNB1,430,0.69256,151,-0.9949,282,-0.0402
ENSG00000187730,GABRD,3,-4.0948,30,-0.6983,55,1.74013
ENSG00000067606,PRKCZ,3,-4.9624,55,-0.8323,112,1.93356
ENSG00000162585,FAAP20,303,1.95352,61,-0.8289,80,-1.1738
ENSG00000157933,SKI,91,0.66698,31,-1.0460,61,-0.0038
ENSG00000157916,RER1,144,0.98035,44,-0.9487,77,-0.2882
ENSG00000157911,PEX10,14,-1.1410,24,-0.3706,33,0.79016
ENSG00000197921,HES5,3,-3.1013,31,0.45596,25,0.57722
ENSG00000157870,PRXL2B,19,-1.7994,38,-0.7735,73,1.31812
ENSG00000177133,PRDM16-DT,53,0.82611,41,0.40894,28,-0.7446
ENSG00000158109,TPRG1L,320,1.84708,39,-1.6387,95,-0.9066
ENSG00000130764,LRRC47,3,-4.1484,22,-1.1893,59,2.18896
ENSG00000069424,KCNAB2,3,-5.3581,68,-0.7777,134,1.90259
ENSG00000116254,CHD5,3,-5.6802,208,0.65257,150,0.51466
ENSG00000116251,RPL22,845,0.38191,322,-1.1468,695,0.25195
ENSG00000116237,ICMT,98,1.60992,11,-1.9403,35,-0.6375
ENSG00000097021,ACOT7,157,1.30467,44,-0.8130,66,-0.6010
ENSG00000215788,TNFRSF25,3,-3.1827,18,-0.5271,29,1.47172
ENSG00000171680,PLEKHG5,3,-3.2177,22,-0.2006,29,1.18901
ENSG00000162408,NOL9,70,1.16779,28,-0.3629,31,-0.6384
ENSG00000162413,KLHL21,135,1.70200,23,-1.2697,44,-0.8401
ENSG00000007923,DNAJC11,3,-3.4924,26,-0.2695,35,1.28508
ENSG00000171735,CAMTA1,97,-0.8039,131,-0.3309,175,0.61516
ENSG00000049245,VAMP3,278,1.60196,22,-2.4761,101,-0.5645
ENSG00000049246,PER3,163,1.91858,29,-1.0243,45,-1.0937
ENSG00000116288,PARK7,48,-2.1243,115,-0.8002,223,1.44720
ENSG00000142599,RERE,3,-5.0385,71,-0.3803,105,1.50589
ENSG00000074800,ENO1,1706,1.78442,233,-1.5409,532,-0.8644
ENSG00000171612,SLC25A33,36,-0.2986,15,-1.5698,48,0.90154
ENSG00000171603,CLSTN1,293,-0.3986,195,-1.0316,414,0.76150
ENSG00000178585,CTNNBIP1,3,-3.3205,28,0.05373,31,0.97118
ENSG00000162441,LZIC,10,-1.9617,18,-1.0301,41,1.55231
ENSG00000130939,UBE4B,3,-3.3014,25,-0.0831,31,1.09371
ENSG00000054523,KIF1B,422,0.63108,151,-1.0152,290,0.01497
ENSG00000142657,PGD,72,0.72592,29,-0.7296,46,-0.1556
ENSG00000160049,DFFA,3,-3.2038,25,0.01134,28,0.99637
ENSG00000120948,TARDBP,58,-0.3182,26,-1.5400,80,0.90557
ENSG00000116649,SRM,139,0.69500,52,-0.8685,90,-0.0834
ENSG00000171824,EXOSC10,20,-0.1497,19,-0.2895,23,0.24698
ENSG00000198793,MTOR,3,-3.2440,12,-1.2098,31,2.05602
ENSG00000116661,FBXO2,389,0.81607,124,-1.0240,234,-0.1308
ENSG00000132879,FBXO44,3,-5.2730,72,-0.6082,125,1.73580
ENSG00000116670,MAD2L2,3,-3.0241,17,-0.4571,26,1.38536
ENSG00000011021,CLCN6,45,-0.6640,49,-0.5250,74,0.66099
ENSG00000116685,KIAA2013,3,-3.8521,20,-1.0792,48,2.05249
ENSG00000116688,MFN2,44,-0.6277,39,-0.8163,72,0.79818
ENSG00000048707,VPS13D,3,-3.4075,31,0.10290,32,0.93520
ENSG00000162496,DHRS3,369,2.87895,16,-2.4966,54,-1.8114
ENSG00000116731,PRDM2,3,-3.9640,25,-0.8493,51,1.86302
ENSG00000189337,KAZN,96,0.74720,22,-1.5675,62,0.07047
ENSG00000142634,EFHD2,57,-1.2301,62,-1.0828,144,1.26411
ENSG00000116786,PLEKHM2,3,-4.1092,60,0.38894,52,0.71964
ENSG00000065526,SPEN,3,-3.8345,33,-0.2486,45,1.30138
