Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000177133,PRDM16-DT,4,-1.9747,10,-0.9757,17,-0.1087,20,0.15991,6,-1.7166,75,2.59578,24,0.48973
ENSG00000158109,TPRG1L,41,-2.0033,156,0.03434,156,0.03272,158,0.04756,205,0.61452,103,-0.6110,144,-0.1024
ENSG00000116213,WRAP73,23,0.81267,11,-0.3537,6,-1.1918,22,0.76142,17,0.45055,13,-0.0452,6,-1.2007
ENSG00000130764,LRRC47,48,-0.8691,96,0.24545,73,-0.2322,86,0.05369,107,0.52357,67,-0.3412,58,-0.5713
ENSG00000116198,CEP104,41,1.47369,13,-0.4167,12,-0.5592,31,0.98464,14,-0.3676,13,-0.4155,9,-0.9644
ENSG00000198912,C1orf174,10,-0.1446,10,-0.1759,10,-0.3203,14,0.34021,14,0.35868,14,0.24835,7,-0.6909
ENSG00000196581,AJAP1,18,-1.3288,69,0.87899,33,-0.4508,34,-0.3682,58,0.62867,12,-1.9311,32,-0.4710
ENSG00000131697,NPHP4,5,-1.0312,14,0.74185,9,-0.1203,13,0.53603,10,0.10948,5,-0.8466,4,-1.0747
ENSG00000069424,KCNAB2,20,-3.1105,226,0.57174,131,-0.4014,204,0.34226,181,0.18135,150,-0.1528,187,0.19723
ENSG00000116254,CHD5,15,-2.9553,84,-0.4154,181,0.99707,118,0.15181,119,0.21581,51,-1.1440,106,-0.0066
ENSG00000116251,RPL22,1122,1.34655,386,-0.4537,387,-0.4471,545,0.12788,386,-0.4987,628,0.35846,529,0.08041
ENSG00000116237,ICMT,22,-0.6517,52,0.81023,26,-0.4358,46,0.48502,31,-0.1323,27,-0.3435,25,-0.4567
ENSG00000158292,GPR153,1,-2.5891,15,0.83086,18,1.21154,1,-2.6398,4,-1.3180,7,-0.3937,15,0.74235
ENSG00000097021,ACOT7,70,-2.0725,307,0.20185,286,0.07542,226,-0.3053,400,0.81262,149,-0.9463,188,-0.5926
ENSG00000215788,TNFRSF25,1,-3.2009,27,1.38235,8,-0.7231,11,-0.2920,13,-0.0053,14,0.12427,8,-0.6996
ENSG00000171680,PLEKHG5,1,-4.5962,44,1.24851,23,-0.0070,11,-1.0373,22,-0.0810,15,-0.6286,25,0.15700
ENSG00000162408,NOL9,20,-0.4705,27,-0.0065,34,0.39410,17,-0.7363,29,0.17096,33,0.30653,18,-0.5979
ENSG00000162413,KLHL21,36,0.36482,32,0.19708,34,0.29365,25,-0.2066,26,-0.1660,26,-0.1467,17,-0.7608
ENSG00000116273,PHF13,14,-0.2974,19,0.18146,19,0.16978,26,0.71706,16,-0.1571,15,-0.1913,9,-0.9225
ENSG00000041988,THAP3,27,0.33412,28,0.43960,19,-0.2685,21,-0.0680,21,-0.0908,23,0.10146,13,-0.7446
ENSG00000007923,DNAJC11,13,-1.1256,23,-0.2760,27,0.02322,30,0.18924,35,0.57605,19,-0.5295,27,0.00455
ENSG00000171735,CAMTA1,88,-1.0870,123,-0.6223,207,0.26569,295,0.82233,201,0.24422,171,-0.0604,142,-0.3502
ENSG00000049245,VAMP3,158,2.99054,14,-1.3133,15,-1.2621,40,0.36450,15,-1.3775,37,0.24610,15,-1.1163
ENSG00000049246,PER3,24,0.16413,23,0.07352,34,0.83202,12,-0.8698,15,-0.6562,28,0.38458,16,-0.4848
ENSG00000116288,PARK7,284,-0.4792,372,-0.0668,415,0.12688,477,0.33900,366,-0.1065,467,0.30327,350,-0.1568
ENSG00000116285,ERRFI1,16,-0.1920,17,-0.1273,15,-0.2821,22,0.27277,25,0.64012,8,-1.2463,16,-0.2243
ENSG00000162426,SLC45A1,14,-0.9532,36,0.48695,29,0.11522,17,-0.7279,35,0.51464,13,-1.1565,21,-0.3947
ENSG00000142599,RERE,77,-0.3738,110,0.22252,106,0.14904,114,0.24571,89,-0.1752,111,0.20850,70,-0.5040
ENSG00000074800,ENO1,431,-0.5469,552,-0.1782,516,-0.2927,754,0.33462,664,0.16469,900,0.62586,515,-0.2692
ENSG00000171612,SLC25A33,14,-1.3706,31,-0.1928,38,0.13234,27,-0.3959,26,-0.5709,91,1.62234,37,0.09563
ENSG00000188807,TMEM201,12,0.18592,11,0.06281,12,0.24182,8,-0.3450,11,0.17453,10,-0.0763,5,-1.1057
ENSG00000171608,PIK3CD,1,-2.5716,1,-3.5178,14,0.66747,18,1.00727,14,0.79895,10,0.11493,4,-1.1320
ENSG00000171603,CLSTN1,155,-2.1875,848,0.46522,576,-0.2274,603,-0.1344,926,0.73739,437,-0.6332,400,-0.7675
ENSG00000178585,CTNNBIP1,51,0.46419,17,-1.3352,49,0.45591,31,-0.3252,43,0.24420,41,0.14648,35,-0.1420
ENSG00000162441,LZIC,72,1.36790,19,-0.8589,26,-0.3631,42,0.43797,29,-0.2041,29,-0.1494,32,-0.0019
ENSG00000130939,UBE4B,26,-0.5068,20,-0.9804,30,-0.2968,56,0.71987,47,0.56681,38,0.10317,33,-0.1189
ENSG00000054523,KIF1B,274,0.17076,175,-0.5802,243,-0.0216,300,0.31747,269,0.18352,298,0.30676,190,-0.4038
ENSG00000142657,PGD,36,-0.4266,35,-0.4910,39,-0.3298,93,1.10920,59,0.46256,33,-0.5566,32,-0.5927
ENSG00000175279,CENPS,6,-0.6991,11,0.31322,15,0.94194,5,-0.9160,8,-0.3369,8,-0.2130,7,-0.4603
ENSG00000241563,CORT,3,-5.1892,49,-1.4191,94,-0.3581,821,4.14368,26,-2.5358,26,-2.2393,67,-0.8476
ENSG00000160049,DFFA,60,0.92308,25,-0.4840,26,-0.4585,35,0.04542,31,-0.1731,53,0.73089,29,-0.2245
ENSG00000142655,PEX14,24,0.06375,28,0.36229,17,-0.5116,25,0.10407,28,0.37508,14,-0.7932,17,-0.4205
ENSG00000120948,TARDBP,62,0.30005,61,0.30904,46,-0.1798,59,0.20306,50,-0.0517,51,-0.0155,29,-0.8787
ENSG00000116649,SRM,47,-0.9849,101,0.22317,105,0.28308,97,0.13232,82,-0.1654,99,0.16319,82,-0.1432
ENSG00000171824,EXOSC10,24,0.27549,21,0.03989,18,-0.2276,16,-0.3792,22,0.09998,23,0.18422,20,-0.0798
ENSG00000198793,MTOR,16,-1.2590,42,0.26597,25,-0.5896,50,0.50179,44,0.42290,27,-0.4252,37,0.02701
ENSG00000120942,UBIAD1,27,1.60763,9,-0.1266,6,-0.7423,3,-1.8753,10,-0.0447,15,0.59087,6,-0.7532
ENSG00000116661,FBXO2,172,-0.1915,252,0.47058,169,-0.2473,134,-0.5806,166,-0.3047,279,0.58396,215,0.15894
ENSG00000132879,FBXO44,34,-1.9053,144,0.32693,140,0.27879,109,-0.1510,151,0.48090,67,-0.9046,88,-0.4826
ENSG00000116670,MAD2L2,43,1.17504,34,0.89532,10,-1.1870,17,-0.3295,14,-0.7845,24,0.17421,19,-0.1912
ENSG00000177674,AGTRAP,30,2.15473,3,-1.4751,2,-1.7967,3,-1.2522,5,-0.8538,23,1.67748,10,0.20417
ENSG00000177000,MTHFR,11,-0.2876,14,0.11304,10,-0.3935,18,0.44740,15,0.30656,9,-0.6268,13,-0.0485
ENSG00000011021,CLCN6,26,-0.8602,41,-0.1909,57,0.39863,39,-0.2705,53,0.28999,42,-0.1496,43,-0.1126
ENSG00000175206,NPPA,2,-2.2642,31,2.22781,12,0.12787,0,-3.6801,7,-0.8388,3,-1.8557,8,-0.4949
ENSG00000116685,KIAA2013,47,0.59172,30,-0.1631,32,-0.0477,39,0.27983,35,0.13092,30,-0.1263,15,-1.1466
ENSG00000083444,PLOD1,29,0.60063,16,-0.3584,11,-1.0191,43,1.25249,19,-0.0900,29,0.55015,9,-1.2212
ENSG00000116688,MFN2,59,-0.5243,84,0.03419,73,-0.2088,87,0.09100,110,0.60481,67,-0.3173,49,-0.7909
ENSG00000116691,MIIP,17,0.20918,13,-0.1586,14,-0.0165,15,0.01697,17,0.25954,14,-0.1050,10,-0.5618
ENSG00000048707,VPS13D,41,-0.2941,44,-0.1978,69,0.59784,33,-0.6226,60,0.41124,33,-0.6096,30,-0.7704
ENSG00000162496,DHRS3,20,0.80191,7,-0.8390,9,-0.5145,10,-0.3277,9,-0.6082,33,1.69658,12,-0.0087
ENSG00000116731,PRDM2,62,-0.3673,74,-0.0927,82,0.07622,78,0.00349,101,0.53056,47,-0.7931,59,-0.4372
ENSG00000189337,KAZN,76,0.68853,32,-0.7366,34,-0.6439,85,0.86291,57,0.27412,44,-0.2014,40,-0.3416
ENSG00000142634,EFHD2,24,-2.7353,29,-2.5564,106,-0.5628,406,1.74028,254,1.24391,87,-0.8203,70,-1.1321
ENSG00000132906,CASP9,12,0.56699,8,-0.0049,6,-0.4630,4,-1.0560,11,0.57872,7,-0.3264,6,-0.3642
ENSG00000116138,DNAJC16,16,-0.5569,23,-0.0616,21,-0.1908,24,0.04046,28,0.39274,25,0.11704,20,-0.2646
ENSG00000197312,DDI2,14,-0.6050,19,-0.1614,23,0.17768,32,0.63797,25,0.34497,13,-0.7287,13,-0.7130
ENSG00000116786,PLEKHM2,39,-0.7374,51,-0.3558,65,0.07058,52,-0.2815,71,0.27052,69,0.15811,81,0.42534
ENSG00000065526,SPEN,61,0.97740,21,-0.7797,44,0.47074,21,-0.7385,32,-0.0891,38,0.18093,24,-0.4906
ENSG00000116809,ZBTB17,23,0.73138,16,0.21568,12,-0.2602,10,-0.4561,14,-0.0340,15,0.03536,10,-0.4771
ENSG00000185519,FAM131C,3,-2.1960,8,-1.1071,24,0.86943,28,0.96298,15,-0.0902,15,-0.0101,14,-0.1549
ENSG00000037637,FBXO42,14,-0.5125,22,0.15173,16,-0.3408,25,0.37400,22,0.24616,21,0.12191,14,-0.4888
ENSG00000055070,SZRD1,49,1.45927,21,0.01720,17,-0.2995,16,-0.3671,13,-0.8442,26,0.35928,20,-0.0271
ENSG00000157191,NECAP2,38,1.80281,6,-1.1099,10,-0.4116,19,0.59229,6,-1.2595,27,1.17241,8,-0.7951
ENSG00000219481,NBPF1,25,1.47369,4,-1.3365,12,0.27714,13,0.38945,6,-0.9447,18,0.90324,6,-0.8325
ENSG00000058453,CROCC,7,-0.5641,14,0.49238,11,-0.0495,5,-1.1228,13,0.41543,10,-0.1890,7,-0.5537
ENSG00000238142,BX284668.5,8,-0.0776,8,-0.0743,4,-1.2297,11,0.39895,7,-0.2910,21,1.44097,8,-0.0515
ENSG00000159363,ATP13A2,39,-1.7192,107,-0.2117,128,0.08790,157,0.40984,158,0.55576,93,-0.4246,102,-0.2714
ENSG00000117118,SDHB,68,-0.4823,93,-0.0142,99,0.09733,133,0.57458,97,0.08115,73,-0.3902,78,-0.2770
ENSG00000117115,PADI2,243,3.23351,18,-1.4963,27,-0.8730,26,-0.8446,13,-2.0630,67,0.63829,32,-0.5408
ENSG00000179051,RCC2,26,1.17346,15,0.29893,17,0.47357,5,-1.2514,9,-0.5695,7,-0.9173,10,-0.3412
ENSG00000074964,ARHGEF10L,18,0.26425,13,-0.2721,15,0.04555,18,0.28653,14,-0.0982,17,0.25012,12,-0.2743
ENSG00000117154,IGSF21,18,-2.2718,99,0.30112,64,-0.4528,166,1.13554,100,0.37358,65,-0.3910,43,-1.0157
ENSG00000159423,ALDH4A1,41,0.70985,16,-0.8493,23,-0.2435,37,0.53043,14,-1.1326,64,1.48635,29,0.15955
ENSG00000169991,IFFO2,10,0.10484,7,-0.5207,8,-0.2236,11,0.21441,12,0.57692,11,0.22583,4,-1.2067
ENSG00000127463,EMC1,19,-0.7018,31,0.07927,26,-0.1935,35,0.28128,38,0.53936,25,-0.2806,17,-0.8642
ENSG00000053372,MRTO4,21,-0.7892,32,-0.1496,36,0.06895,25,-0.4745,46,0.59954,31,-0.1416,29,-0.2658
ENSG00000053371,AKR7A2,63,0.48856,43,-0.1538,42,-0.1859,50,0.11323,40,-0.2866,77,0.82536,32,-0.5539
ENSG00000040487,SLC66A1,6,-0.8242,8,-0.3920,5,-1.0533,22,1.30213,11,0.23933,14,0.51238,8,-0.2919
ENSG00000077549,CAPZB,136,-0.5710,207,0.09083,207,0.08720,200,0.02769,224,0.26603,186,-0.0842,141,-0.5225
ENSG00000173436,MICOS10,313,-0.0282,300,-0.1060,397,0.39260,293,-0.1348,289,-0.1925,315,-0.0223,328,0.04532
ENSG00000158747,NBL1,74,-1.5115,222,0.19543,219,0.17018,213,0.10663,214,0.14940,192,-0.0613,186,-0.1093
ENSG00000169914,OTUD3,10,-0.4296,12,-0.1169,11,-0.3593,9,-0.5179,22,1.06890,5,-1.3650,10,-0.4051
ENSG00000162545,CAMK2N1,879,-0.5277,2345,1.25146,1164,-0.0991,585,-1.1477,913,-0.5654,936,-0.4307,1394,0.19780
ENSG00000090432,MUL1,28,0.16978,31,0.32807,16,-0.7434,36,0.56809,27,0.12276,22,-0.1917,18,-0.5474
ENSG00000183114,FAM43B,3,-2.2109,4,-1.8178,16,0.11205,38,1.59413,18,0.43587,14,-0.0649,11,-0.4055
ENSG00000158828,PINK1,215,-0.8819,334,-0.2284,406,0.11380,437,0.22108,495,0.55248,255,-0.6236,314,-0.3009
ENSG00000244038,DDOST,22,-0.2138,31,0.38887,22,-0.2084,24,-0.0609,26,0.02842,28,0.15740,19,-0.4218
ENSG00000117245,KIF17,3,-2.6733,13,-0.9094,31,0.63745,12,-0.8554,38,1.22139,10,-1.1932,15,-0.6193
ENSG00000189410,SH2D5,3,-3.6523,50,0.69132,26,-0.4575,27,-0.3513,49,0.73981,21,-0.7241,28,-0.3257
ENSG00000127483,HP1BP3,174,0.26545,132,-0.1945,134,-0.1680,188,0.38536,161,0.17795,151,0.03147,95,-0.6779
ENSG00000075151,EIF4G3,63,-0.9928,119,-0.0280,124,0.04802,115,-0.0771,164,0.64920,92,-0.4249,80,-0.6434
ENSG00000117298,ECE1,35,1.38438,11,-0.4483,8,-0.9294,10,-0.5695,10,-0.6664,40,1.66821,9,-0.8365
ENSG00000162551,ALPL,4,-1.4165,5,-1.1979,7,-0.6391,4,-1.6087,18,1.07268,21,1.02667,13,0.28720
ENSG00000076864,RAP1GAP,39,-1.9490,125,-0.2216,110,-0.4377,293,1.20913,206,0.80594,64,-1.2147,76,-0.9670
ENSG00000090686,USP48,64,0.56736,41,-0.1697,37,-0.3446,50,0.16746,52,0.29390,41,-0.1479,29,-0.6906
ENSG00000070831,CDC42,226,0.01393,217,-0.0568,202,-0.1817,254,0.19889,276,0.43064,184,-0.3095,136,-0.7791
ENSG00000173372,C1QA,43,1.55021,15,-0.1622,10,-0.8390,9,-0.9120,4,-2.1678,49,1.77693,22,0.37189
ENSG00000159189,C1QC,39,1.47089,12,-0.4283,11,-0.6565,11,-0.5094,5,-1.9115,42,1.62887,22,0.51693
ENSG00000173369,C1QB,54,1.57889,15,-0.5219,17,-0.3547,9,-1.2093,7,-1.8533,49,1.39721,34,0.74970
ENSG00000133216,EPHB2,10,-0.3571,17,0.60507,13,0.17908,3,-1.9340,14,0.28023,10,-0.2610,8,-0.6861
ENSG00000004487,KDM1A,30,-0.4889,48,0.27265,31,-0.5145,46,0.14583,51,0.43969,35,-0.2684,34,-0.3273
ENSG00000169641,LUZP1,10,-2.2607,38,-0.2535,59,0.50225,25,-0.8545,67,0.86603,25,-0.8859,36,-0.3383
ENSG00000125944,HNRNPR,110,0.09806,103,-0.0173,108,0.07435,131,0.37665,106,0.03943,102,-0.0287,58,-0.8872
ENSG00000125945,ZNF436,10,-0.7624,20,0.31938,12,-0.5722,14,-0.2271,26,1.00570,4,-1.9152,11,-0.5694
ENSG00000249087,ZNF436-AS1,5,-0.7509,12,0.45095,11,0.40095,6,-0.5392,7,-0.4915,7,-0.3200,14,0.64167
ENSG00000204219,TCEA3,11,0.43138,3,-1.4417,7,-0.1808,4,-0.9471,7,-0.2085,21,1.50181,12,0.53584
ENSG00000117318,ID3,80,3.37819,2,-2.6600,1,-3.4931,2,-2.5452,0,-4.4329,53,2.37921,9,-0.6271
ENSG00000142676,RPL11,914,1.55662,274,-0.4926,273,-0.4956,392,0.11356,239,-0.7865,525,0.58805,375,0.04061
ENSG00000011007,ELOA,25,0.59698,14,-0.2912,20,0.25645,24,0.51475,16,-0.1620,14,-0.2566,9,-0.8699
ENSG00000057757,PITHD1,117,-0.7576,197,0.05271,171,-0.1887,194,0.02717,264,0.68516,121,-0.7090,141,-0.4684
ENSG00000011009,LYPLA2,11,-1.7541,41,0.31194,35,0.00587,37,0.12224,40,0.30909,27,-0.3479,32,-0.1185
ENSG00000117308,GALE,6,-1.2331,18,0.31781,13,-0.2198,14,-0.0565,19,0.55819,11,-0.4099,11,-0.4413
ENSG00000117305,HMGCL,28,0.49332,19,-0.1537,21,0.07462,25,0.32056,17,-0.2897,25,0.34462,14,-0.5970
ENSG00000179163,FUCA1,4,-1.6664,13,-0.0155,11,-0.2216,24,0.96853,16,0.34742,15,0.17531,6,-1.2242
ENSG00000189266,PNRC2,68,0.23195,42,-0.5438,46,-0.3932,82,0.55016,69,0.32448,60,0.05495,49,-0.2705
ENSG00000188529,SRSF10,50,0.02822,49,-0.0189,52,0.09387,57,0.23374,51,0.08564,50,0.03390,29,-0.8332
ENSG00000001460,STPG1,5,-1.0229,12,0.48305,7,-0.4446,5,-0.8009,14,0.78446,7,-0.3773,6,-0.7117
ENSG00000001461,NIPAL3,151,1.22182,35,-1.1815,53,-0.5319,111,0.69135,96,0.59077,48,-0.6440,22,-1.7784
ENSG00000133226,SRRM1,132,1.29726,37,-0.8176,60,-0.0279,59,-0.0310,62,0.03410,54,-0.1863,43,-0.5381
ENSG00000169504,CLIC4,250,4.02692,6,-2.6959,6,-2.6502,48,0.44504,9,-2.3048,39,0.11179,10,-1.9647
ENSG00000117614,SYF2,126,1.01105,53,-0.4255,62,-0.1535,71,0.07543,65,-0.0882,78,0.21802,47,-0.5604
ENSG00000117616,RSRP1,70,1.12835,36,0.02295,25,-0.5899,37,0.09524,34,-0.0494,34,-0.0447,22,-0.7293
ENSG00000183726,TMEM50A,116,0.59934,118,0.71548,61,-0.4798,54,-0.6198,83,0.06156,63,-0.3770,44,-0.9328
ENSG00000204178,MACO1,28,0.16306,22,-0.2421,24,-0.0951,16,-0.6463,30,0.34615,30,0.30209,21,-0.2756
ENSG00000117643,MAN1C1,10,-1.8999,104,2.14120,33,-0.2175,20,-0.9655,25,-0.7796,17,-1.1988,20,-0.9660
ENSG00000162430,SELENON,54,1.06441,37,0.47847,21,-0.5112,26,-0.1623,18,-0.8391,36,0.38988,26,-0.1142
ENSG00000117640,MTFR1L,33,-0.9626,72,0.26367,75,0.35064,58,-0.0943,59,-0.0974,66,0.09724,53,-0.2416
ENSG00000117632,STMN1,953,-0.7522,1182,-0.4598,1846,0.31991,1879,0.31346,2056,0.60200,1015,-0.6551,930,-0.7881
ENSG00000158008,EXTL1,6,-2.6835,36,-0.0102,38,0.06599,36,-0.0266,54,0.81490,23,-0.6833,28,-0.4167
ENSG00000175087,PDIK1L,10,-0.4384,8,-0.7426,15,0.30180,17,0.47049,15,0.38910,9,-0.5595,12,-0.1169
ENSG00000142684,ZNF593,22,-0.2129,23,-0.1689,22,-0.2071,40,0.74870,24,-0.1120,26,0.02611,28,0.15588
ENSG00000142669,SH3BGRL3,198,-0.2989,192,-0.3822,207,-0.2554,301,0.36855,294,0.42526,229,-0.0732,227,-0.0848
ENSG00000158062,UBXN11,11,-1.0317,18,-0.2479,27,0.42546,16,-0.4107,23,0.13895,20,-0.1231,28,0.44189
ENSG00000117682,DHDDS,7,-1.2826,12,-0.5300,18,0.17999,23,0.59533,22,0.65625,13,-0.3175,8,-0.9555
ENSG00000198830,HMGN2,257,1.39943,87,-0.4207,91,-0.3418,119,0.10092,75,-0.7415,180,0.77375,90,-0.3309
ENSG00000117713,ARID1A,66,0.13284,58,-0.0868,56,-0.1377,81,0.46426,64,0.10462,57,-0.0992,44,-0.4975
ENSG00000060642,PIGV,4,-1.0980,7,-0.5452,8,-0.2896,14,0.58864,11,0.24438,18,1.01636,6,-0.5770
ENSG00000204160,ZDHHC18,14,-0.5882,17,-0.3371,27,0.46985,24,0.25498,25,0.35155,14,-0.6393,14,-0.5940
ENSG00000142751,GPN2,11,-0.5974,22,0.49766,20,0.30957,12,-0.4402,18,0.15323,8,-1.1299,14,-0.2694
ENSG00000198746,GPATCH3,14,0.56908,10,0.12040,12,0.37901,5,-1.0580,10,0.06361,6,-0.6115,6,-0.5671
ENSG00000090273,NUDC,165,-0.1043,190,0.13350,209,0.30812,160,-0.1561,169,-0.0767,156,-0.1866,151,-0.2472
ENSG00000253368,TRNP1,12,-2.0655,48,0.00683,62,0.47948,35,-0.4559,55,0.27303,45,-0.0817,48,0.01008
ENSG00000090020,SLC9A1,3,-2.5281,17,-0.2558,20,-0.0128,8,-1.2517,37,1.45265,9,-1.1562,12,-0.7590
ENSG00000142784,WDTC1,38,0.53463,23,-0.2964,29,0.10301,37,0.48392,20,-0.5987,39,0.57004,23,-0.2588
ENSG00000186501,TMEM222,48,-0.4215,58,-0.1611,63,-0.0023,83,0.44204,65,0.05946,70,0.17363,56,-0.1778
ENSG00000158195,WASF2,135,2.60666,12,-1.5142,15,-1.2469,32,-0.0207,13,-1.5996,73,1.36277,21,-0.6665
ENSG00000126705,AHDC1,21,-1.2810,48,-0.0626,46,-0.1277,63,0.37841,71,0.76019,30,-0.7707,31,-0.7214
ENSG00000126709,IFI6,195,0.83367,65,-0.9762,55,-1.2282,213,0.99028,146,0.46245,133,0.20270,65,-0.8961
