Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to13,Feature log2 fold change topic 7to13
ENSG00000228794,LINC01128,2,-3.1271,5,-1.7777,18,0.03658,15,-0.2305,24,1.19269
ENSG00000188976,NOC2L,27,-0.5752,32,-0.3835,15,-1.4630,33,-0.3181,50,0.78687
ENSG00000188290,HES4,157,1.13309,54,-0.6018,45,-0.8354,61,-0.4176,83,0.20815
ENSG00000187608,ISG15,53,-0.6743,32,-1.5149,58,-0.5262,64,-0.4152,110,1.11080
ENSG00000188157,AGRN,2,-3.8530,45,0.76348,5,-2.5121,21,-0.4999,34,0.54599
ENSG00000131591,C1orf159,2,-2.5900,13,0.13789,19,0.76985,10,-0.2094,12,0.12173
ENSG00000078808,SDF4,60,-0.3358,95,0.43133,89,0.28413,62,-0.3040,72,-0.1030
ENSG00000176022,B3GALT6,2,-3.8158,18,-0.7505,52,0.96580,24,-0.2973,33,0.53138
ENSG00000160087,UBE2J2,2,-4.3525,41,0.01352,33,-0.3198,27,-0.6533,51,0.82981
ENSG00000131584,ACAP3,69,0.07100,45,-0.6073,33,-1.0220,58,-0.2198,78,0.59791
ENSG00000127054,INTS11,7,-2.7960,59,0.35474,30,-0.6830,40,-0.3052,55,0.49541
ENSG00000224051,CPTP,41,0.55543,19,-0.6164,30,0.10005,20,-0.5556,31,0.31938
ENSG00000107404,DVL1,101,0.98664,54,-0.0327,10,-2.5492,62,0.21796,53,-0.1140
ENSG00000175756,AURKAIP1,2,-6.2899,194,0.33020,81,-1.0267,179,0.19056,179,0.37311
ENSG00000221978,CCNL2,40,-0.3336,46,-0.1431,23,-1.1584,45,-0.1567,58,0.48620
ENSG00000224870,MRPL20-AS1,2,-2.2413,10,0.07664,1,-3.2589,9,-0.0447,11,0.75586
ENSG00000242485,MRPL20,45,-2.0951,212,0.24810,124,-0.6040,185,0.01079,204,0.34144
ENSG00000235098,ANKRD65,43,0.81168,42,0.87781,0,-5.2039,23,-0.1745,23,-0.3323
ENSG00000179403,VWA1,2,-4.8269,226,3.06771,15,-1.9964,54,-0.0798,24,-1.9986
ENSG00000197785,ATAD3A,2,-3.2639,23,0.33308,31,0.74573,9,-1.1356,22,0.39883
ENSG00000205090,TMEM240,2,-3.6763,14,-0.9831,2,-3.7242,29,0.20741,35,1.20904
ENSG00000160075,SSU72,2,-6.1913,112,-0.4537,241,0.78782,138,-0.1141,168,0.43548
