Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000228794,LINC01128,14,-0.9116,33,0.65830,26,0.01355,21,-0.4523
ENSG00000188976,NOC2L,48,-0.8430,114,1.03321,69,-0.2797,54,-0.8202
ENSG00000188290,HES4,205,1.11941,71,-0.9217,86,-0.3349,127,0.41108
ENSG00000187608,ISG15,108,-0.1710,111,-0.1981,162,0.49247,122,0.04095
ENSG00000188157,AGRN,45,0.24693,33,-0.3788,20,-0.9725,50,0.59359
ENSG00000078808,SDF4,66,-0.5646,99,0.13379,78,-0.2961,102,0.18388
ENSG00000176022,B3GALT6,31,-0.4716,53,0.63290,38,-0.1553,33,-0.4887
ENSG00000160087,UBE2J2,36,-1.0118,93,0.92797,70,0.02653,46,-0.7827
ENSG00000162572,SCNN1D,18,-0.5578,27,0.19317,26,0.05459,25,-0.0274
ENSG00000131584,ACAP3,192,-0.2960,278,0.51539,185,-0.3535,198,-0.3269
ENSG00000127054,INTS11,48,-0.9060,104,0.55917,54,-0.7153,83,-0.0498
ENSG00000224051,CPTP,61,-0.0478,76,0.52949,34,-0.9634,55,-0.2501
ENSG00000107404,DVL1,180,0.60585,108,-0.3531,120,-0.0675,131,0.09737
ENSG00000175756,AURKAIP1,161,-0.1705,162,-0.2459,164,-0.1363,212,0.38538
ENSG00000221978,CCNL2,97,0.65493,60,-0.1932,46,-0.5480,68,0.07590
ENSG00000242485,MRPL20,164,-0.0721,169,-0.0341,138,-0.3409,188,0.20297
ENSG00000179403,VWA1,9,-2.1669,25,-1.0263,49,0.35807,66,1.30599
ENSG00000160072,ATAD3B,30,0.32043,28,0.34620,18,-0.4792,20,-0.3733
ENSG00000205090,TMEM240,89,-0.5576,162,0.73034,82,-0.6848,106,-0.3678
ENSG00000160075,SSU72,171,-0.3940,229,0.12452,253,0.23416,210,-0.0933
ENSG00000228594,FNDC10,13,-2.3180,77,0.61381,50,-0.3285,62,0.00825
ENSG00000272106,AL691432.2,10,-2.2272,50,0.38028,53,0.32187,43,-0.0298
ENSG00000197530,MIB2,80,0.66463,47,-0.3334,52,-0.0497,54,0.03362
ENSG00000189339,SLC35E2B,27,-0.3924,44,0.67520,22,-0.7272,29,-0.3487
ENSG00000008130,NADK,39,0.01323,36,-0.1546,39,0.01749,41,0.15428
ENSG00000078369,GNB1,469,0.25388,396,-0.0421,390,-0.0506,392,-0.0521
ENSG00000187730,GABRD,86,-0.6713,172,0.78729,57,-1.3045,118,-0.2285
ENSG00000067606,PRKCZ,159,-0.2604,209,0.29279,196,0.07389,165,-0.2618
ENSG00000162585,FAAP20,75,0.10475,54,-0.6160,97,0.54241,81,0.32148
ENSG00000157933,SKI,58,-0.6101,94,0.24255,73,-0.2494,88,0.06172
ENSG00000157916,RER1,90,0.21013,72,-0.2495,70,-0.2057,89,0.25459
ENSG00000157911,PEX10,54,0.40535,36,-0.4112,43,0.02258,47,0.23019
ENSG00000149527,PLCH2,17,-1.1987,40,0.16441,50,0.47927,37,-0.0398
ENSG00000197921,HES5,16,-2.6923,53,-1.3337,42,-1.3085,205,2.16832
ENSG00000272449,AL139246.5,8,-1.7862,19,-0.8613,14,-1.0706,50,1.60381
ENSG00000157870,PRXL2B,100,-0.5151,153,0.27878,144,0.06721,129,-0.1459
ENSG00000177133,PRDM16-DT,27,-0.9752,27,-1.3265,61,0.31438,85,1.37055
ENSG00000158109,TPRG1L,88,-0.8610,190,0.66312,130,-0.2442,128,-0.3532
ENSG00000130764,LRRC47,50,-0.6137,92,0.62076,44,-0.8072,68,-0.1799
ENSG00000196581,AJAP1,55,-0.0806,70,0.55555,34,-0.8114,49,-0.3100
ENSG00000069424,KCNAB2,269,-0.3098,370,0.35080,286,-0.2115,299,-0.1816
ENSG00000116254,CHD5,372,-0.3039,537,0.50008,356,-0.3717,390,-0.2978
ENSG00000116251,RPL22,687,0.45003,425,-0.4982,773,0.65222,515,-0.0323
ENSG00000116237,ICMT,74,0.70382,48,0.00239,32,-0.6255,45,-0.1473
ENSG00000158292,GPR153,9,-1.8498,28,-0.2239,33,0.14018,40,0.64553
ENSG00000097021,ACOT7,97,-0.8465,241,1.18107,100,-0.7976,111,-0.7984
