Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,2,-2.9340,13,-0.5124,23,0.42809,34,1.09357,43,1.52072,19,0.09671,21,0.24792,10,-0.7901,5,-1.8443,6,-1.5403
ENSG00000188976,NOC2L,39,-0.4719,41,-0.3923,78,0.66221,33,-0.7206,103,1.13718,65,0.35419,54,0.03601,21,-1.4039,61,0.24045,29,-0.9129
ENSG00000188290,HES4,138,0.33964,261,1.44255,86,-0.4192,125,0.16878,81,-0.5027,69,-0.7669,88,-0.3786,136,0.31692,50,-1.2552,88,-0.3887
ENSG00000187608,ISG15,59,-0.3375,129,0.92976,115,0.74041,69,-0.1026,68,-0.1323,48,-0.6692,40,-0.9526,47,-0.6876,83,0.20260,77,0.07249
ENSG00000188157,AGRN,45,-0.1586,110,1.31936,60,0.29461,33,-0.6395,71,0.57161,51,0.02419,25,-1.0976,49,-0.0441,33,-0.6412,25,-1.0936
ENSG00000078808,SDF4,52,-0.5916,123,0.78555,100,0.43475,76,-0.0131,83,0.12156,84,0.15340,52,-0.6069,59,-0.4130,74,-0.0465,62,-0.3369
ENSG00000176022,B3GALT6,21,-0.7707,19,-0.9455,59,0.88231,51,0.64002,37,0.13315,40,0.24969,38,0.14068,26,-0.4168,35,0.04752,18,-1.0052
ENSG00000160087,UBE2J2,70,0.54567,32,-0.6823,51,0.03226,54,0.14252,73,0.62172,52,0.07016,39,-0.3700,52,0.08226,55,0.17712,19,-1.4951
ENSG00000162572,SCNN1D,0,-4.6895,18,0.13834,48,1.88333,11,-0.5981,6,-1.5207,11,-0.6398,23,0.52506,13,-0.3530,25,0.65375,9,-0.8753
ENSG00000131584,ACAP3,33,-1.6003,67,-0.5502,134,0.56542,123,0.41812,131,0.52157,92,-0.0468,98,0.04772,88,-0.1256,104,0.15112,79,-0.2826
ENSG00000127054,INTS11,31,-0.7841,59,0.23501,40,-0.3793,74,0.61330,54,0.09344,55,0.10603,38,-0.4557,63,0.34411,64,0.35387,33,-0.6986
ENSG00000224051,CPTP,67,1.06106,24,-0.6128,37,0.08656,31,-0.2173,32,-0.1468,39,0.14210,32,-0.1394,41,0.23674,27,-0.4239,24,-0.6299
ENSG00000107404,DVL1,24,-1.5101,95,0.65170,58,-0.1665,45,-0.5562,63,-0.0310,56,-0.2212,89,0.54020,80,0.35187,43,-0.6116,88,0.51871
ENSG00000175756,AURKAIP1,137,-0.0606,116,-0.3292,120,-0.2658,243,0.88609,132,-0.1212,126,-0.1882,157,0.16261,172,0.30952,97,-0.5948,122,-0.2436
ENSG00000221978,CCNL2,51,-0.0187,70,0.50118,49,-0.0691,67,0.43226,67,0.43247,68,0.44953,30,-0.8178,51,-0.0308,36,-0.5389,25,-1.1224
ENSG00000242485,MRPL20,81,-0.9123,146,0.00660,105,-0.5152,204,0.54581,125,-0.2367,170,0.24465,229,0.74304,186,0.39448,92,-0.7120,119,-0.3171
ENSG00000179403,VWA1,49,0.45282,79,1.25820,7,-2.4713,22,-0.7820,10,-2.0266,6,-2.6614,7,-2.3887,71,1.06988,99,1.68110,23,-0.7675
ENSG00000197785,ATAD3A,37,0.90299,18,-0.2658,16,-0.4613,31,0.59879,21,-0.0379,27,0.37218,19,-0.1715,7,-1.5697,31,0.61203,6,-1.8331
ENSG00000205090,TMEM240,68,0.92428,7,-2.4315,78,1.17406,37,-0.0627,34,-0.1812,43,0.15390,44,0.20831,31,-0.3469,26,-0.6446,19,-1.0982
ENSG00000160075,SSU72,118,-0.4227,147,-0.0749,153,-0.0189,160,0.05667,190,0.34009,195,0.37699,205,0.45762,154,-0.0089,108,-0.5610,115,-0.4680
ENSG00000228594,FNDC10,0,-5.4524,14,-1.5067,96,1.64627,39,0.08766,35,-0.0718,23,-0.7187,81,1.33251,32,-0.1964,24,-0.6303,23,-0.7168
ENSG00000272106,AL691432.2,7,-1.5550,22,0.17221,13,-0.6489,38,1.07686,17,-0.1858,33,0.86437,21,0.09187,23,0.22782,8,-1.3739,15,-0.4157
ENSG00000197530,MIB2,41,-0.0967,81,1.04738,51,0.25869,40,-0.1342,27,-0.7266,58,0.47686,36,-0.2759,39,-0.1445,36,-0.3090,24,-0.9240
ENSG00000215790,SLC35E2A,26,-0.1677,20,-0.5527,32,0.20113,35,0.35374,17,-0.8129,56,1.13544,24,-0.2911,39,0.50889,8,-1.8225,27,-0.0642
ENSG00000008130,NADK,35,0.03200,40,0.24702,26,-0.4399,30,-0.2330,54,0.72628,32,-0.1155,41,0.29940,44,0.41063,24,-0.5516,17,-1.0280
ENSG00000078369,GNB1,301,-0.4896,256,-0.7392,425,0.05679,572,0.54607,439,0.11155,581,0.56978,338,-0.3074,448,0.14158,310,-0.4387,430,0.07814
ENSG00000187730,GABRD,5,-4.1911,18,-2.4804,110,0.28595,163,0.94347,109,0.26972,235,1.61492,134,0.60952,80,-0.2267,28,-1.8240,41,-1.2401
ENSG00000067606,PRKCZ,66,-1.5415,95,-1.0044,253,0.55048,187,0.04960,330,1.00572,194,0.11084,256,0.56759,163,-0.1645,130,-0.5180,135,-0.4642
ENSG00000162585,FAAP20,2,-4.5835,89,0.84485,55,0.05472,63,0.26291,34,-0.7086,36,-0.5919,49,-0.1356,76,0.57956,53,0.00613,75,0.56261
ENSG00000157933,SKI,32,-0.0528,40,0.30814,36,0.16795,22,-0.5905,34,0.08648,17,-1.0218,60,1.02210,31,-0.1001,26,-0.3295,28,-0.2408
ENSG00000157916,RER1,22,-1.4909,65,0.16829,33,-0.8720,55,-0.1096,89,0.68207,85,0.60171,35,-0.7979,92,0.72670,66,0.18030,46,-0.4017
ENSG00000157911,PEX10,31,-0.0881,43,0.42145,45,0.48359,24,-0.4887,37,0.20073,23,-0.5487,19,-0.8093,49,0.64320,34,0.03373,24,-0.4641
ENSG00000149527,PLCH2,0,-5.3222,19,-0.3851,22,-0.1712,21,-0.2157,49,1.17861,36,0.65493,36,0.62406,34,0.54660,4,-2.4589,21,-0.2366
ENSG00000197921,HES5,2,-3.6055,7,-1.9630,29,0.18673,34,0.44559,19,-0.4318,4,-2.7677,23,-0.1859,91,2.30477,5,-2.3794,42,0.81049
ENSG00000157870,PRXL2B,34,-0.8438,28,-1.1661,65,0.16634,77,0.42192,105,0.95098,59,-0.0047,48,-0.3136,69,0.26214,66,0.18713,39,-0.6617
ENSG00000177133,PRDM16-DT,9,-1.4819,18,-0.4207,12,-1.0750,10,-1.2318,12,-1.0600,4,-2.4333,31,0.41134,100,2.68114,16,-0.5569,25,0.06318
