Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8
ENSG00000228794,LINC01128,15,-0.7168,24,0.09723,25,0.47738
ENSG00000188976,NOC2L,41,-0.4703,44,-0.2790,59,0.49042
ENSG00000188290,HES4,91,0.46313,58,-0.3578,68,-0.2424
ENSG00000187608,ISG15,62,0.38112,45,-0.2016,48,-0.2309
ENSG00000188157,AGRN,23,-0.5668,21,-0.6733,38,0.72811
ENSG00000131591,C1orf159,13,0.28150,9,-0.2143,10,-0.1398
ENSG00000078808,SDF4,77,-0.0622,72,-0.1620,82,0.12308
ENSG00000176022,B3GALT6,39,-0.3113,62,0.48331,46,-0.0197
ENSG00000160087,UBE2J2,47,-0.1985,50,-0.0735,55,0.19035
ENSG00000162572,SCNN1D,10,-0.7852,12,-0.3637,19,0.75715
ENSG00000131584,ACAP3,104,-0.3099,107,-0.2228,133,0.34405
ENSG00000169972,PUSL1,17,0.60096,14,0.19243,11,-0.5991
ENSG00000127054,INTS11,56,-0.4168,65,-0.1304,77,0.38213
ENSG00000224051,CPTP,21,-0.9142,20,-0.9214,45,1.08543
ENSG00000107404,DVL1,76,-0.0695,84,0.10279,79,0.00572
ENSG00000175756,AURKAIP1,172,0.17398,193,0.33714,145,-0.3077
ENSG00000221978,CCNL2,50,-0.3022,48,-0.3117,64,0.37697
ENSG00000224870,MRPL20-AS1,8,-0.6552,9,-0.3312,13,0.64965
ENSG00000242485,MRPL20,218,-0.0729,283,0.36977,219,-0.1307
ENSG00000235098,ANKRD65,24,0.71393,13,-0.4541,15,-0.4353
ENSG00000179403,VWA1,70,1.62175,16,-1.1571,24,-1.1234
ENSG00000160072,ATAD3B,13,-0.3818,10,-0.6647,18,0.58028
ENSG00000197785,ATAD3A,13,-0.5606,11,-0.7698,21,0.75974
ENSG00000205090,TMEM240,52,-0.1608,65,0.23831,57,0.00680
ENSG00000160075,SSU72,170,-0.2206,216,0.20231,195,0.07068
ENSG00000228594,FNDC10,51,-0.2595,65,0.17134,60,0.11585
ENSG00000272106,AL691432.2,34,0.14835,29,-0.1385,31,-0.0590
ENSG00000197530,MIB2,44,-0.0796,34,-0.4645,49,0.26122
ENSG00000189339,SLC35E2B,21,0.42193,17,0.00242,15,-0.3532
ENSG00000215790,SLC35E2A,36,-0.4808,52,0.18525,50,0.26820
ENSG00000008130,NADK,33,-0.0668,27,-0.3684,36,0.21321
ENSG00000078369,GNB1,418,-0.3439,505,0.00787,536,0.26127
ENSG00000187730,GABRD,63,-1.3667,151,0.15534,164,0.83480
ENSG00000067606,PRKCZ,165,-0.3364,203,0.03910,210,0.24026
ENSG00000162585,FAAP20,89,0.76476,50,-0.3453,53,-0.5210
ENSG00000157933,SKI,33,0.16455,27,-0.1768,30,-0.0562
ENSG00000157916,RER1,79,0.16688,46,-0.7335,76,0.14706
ENSG00000157911,PEX10,35,-0.0188,33,-0.1070,36,0.06398
ENSG00000149527,PLCH2,13,-1.0894,13,-0.9316,31,1.21743
ENSG00000157881,PANK4,12,-0.8569,22,0.09703,23,0.56900
ENSG00000197921,HES5,26,1.20845,13,-0.1748,10,-1.0116
ENSG00000272449,AL139246.5,21,0.61652,10,-0.7112,14,-0.2622
ENSG00000157873,TNFRSF14,12,0.35917,2,-2.3838,11,0.30994
