Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000188976,NOC2L,79,0.59509,44,-0.3501,67,0.44091,43,-0.5867
ENSG00000188290,HES4,389,2.49126,62,-0.8280,68,-0.8516,71,-0.8695
ENSG00000187608,ISG15,197,1.50697,79,-0.0754,74,-0.2391,62,-0.6721
ENSG00000078808,SDF4,175,1.26224,156,1.05033,80,-0.1096,47,-1.2860
ENSG00000160087,UBE2J2,60,0.34143,2,-4.6912,66,0.70980,45,-0.2116
ENSG00000131584,ACAP3,56,-0.9321,66,-0.6568,116,0.30930,109,0.22096
ENSG00000127054,INTS11,67,0.30998,66,0.28396,61,0.20106,46,-0.4536
ENSG00000224051,CPTP,99,1.49130,34,-0.3400,40,-0.1289,32,-0.6587
ENSG00000107404,DVL1,26,-1.7387,69,-0.2329,98,0.46726,83,0.08503
ENSG00000175756,AURKAIP1,46,-1.4935,71,-0.8490,130,0.14851,147,0.53010
ENSG00000221978,CCNL2,225,1.98302,41,-0.9398,80,0.11711,43,-1.2135
ENSG00000242485,MRPL20,126,-0.5113,139,-0.3642,174,-0.0071,195,0.31401
ENSG00000205090,TMEM240,8,-3.1265,17,-1.9906,80,0.51391,77,0.54651
ENSG00000160075,SSU72,195,0.35561,91,-0.8555,187,0.38619,142,-0.2493
ENSG00000228594,FNDC10,19,-1.1747,58,0.58732,33,-0.4128,47,0.41657
ENSG00000197530,MIB2,55,0.78303,0,-5.9295,41,0.38602,33,-0.1097
ENSG00000189339,SLC35E2B,0,-5.3289,2,-3.7594,36,0.30784,43,0.93971
ENSG00000078369,GNB1,289,-0.6216,239,-0.9171,485,0.27695,468,0.23829
ENSG00000187730,GABRD,44,-2.0856,93,-0.9647,282,1.27087,141,-0.4806
ENSG00000067606,PRKCZ,23,-3.1522,56,-1.8663,221,0.37538,236,0.66731
ENSG00000162585,FAAP20,87,0.86695,81,0.73880,34,-0.8272,49,-0.1324
ENSG00000157933,SKI,100,0.87700,42,-0.5231,57,-0.0682,55,-0.2010
ENSG00000157916,RER1,83,0.60006,24,-1.3810,75,0.60265,47,-0.4872
ENSG00000157870,PRXL2B,84,0.25064,64,-0.1831,85,0.36565,61,-0.3871
ENSG00000158109,TPRG1L,177,-0.2100,95,-1.1766,274,0.72346,180,-0.2759
ENSG00000130764,LRRC47,60,-0.1263,32,-1.0880,86,0.63501,59,-0.2352
ENSG00000196581,AJAP1,0,-5.9887,44,-0.2055,68,0.71367,50,0.03062
ENSG00000069424,KCNAB2,53,-2.4061,96,-1.5151,331,0.59375,291,0.35076
ENSG00000116254,CHD5,23,-3.2257,81,-1.4120,293,0.91940,206,0.06685
ENSG00000116251,RPL22,1452,1.68335,733,0.43565,325,-1.0680,477,-0.4066
ENSG00000116237,ICMT,106,1.29823,9,-2.4798,64,0.58752,35,-0.8058
ENSG00000097021,ACOT7,82,-1.7184,83,-1.7053,398,1.17589,223,-0.2868
ENSG00000162408,NOL9,43,-0.0690,18,-1.4074,61,0.70077,41,-0.2618
ENSG00000007923,DNAJC11,51,0.35282,42,0.02656,41,0.02003,38,-0.1854
ENSG00000171735,CAMTA1,228,0.14743,188,-0.1663,219,0.11737,200,-0.1052
ENSG00000116288,PARK7,163,-0.7995,164,-0.7847,299,0.22648,302,0.30039
ENSG00000142599,RERE,163,0.72175,70,-0.6637,101,-0.1103,105,-0.0295
ENSG00000074800,ENO1,352,-0.6513,515,-0.0494,622,0.36011,510,-0.0987
ENSG00000171603,CLSTN1,242,-1.2930,207,-1.5349,919,1.29666,449,-0.5151
ENSG00000178585,CTNNBIP1,55,0.38093,33,-0.4334,40,-0.1943,47,0.15552
ENSG00000162441,LZIC,56,0.32291,77,0.86925,42,-0.1818,39,-0.4276
ENSG00000130939,UBE4B,39,-0.2208,25,-0.9209,57,0.55054,42,-0.1528
ENSG00000054523,KIF1B,286,-0.3680,210,-0.8493,453,0.52711,347,-0.0962
ENSG00000142657,PGD,37,-0.2293,20,-1.1353,65,1.01411,33,-0.5879
ENSG00000241563,CORT,0,-7.2140,18,-2.8118,304,3.65916,31,-2.5753
ENSG00000120948,TARDBP,66,-0.1672,93,0.38233,87,0.37832,61,-0.4718
ENSG00000116649,SRM,60,-0.6805,50,-0.9697,128,0.77724,84,-0.2259
ENSG00000198793,MTOR,25,-0.6409,25,-0.5930,31,-0.3315,47,0.69863
ENSG00000116661,FBXO2,89,-1.3685,243,0.20778,193,-0.2152,254,0.47574
ENSG00000132879,FBXO44,66,-1.2486,82,-0.9051,222,1.03441,126,-0.3752
ENSG00000011021,CLCN6,11,-2.3128,1,-5.7317,91,1.41328,48,-0.2511
ENSG00000116688,MFN2,51,-1.2697,78,-0.6119,182,1.16910,89,-0.5976
ENSG00000048707,VPS13D,46,-0.4929,50,-0.3648,82,0.62644,56,-0.2972
ENSG00000162496,DHRS3,165,2.14404,53,0.06657,27,-1.2169,40,-0.5625
ENSG00000116731,PRDM2,106,0.28156,118,0.46401,94,0.12333,74,-0.4555
ENSG00000189337,KAZN,81,0.96420,35,-0.4276,45,-0.0448,40,-0.3085
ENSG00000142634,EFHD2,3,-3.9506,54,0.13613,52,0.10169,59,0.44910
ENSG00000116786,PLEKHM2,60,-0.3273,48,-0.6893,60,-0.4377,95,0.71585
ENSG00000065526,SPEN,90,0.71675,124,1.28944,42,-0.6801,47,-0.5225
ENSG00000159363,ATP13A2,23,-2.4146,41,-1.5568,163,0.92723,113,0.02627
ENSG00000117118,SDHB,145,0.92988,55,-0.6630,66,-0.4867,89,0.15737
ENSG00000117115,PADI2,13,-1.6991,121,1.93981,11,-2.2520,51,0.57539
ENSG00000117154,IGSF21,0,-5.9534,44,-0.2340,82,1.20483,42,-0.4677
ENSG00000127463,EMC1,82,1.31831,16,-1.3177,55,0.89461,20,-1.3980
ENSG00000053372,MRTO4,0,-5.4726,2,-3.9994,56,1.19882,36,0.06176
ENSG00000053371,AKR7A2,36,-0.1958,49,0.31815,52,0.55758,31,-0.6167
ENSG00000077549,CAPZB,160,-0.4931,235,0.11846,249,0.29276,206,-0.1490
ENSG00000173436,MICOS10,392,0.68431,231,-0.1935,216,-0.3828,268,0.07329
ENSG00000158747,NBL1,418,1.25924,197,-0.0328,172,-0.3234,170,-0.4130
ENSG00000162545,CAMK2N1,212,-2.9737,891,-0.8256,1482,-0.0309,1996,0.84629
ENSG00000158828,PINK1,345,-0.2861,252,-0.7729,517,0.52667,389,-0.1428
ENSG00000189410,SH2D5,14,-1.8154,6,-2.9496,77,1.22406,44,-0.1970
ENSG00000127483,HP1BP3,416,1.23911,113,-0.9210,209,0.06428,167,-0.4649
ENSG00000075151,EIF4G3,60,-1.1458,176,0.56259,143,0.29628,115,-0.2015
ENSG00000076864,RAP1GAP,18,-2.9435,29,-2.2890,234,1.58505,105,-0.5140
ENSG00000090686,USP48,55,-0.0519,63,0.16272,62,0.16871,53,-0.2041
