Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000228794,LINC01128,7,-2.0767,14,-1.0258,22,-0.3804,35,0.41604,15,-0.9006,55,1.17362,33,0.41575
ENSG00000188976,NOC2L,23,-1.1366,32,-0.6354,67,0.53629,49,0.03055,24,-1.0594,84,0.91861,52,0.15323
ENSG00000188290,HES4,62,-0.7081,62,-0.7006,41,-1.3270,58,-0.8017,116,0.29462,115,0.28025,139,0.87531
ENSG00000187608,ISG15,179,-0.2902,212,-0.0190,97,-1.2333,230,0.11316,239,0.17565,220,0.03936,252,0.35655
ENSG00000188157,AGRN,33,-0.7175,39,-0.4745,28,-0.9757,59,0.18961,34,-0.6912,126,1.52316,51,-0.0471
ENSG00000131591,C1orf159,13,-0.0368,13,0.02562,14,0.12303,12,-0.0839,13,-0.0356,10,-0.3791,14,0.15002
ENSG00000078808,SDF4,67,-0.2687,56,-0.5530,91,0.22356,81,0.04455,104,0.44897,66,-0.2878,82,0.08970
ENSG00000176022,B3GALT6,13,-1.3816,24,-0.4654,37,0.19210,34,0.04903,48,0.60518,39,0.26599,34,0.05145
ENSG00000160087,UBE2J2,27,-0.8978,40,-0.2678,40,-0.2649,60,0.36681,45,-0.1012,51,0.08771,56,0.34501
ENSG00000131584,ACAP3,77,-0.1772,83,-0.0691,87,0.00674,124,0.59305,58,-0.6244,80,-0.1311,90,0.08354
ENSG00000169972,PUSL1,5,-1.6600,9,-0.7531,14,-0.1740,14,-0.1009,33,1.29574,8,-0.8920,18,0.35985
ENSG00000127054,INTS11,40,-0.6266,43,-0.4979,50,-0.2644,69,0.24129,61,0.05829,51,-0.2278,73,0.47003
ENSG00000224051,CPTP,8,-1.9257,27,-0.1975,18,-0.8321,56,1.01374,29,-0.0568,48,0.75416,29,-0.0787
ENSG00000107404,DVL1,45,-0.4978,82,0.44841,47,-0.4332,65,0.07167,76,0.32263,58,-0.1097,62,-0.0014
ENSG00000175756,AURKAIP1,184,0.04331,185,0.04812,210,0.25760,140,-0.3910,224,0.36555,139,-0.4115,177,-0.0230
ENSG00000221978,CCNL2,46,-0.3314,47,-0.3044,32,-0.9179,64,0.18726,46,-0.3387,72,0.38689,69,0.41884
ENSG00000242485,MRPL20,141,-0.3924,137,-0.4431,223,0.34248,150,-0.2958,209,0.23804,157,-0.2299,204,0.26195
ENSG00000235098,ANKRD65,40,0.62310,20,-0.4962,43,0.75581,13,-1.1308,18,-0.6843,20,-0.4710,31,0.25674
ENSG00000179403,VWA1,163,3.07031,34,-0.0395,29,-0.3186,20,-0.8806,13,-1.4675,10,-1.9217,15,-1.5078
ENSG00000160072,ATAD3B,7,-0.8447,10,-0.3868,12,-0.1030,18,0.51676,15,0.26981,20,0.69619,11,-0.2755
ENSG00000197785,ATAD3A,25,0.03284,12,-1.0844,28,0.26420,49,1.21458,37,0.69457,25,0.06038,14,-1.0733
ENSG00000205090,TMEM240,21,-1.0320,28,-0.6286,42,0.02687,36,-0.2051,46,0.19510,50,0.31026,49,0.39956
ENSG00000160075,SSU72,98,-0.8257,145,-0.2173,180,0.13294,191,0.23013,255,0.71398,165,-0.0156,154,-0.1649
ENSG00000228594,FNDC10,12,-1.9940,40,-0.1572,23,-1.0036,46,0.09445,64,0.64430,55,0.37030,51,0.35349
ENSG00000272106,AL691432.2,19,-0.3138,15,-0.7024,32,0.51947,36,0.71285,14,-0.7440,21,-0.1567,24,0.07522
ENSG00000197530,MIB2,33,-0.4886,54,0.28613,65,0.59688,47,0.04750,41,-0.1650,33,-0.4925,45,-0.0175
ENSG00000215790,SLC35E2A,17,-1.6924,51,0.00875,54,0.07590,63,0.33482,68,0.45661,64,0.35182,48,-0.1243
ENSG00000008130,NADK,13,-1.1104,25,-0.1876,38,0.51405,43,0.72336,20,-0.4953,22,-0.3753,30,0.13529
ENSG00000078369,GNB1,223,-1.0935,457,0.03248,368,-0.3163,457,0.03156,629,0.56559,546,0.32591,450,0.01218
ENSG00000187730,GABRD,19,-3.0758,60,-1.4019,125,-0.2598,112,-0.4412,203,0.52398,128,-0.2321,227,1.07421
ENSG00000067606,PRKCZ,83,-1.4247,189,-0.1602,189,-0.1567,255,0.33107,211,0.01502,199,-0.0800,251,0.41693
ENSG00000162585,FAAP20,96,0.25741,73,-0.1896,46,-0.9023,67,-0.3210,119,0.61825,64,-0.4027,91,0.23345
ENSG00000157933,SKI,32,0.71487,22,0.12994,13,-0.7020,7,-1.6042,34,0.82920,32,0.73417,15,-0.6258
ENSG00000157916,RER1,71,0.02419,57,-0.3473,71,0.02113,60,-0.2563,87,0.35216,94,0.48334,64,-0.1943
ENSG00000157911,PEX10,36,-0.0490,29,-0.4072,29,-0.4266,29,-0.4241,91,1.54533,31,-0.3089,31,-0.3856
ENSG00000149527,PLCH2,18,0.17332,16,-0.0274,0,-8.0418,22,0.45694,21,0.42604,32,1.11889,13,-0.4867
ENSG00000157870,PRXL2B,26,-0.8429,40,-0.1426,45,0.02544,72,0.80905,18,-1.4068,44,0.00534,51,0.31889
ENSG00000177133,PRDM16-DT,12,-0.1567,35,1.73210,12,-0.1690,0,-5.1237,5,-1.4325,5,-1.4552,16,0.50035
ENSG00000158109,TPRG1L,60,-1.7036,145,-0.3441,208,0.23408,233,0.42579,144,-0.3606,228,0.38389,202,0.24763
ENSG00000116213,WRAP73,9,-0.9337,11,-0.5054,18,0.16824,31,1.13952,9,-0.9292,16,0.05812,16,0.05471
ENSG00000130764,LRRC47,50,-0.9849,55,-0.8472,115,0.33718,96,0.04177,85,-0.1624,85,-0.1526,119,0.55622
ENSG00000116198,CEP104,35,1.20008,15,-0.2145,12,-0.5738,25,0.63646,23,0.49428,11,-0.7412,11,-0.8245
ENSG00000198912,C1orf174,10,-0.3155,13,0.02617,10,-0.4243,15,0.30852,8,-0.6869,15,0.25587,14,0.26071
ENSG00000196581,AJAP1,10,-1.6641,11,-1.5261,32,0.05097,18,-0.8813,52,0.85447,48,0.73398,36,0.32913
ENSG00000069424,KCNAB2,49,-2.3722,227,-0.0254,161,-0.5700,303,0.44624,184,-0.3658,305,0.45902,283,0.46779
ENSG00000116254,CHD5,37,-1.6780,80,-0.5203,100,-0.1706,123,0.17162,119,0.10989,130,0.25685,137,0.47528
ENSG00000116251,RPL22,1234,1.70688,565,0.29248,505,0.10815,214,-1.2359,360,-0.4336,334,-0.5505,347,-0.6241
ENSG00000116237,ICMT,17,-1.3690,35,-0.3032,13,-1.7537,38,-0.1925,32,-0.4633,87,1.22046,54,0.52733
ENSG00000097021,ACOT7,72,-2.1682,163,-0.9509,206,-0.5902,459,0.72387,333,0.17902,423,0.58016,343,0.31206
ENSG00000215788,TNFRSF25,2,-3.3939,12,-0.7062,26,0.54697,12,-0.6167,28,0.68455,23,0.36127,21,0.30378
ENSG00000171680,PLEKHG5,11,-1.3464,14,-0.9946,35,0.46978,60,1.40441,16,-0.7933,26,-0.0603,26,-0.0635
ENSG00000162408,NOL9,18,-0.6070,20,-0.4466,30,0.16197,27,0.02855,21,-0.3843,25,-0.0865,33,0.48477
ENSG00000162413,KLHL21,25,-0.5648,23,-0.6703,50,0.56063,39,0.12248,22,-0.7849,40,0.19354,41,0.30050
ENSG00000116273,PHF13,7,-1.1873,7,-1.1420,21,0.48352,19,0.37684,23,0.64807,16,0.02814,15,-0.0275
ENSG00000041988,THAP3,19,-0.1716,17,-0.3173,15,-0.5299,17,-0.3560,23,0.10803,22,0.05593,26,0.45437
ENSG00000007923,DNAJC11,18,-0.8298,32,0.05386,34,0.15631,45,0.64153,27,-0.1728,29,-0.0611,30,-0.0401
ENSG00000171735,CAMTA1,101,-0.7035,127,-0.3576,229,0.61647,122,-0.4176,188,0.28577,167,0.08569,163,0.06929
ENSG00000049245,VAMP3,129,3.37766,30,0.31687,22,-0.1704,10,-1.4285,2,-3.5462,6,-2.1886,9,-1.8939
ENSG00000049246,PER3,28,0.53140,17,-0.3068,23,0.19477,13,-0.6628,17,-0.2395,12,-0.7743,24,0.37293
ENSG00000116288,PARK7,309,-0.1646,328,-0.0689,459,0.48502,369,0.12136,428,0.36939,271,-0.3751,306,-0.2385
ENSG00000116285,ERRFI1,22,0.07065,12,-0.8073,22,0.12425,27,0.40156,32,0.73606,18,-0.2286,18,-0.3132
ENSG00000162426,SLC45A1,15,-1.5067,28,-0.5510,37,-0.1252,38,-0.0809,45,0.18044,55,0.51184,48,0.38729
ENSG00000142599,RERE,57,-0.6553,68,-0.3942,71,-0.3141,78,-0.1667,119,0.52591,88,0.01582,100,0.31414
ENSG00000074800,ENO1,478,-0.5612,488,-0.5267,778,0.22124,977,0.60461,670,-0.0232,665,-0.0355,687,0.02331
ENSG00000171612,SLC25A33,26,-0.4140,29,-0.2520,38,0.15635,16,-1.1521,56,0.80341,28,-0.3372,39,0.26051
ENSG00000188807,TMEM201,8,-0.5052,13,0.20170,14,0.22941,12,-0.0247,7,-0.8797,13,0.13296,13,0.24436
ENSG00000171608,PIK3CD,6,-1.4415,14,-0.1770,16,-0.0253,19,0.29290,9,-0.8432,27,0.87050,18,0.18931
ENSG00000171603,CLSTN1,187,-2.0633,391,-0.9543,751,0.07302,914,0.39804,727,0.02060,1095,0.70633,799,0.23709
ENSG00000178585,CTNNBIP1,40,-0.1592,44,0.00169,36,-0.2986,24,-0.9231,33,-0.4315,34,-0.3932,61,0.78194
ENSG00000162441,LZIC,63,1.38340,27,-0.0478,12,-1.2911,14,-1.0374,13,-1.1449,18,-0.7026,35,0.50694
ENSG00000130939,UBE4B,38,-0.0094,20,-1.0329,48,0.35982,49,0.40357,38,-0.0321,46,0.27249,36,-0.1426
ENSG00000054523,KIF1B,255,0.03025,218,-0.2191,302,0.31193,232,-0.1200,213,-0.2592,286,0.22315,248,-0.0187
ENSG00000142657,PGD,31,-0.7858,34,-0.6527,53,0.03691,53,0.05444,36,-0.5584,77,0.67490,60,0.32785
ENSG00000241563,CORT,42,-1.6725,51,-1.3737,8,-4.0958,50,-1.4093,837,4.53362,37,-1.8644,32,-2.3808
ENSG00000160049,DFFA,54,0.63208,24,-0.6303,22,-0.7667,18,-1.0959,58,0.76763,43,0.24788,37,0.00814
ENSG00000142655,PEX14,20,-0.6719,18,-0.8097,23,-0.4528,49,0.78432,24,-0.3643,42,0.51493,33,0.16867
ENSG00000120948,TARDBP,51,-0.4073,48,-0.4946,80,0.30664,87,0.44142,68,0.04672,68,0.05003,64,-0.0581
ENSG00000116649,SRM,63,-0.8551,108,0.00056,87,-0.3446,184,0.89384,75,-0.5776,126,0.25657,110,0.03599
ENSG00000171824,EXOSC10,38,0.58047,16,-0.7807,36,0.48079,22,-0.3149,43,0.78485,19,-0.4999,22,-0.3881
ENSG00000198793,MTOR,16,-1.4406,35,-0.2950,27,-0.6635,52,0.36057,43,0.05313,46,0.16161,52,0.50233
ENSG00000116661,FBXO2,393,0.58666,378,0.51971,243,-0.2025,281,0.02879,289,0.07750,200,-0.5127,233,-0.3496
ENSG00000132879,FBXO44,53,-1.5832,92,-0.7296,158,0.12047,198,0.49865,133,-0.1526,180,0.33704,168,0.31010
ENSG00000116663,FBXO6,7,-1.2424,6,-1.3699,15,-0.0473,8,-1.0632,24,0.65718,17,0.09374,22,0.75109
ENSG00000116670,MAD2L2,34,1.12566,26,0.63765,12,-0.5784,12,-0.6002,11,-0.7241,16,-0.1391,16,-0.2417
ENSG00000177000,MTHFR,9,-0.7479,12,-0.3764,12,-0.2986,17,0.16181,12,-0.3618,22,0.59374,17,0.29741
ENSG00000011021,CLCN6,22,-1.3739,32,-0.8339,54,-0.0278,66,0.31038,74,0.49758,65,0.28006,60,0.19024
ENSG00000116685,KIAA2013,40,-0.0024,19,-1.1251,35,-0.2194,49,0.30761,49,0.31477,52,0.41880,39,-0.0466
ENSG00000083444,PLOD1,26,0.20678,22,-0.0525,27,0.26413,28,0.35066,27,0.28737,15,-0.6286,20,-0.2833
ENSG00000116688,MFN2,63,-0.6654,68,-0.5396,94,-0.0330,115,0.29444,137,0.59747,101,0.07834,95,-0.0195
ENSG00000116691,MIIP,24,0.20527,16,-0.4671,22,0.07691,17,-0.3756,34,0.77479,11,-0.9977,22,0.11735
ENSG00000048707,VPS13D,28,-0.8322,31,-0.6779,58,0.32150,64,0.47828,69,0.60408,66,0.53483,38,-0.4678
ENSG00000162496,DHRS3,54,1.30406,19,-0.4626,32,0.37350,5,-2.2356,16,-0.7384,17,-0.5910,28,0.22863
ENSG00000116731,PRDM2,42,-0.4670,44,-0.4011,119,1.25971,39,-0.6058,56,-0.0186,54,-0.0732,53,-0.1658
ENSG00000189337,KAZN,55,0.05513,29,-0.9481,43,-0.3185,27,-1.0490,51,-0.0560,56,0.10069,71,0.71408
ENSG00000142634,EFHD2,81,-0.8816,83,-0.8520,770,3.56699,122,-0.2545,84,-0.8428,16,-3.2513,43,-2.1422
ENSG00000116138,DNAJC16,9,-1.5777,16,-0.6619,32,0.36291,29,0.20808,20,-0.3328,36,0.56767,28,0.26506
ENSG00000197312,DDI2,11,-0.8146,15,-0.4148,24,0.38808,17,-0.1341,32,0.87090,16,-0.2788,19,-0.0504
ENSG00000116786,PLEKHM2,42,-0.9866,100,0.39138,57,-0.5062,93,0.27170,55,-0.5666,68,-0.2493,98,0.50353
ENSG00000065526,SPEN,45,0.84537,25,-0.1244,20,-0.5012,21,-0.4180,47,0.93449,10,-1.4780,25,-0.1458
ENSG00000116809,ZBTB17,22,0.35220,15,-0.2719,24,0.51797,13,-0.4380,25,0.59096,12,-0.6007,16,-0.2382
ENSG00000185519,FAM131C,7,-2.1472,21,-0.5258,3,-3.2024,9,-1.7767,55,1.06309,24,-0.3089,48,1.26234
