Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,24,0.35987,19,0.05861,9,-1.0839,22,0.41712,16,-0.2428,13,-0.5816,17,-0.1677
ENSG00000188976,NOC2L,64,0.94044,53,0.63278,29,-0.3067,41,0.34023,10,-1.9397,29,-0.3360,20,-0.9426
ENSG00000188290,HES4,61,-0.3586,85,0.14345,56,-0.5113,61,-0.5432,240,1.92764,56,-0.4959,63,-0.3439
ENSG00000187608,ISG15,80,-0.2020,69,-0.4230,92,0.01013,90,-0.0321,177,1.08302,60,-0.6482,83,-0.1600
ENSG00000188157,AGRN,17,0.03197,17,0.02549,14,-0.2681,20,0.48863,17,-0.0171,8,-1.0857,14,-0.3453
ENSG00000078808,SDF4,69,0.18703,64,0.07066,71,0.23688,63,0.07445,80,0.42005,42,-0.5751,46,-0.4581
ENSG00000176022,B3GALT6,40,0.30576,38,0.19763,26,-0.3626,37,0.26536,46,0.52328,23,-0.5825,20,-0.7880
ENSG00000160087,UBE2J2,50,0.42023,45,0.24278,41,0.09893,45,0.43523,23,-0.7586,27,-0.5432,24,-0.7744
ENSG00000131584,ACAP3,71,0.32381,39,-0.5930,67,0.23977,68,0.42642,56,-0.0457,36,-0.7296,42,-0.5339
ENSG00000127054,INTS11,49,0.22812,27,-0.6707,58,0.48650,56,0.75365,31,-0.5010,14,-1.6481,26,-0.8182
ENSG00000224051,CPTP,36,0.31985,19,-0.6672,22,-0.4548,38,0.70810,33,0.19640,16,-0.9062,18,-0.8063
ENSG00000107404,DVL1,32,-0.6261,44,-0.1797,60,0.32085,50,0.04877,45,-0.1256,45,-0.1410,56,0.23113
ENSG00000175756,AURKAIP1,116,-0.7101,155,-0.2595,201,0.14353,217,0.44556,126,-0.5791,135,-0.4725,191,0.07064
