Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,131,1.13522,64,-0.0798,113,0.87067,18,-1.9796,133,1.16415,55,-0.3276,47,-0.5793,20,-1.8581,25,-1.5072
ENSG00000188290,HES4,30,-1.4868,224,1.88022,88,0.17741,29,-1.5221,46,-0.8414,84,0.10427,69,-0.2112,73,-0.1134,65,-0.3044
ENSG00000187608,ISG15,30,-1.3361,138,1.13462,131,1.04130,33,-1.2074,40,-0.8976,91,0.40254,56,-0.3753,35,-1.0949,86,0.30352
ENSG00000078808,SDF4,30,-1.3731,187,1.66579,91,0.36310,95,0.42972,37,-1.0464,115,0.76967,18,-2.0947,41,-0.8987,41,-0.8855
ENSG00000160087,UBE2J2,30,-0.6199,26,-0.8113,58,0.44022,73,0.83745,50,0.20842,30,-0.6072,66,0.64576,17,-1.4877,49,0.15817
ENSG00000131584,ACAP3,36,-1.6095,60,-0.8409,75,-0.5018,146,0.57626,192,1.06407,170,0.84016,114,0.16692,46,-1.2330,87,-0.2757
ENSG00000127054,INTS11,30,-0.8816,72,0.51910,51,-0.0381,75,0.58233,53,0.01180,65,0.33633,54,0.05471,38,-0.4999,35,-0.6450
ENSG00000224051,CPTP,30,-0.4360,71,0.99150,48,0.31667,39,-0.0031,46,0.25547,41,0.05393,29,-0.4629,24,-0.7868,27,-0.6171
ENSG00000107404,DVL1,30,-1.4086,46,-0.7637,73,-0.0356,91,0.32373,114,0.70197,64,-0.2526,57,-0.4344,89,0.28255,109,0.62811
ENSG00000175756,AURKAIP1,30,-2.1232,55,-1.2183,175,0.62352,69,-0.8774,118,-0.0271,162,0.48990,187,0.73204,137,0.21436,151,0.36620
ENSG00000221978,CCNL2,30,-1.2165,136,1.25123,90,0.52987,51,-0.3976,122,1.05109,44,-0.6372,52,-0.3772,39,-0.8280,27,-1.3610
