Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000188976,NOC2L,90,0.40964,106,0.86282,44,-0.7253,54,-0.6845
ENSG00000188290,HES4,94,-0.1676,81,-0.4602,207,1.20348,93,-0.3211
ENSG00000187608,ISG15,125,0.41115,77,-0.4399,165,0.89926,84,-0.3906
ENSG00000188157,AGRN,45,-0.0409,48,0.06860,64,0.53471,41,-0.3035
ENSG00000078808,SDF4,121,0.30920,104,0.06836,83,-0.3146,98,-0.0716
ENSG00000176022,B3GALT6,40,-0.0379,49,0.35758,30,-0.4595,39,-0.0896
ENSG00000160087,UBE2J2,97,0.86176,89,0.85967,32,-0.9670,41,-0.9001
ENSG00000131584,ACAP3,230,0.60472,176,0.17593,118,-0.4941,147,-0.2552
ENSG00000127054,INTS11,91,0.32042,87,0.28852,92,0.33945,61,-0.5477
ENSG00000224051,CPTP,71,0.38902,63,0.22232,48,-0.2627,51,-0.2544
ENSG00000107404,DVL1,75,-0.5850,92,-0.3008,97,-0.1725,127,0.51073
ENSG00000175756,AURKAIP1,190,0.11040,148,-0.3401,148,-0.3012,197,0.31321
ENSG00000221978,CCNL2,43,-0.1727,66,0.61938,83,0.92617,32,-0.9868
ENSG00000242485,MRPL20,160,-0.0730,156,-0.1355,161,-0.0702,177,0.16098
ENSG00000179403,VWA1,43,-0.3342,21,-1.5798,121,1.48488,54,0.07078
ENSG00000205090,TMEM240,131,0.79178,91,0.20599,45,-0.9565,75,-0.2578
ENSG00000160075,SSU72,152,-0.3009,220,0.37008,143,-0.3949,182,-0.0173
ENSG00000228594,FNDC10,53,-0.0695,53,-0.0811,39,-0.5449,61,0.29761
ENSG00000197530,MIB2,46,-0.0560,49,0.02097,35,-0.4865,51,0.19607
