Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,21,-0.4974,40,0.50982,21,-0.5284,8,-1.8138,37,0.38704,32,0.14872,15,-1.0063,61,1.42034
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,39,-0.5459,97,0.96738,91,0.84740,31,-0.8407,54,0.01214,61,0.20208,58,0.13094,67,0.40761
ENSG00000188290,HES4,677,3.51560,3,-5.0680,67,-0.8250,78,-0.5344,53,-1.1262,78,-0.5301,79,-0.5172,96,-0.2097,21,-2.4897,52,-1.2147
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,53,-0.7001,53,-0.6452,24,-1.8583,24,-1.8016,75,-0.1244,47,-0.8395,16,-2.3725,80,-0.0391
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,19,-1.3318,32,-0.4546,38,-0.2214,29,-0.6058,26,-0.7889,52,0.26616,13,-1.8024,37,-0.2891
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,64,-0.3665,80,0.02153,44,-0.8982,135,0.86322,86,0.12098,81,0.02491,57,-0.5176,108,0.55566
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,28,-0.5164,60,0.70737,40,0.07309,66,0.87918,40,0.05983,54,0.53418,29,-0.4408,50,0.48754
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,44,-0.2809,93,0.93164,58,0.16030,46,-0.1816,37,-0.5129,38,-0.4648,36,-0.5479,79,0.75356
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,12,-0.4730,18,0.13552,31,1.05393,6,-1.5007,6,-1.4622,5,-1.8093,17,0.12743,17,0.09233
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,81,-0.5695,137,0.30117,161,0.56031,49,-1.2847,127,0.18279,120,0.09214,163,0.58273,143,0.41199
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,42,-0.6016,56,-0.1328,46,-0.4196,51,-0.2702,101,0.82626,56,-0.1115,36,-0.7988,96,0.82988
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,34,-0.2465,55,0.55060,40,0.01298,26,-0.6134,36,-0.1468,47,0.29824,26,-0.6020,55,0.61342
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,84,0.45209,59,-0.1433,85,0.43050,53,-0.3207,84,0.40661,51,-0.3668,79,0.29791,65,-0.0125
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,95,-0.2133,87,-0.3395,84,-0.3837,142,0.44264,145,0.47180,102,-0.0794,178,0.81168,107,-0.0164
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,40,-0.5482,74,0.46986,35,-0.6794,55,0.01231,47,-0.2310,51,-0.1045,23,-1.3045,61,0.16716
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,110,-0.2964,96,-0.4805,133,0.02421,147,0.17899,120,-0.1379,141,0.11339,187,0.56485,128,-0.0502
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,22,0.15944,12,-0.7685,9,-1.2159,31,0.68832,7,-1.5492,14,-0.5667,14,-0.4971,25,0.39089
ENSG00000179403,VWA1,139,1.48559,306,3.15592,22,-1.4984,35,-0.7449,33,-0.8427,74,0.43401,17,-1.7925,11,-2.3757,0,-9.1539,10,-2.6274
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,17,0.31751,18,0.36917,17,0.32162,8,-0.8210,2,-2.4502,15,0.14091,5,-1.4545,27,1.18954
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,10,-0.7929,21,0.39170,26,0.75402,16,0.00656,21,0.35869,25,0.64658,6,-1.4984,22,0.48696
