Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000228794,LINC01128,14,-0.9116,33,0.65830,22,-0.3863
ENSG00000188976,NOC2L,48,-0.8430,114,1.03321,58,-0.8052
ENSG00000188290,HES4,205,1.11941,71,-0.9217,117,0.26138
ENSG00000187608,ISG15,108,-0.1710,111,-0.1981,132,0.25975
ENSG00000188157,AGRN,45,0.24693,33,-0.3788,42,0.26376
ENSG00000078808,SDF4,66,-0.5646,99,0.13379,96,0.05937
ENSG00000176022,B3GALT6,31,-0.4716,53,0.63290,34,-0.4854
ENSG00000160087,UBE2J2,36,-1.0118,93,0.92797,52,-0.6470
ENSG00000162572,SCNN1D,18,-0.5578,27,0.19317,25,-0.0024
ENSG00000131584,ACAP3,192,-0.2960,278,0.51539,195,-0.4204
ENSG00000127054,INTS11,48,-0.9060,104,0.55917,76,-0.2844
ENSG00000224051,CPTP,61,-0.0478,76,0.52949,50,-0.5319
ENSG00000107404,DVL1,180,0.60585,108,-0.3531,128,0.06193
ENSG00000175756,AURKAIP1,161,-0.1705,162,-0.2459,200,0.30571
ENSG00000221978,CCNL2,97,0.65493,60,-0.1932,62,-0.1207
ENSG00000242485,MRPL20,164,-0.0721,169,-0.0341,175,0.06225
ENSG00000179403,VWA1,9,-2.1669,25,-1.0263,62,1.48244
ENSG00000160072,ATAD3B,30,0.32043,28,0.34620,20,-0.5032
ENSG00000205090,TMEM240,89,-0.5576,162,0.73034,100,-0.5621
ENSG00000160075,SSU72,171,-0.3940,229,0.12452,220,0.01661
ENSG00000228594,FNDC10,13,-2.3180,77,0.61381,59,-0.1133
ENSG00000272106,AL691432.2,10,-2.2272,50,0.38028,45,0.11315
ENSG00000197530,MIB2,80,0.66463,47,-0.3334,54,0.01075
ENSG00000189339,SLC35E2B,27,-0.3924,44,0.67520,27,-0.5576
ENSG00000008130,NADK,39,0.01323,36,-0.1546,41,0.14755
ENSG00000078369,GNB1,469,0.25388,396,-0.0421,392,-0.0668
ENSG00000187730,GABRD,86,-0.6713,172,0.78729,103,-0.5884
ENSG00000067606,PRKCZ,159,-0.2604,209,0.29279,173,-0.1998
ENSG00000162585,FAAP20,75,0.10475,54,-0.6160,85,0.54486
ENSG00000157933,SKI,58,-0.6101,94,0.24255,84,-0.0373
ENSG00000157916,RER1,90,0.21013,72,-0.2495,84,0.15680
ENSG00000157911,PEX10,54,0.40535,36,-0.4112,46,0.22001
ENSG00000149527,PLCH2,17,-1.1987,40,0.16441,40,0.18114
ENSG00000197921,HES5,16,-2.6923,53,-1.3337,165,1.83177
ENSG00000272449,AL139246.5,8,-1.7862,19,-0.8613,41,1.27438
ENSG00000157870,PRXL2B,100,-0.5151,153,0.27878,133,-0.1021
ENSG00000177133,PRDM16-DT,27,-0.9752,27,-1.3265,79,1.53325
ENSG00000158109,TPRG1L,88,-0.8610,190,0.66312,128,-0.4042
ENSG00000130764,LRRC47,50,-0.6137,92,0.62076,62,-0.4280
ENSG00000196581,AJAP1,55,-0.0806,70,0.55555,46,-0.5465
ENSG00000069424,KCNAB2,269,-0.3098,370,0.35080,296,-0.2426
ENSG00000116254,CHD5,372,-0.3039,537,0.50008,381,-0.4013
ENSG00000116251,RPL22,687,0.45003,425,-0.4982,580,0.27900
ENSG00000116237,ICMT,74,0.70382,48,0.00239,42,-0.3478
ENSG00000158292,GPR153,9,-1.8498,28,-0.2239,38,0.66961
ENSG00000097021,ACOT7,97,-0.8465,241,1.18107,108,-0.9672
ENSG00000215788,TNFRSF25,36,-0.1205,48,0.56040,31,-0.5354
ENSG00000171680,PLEKHG5,30,-1.2525,88,0.75655,58,-0.4125
ENSG00000162408,NOL9,37,-0.5176,51,-0.0487,56,0.22715
ENSG00000162413,KLHL21,95,1.21194,43,-0.1919,38,-0.4857
ENSG00000007923,DNAJC11,67,0.28725,59,0.12695,50,-0.2547
ENSG00000171735,CAMTA1,336,0.42669,263,0.03641,236,-0.2302
ENSG00000049245,VAMP3,37,-0.1287,24,-1.1082,56,1.06970
ENSG00000049246,PER3,18,-1.0010,31,-0.2824,42,0.57911
ENSG00000116288,PARK7,205,-0.2032,164,-0.7986,307,0.82937
ENSG00000162426,SLC45A1,28,-0.0579,32,0.22159,27,-0.2021
ENSG00000142599,RERE,148,0.00836,156,0.16325,138,-0.1687
ENSG00000074800,ENO1,426,-0.7406,577,-0.4051,848,0.63360
ENSG00000171612,SLC25A33,43,-0.0517,26,-1.1545,63,1.07753
ENSG00000188807,TMEM201,16,-1.0747,34,0.15609,34,0.16413
ENSG00000171603,CLSTN1,453,-0.6863,862,0.60031,597,-0.3853
ENSG00000178585,CTNNBIP1,29,-0.6332,42,-0.0667,48,0.27786
ENSG00000162441,LZIC,65,0.71915,38,-0.2691,41,-0.0826
ENSG00000130939,UBE4B,14,-1.6964,51,0.61259,38,-0.1872
ENSG00000054523,KIF1B,481,0.24327,400,-0.0924,413,-0.0117
ENSG00000142657,PGD,51,-0.3646,67,0.08670,66,0.04511
ENSG00000241563,CORT,19,-0.8618,31,-0.0802,37,0.35017
ENSG00000160049,DFFA,45,0.23179,31,-0.5350,46,0.41594
ENSG00000142655,PEX14,30,-0.2222,40,0.41440,30,-0.3404
ENSG00000120948,TARDBP,57,-0.4561,78,0.05966,79,0.10112
ENSG00000116649,SRM,144,0.02398,159,0.31552,124,-0.3334
ENSG00000171824,EXOSC10,17,-0.8092,22,-0.6094,38,0.84357
ENSG00000198793,MTOR,16,-1.2275,42,0.38668,36,-0.0370
ENSG00000116661,FBXO2,326,-0.4686,346,-0.5658,558,0.70688
ENSG00000132879,FBXO44,287,0.31084,303,0.71477,159,-0.9135
ENSG00000116670,MAD2L2,17,-1.5452,54,0.33998,49,0.06618
ENSG00000177000,MTHFR,15,-1.1269,34,0.21269,33,0.11836
ENSG00000011021,CLCN6,74,-0.6405,138,0.59852,95,-0.3967
ENSG00000116685,KIAA2013,64,0.60367,33,-0.6860,51,0.36962
ENSG00000083444,PLOD1,40,0.66651,20,-0.6074,29,0.26508
ENSG00000116688,MFN2,108,0.18682,98,0.04463,92,-0.1239
ENSG00000116691,MIIP,75,1.62782,25,-0.4288,23,-0.5801
ENSG00000048707,VPS13D,27,-1.0201,69,0.77005,43,-0.4775
ENSG00000162496,DHRS3,34,-0.0916,16,-1.6868,57,1.51682
ENSG00000116731,PRDM2,112,0.40310,114,0.78466,55,-1.0503
ENSG00000189337,KAZN,35,-0.0937,38,0.03474,37,0.00177
ENSG00000142634,EFHD2,113,0.12215,157,1.29753,51,-1.5264
ENSG00000116138,DNAJC16,23,-0.2844,26,-0.1310,30,0.23404
ENSG00000116786,PLEKHM2,61,-0.9910,116,0.04365,126,0.25788
ENSG00000065526,SPEN,80,0.53683,66,0.36378,44,-0.6399
ENSG00000037637,FBXO42,13,-1.0623,37,1.16496,17,-0.8904
ENSG00000055070,SZRD1,32,-0.5101,33,-0.6955,59,0.83909
ENSG00000058453,CROCC,7,-1.9834,31,0.42885,27,0.03729
ENSG00000159363,ATP13A2,30,-1.8257,117,0.43820,100,0.00792
ENSG00000117118,SDHB,52,-0.2840,59,-0.1348,68,0.23762
ENSG00000117115,PADI2,10,-2.5387,44,-0.6241,82,1.13480
ENSG00000179051,RCC2,44,0.55219,32,0.04019,28,-0.3006
ENSG00000074964,ARHGEF10L,25,0.02412,23,-0.2387,27,0.22483
ENSG00000117154,IGSF21,17,-2.5431,140,1.24452,69,-0.7366
ENSG00000159423,ALDH4A1,39,-1.2161,59,-0.8272,122,1.14064
ENSG00000127463,EMC1,21,-1.0220,40,-0.0795,47,0.38627
ENSG00000053372,MRTO4,34,-0.6540,56,0.24280,51,-0.0253
ENSG00000053371,AKR7A2,29,-0.8244,31,-1.0506,72,1.24981
ENSG00000077549,CAPZB,312,-0.1910,389,0.27614,324,-0.2076
ENSG00000173436,MICOS10,218,-0.4320,279,-0.0627,310,0.21493
ENSG00000158747,NBL1,392,0.07422,412,0.26132,332,-0.2979
ENSG00000162545,CAMK2N1,965,-0.1777,1111,0.08190,1071,-0.0143
ENSG00000090432,MUL1,43,0.45704,28,-0.3508,34,0.13731
ENSG00000158828,PINK1,272,-0.5379,381,-0.0046,409,0.18961
ENSG00000244038,DDOST,1,-4.7028,30,0.47975,26,0.13643
ENSG00000189410,SH2D5,34,-0.1014,54,1.33590,18,-1.4472
ENSG00000127483,HP1BP3,164,0.00598,155,-0.1397,172,0.13589
ENSG00000075151,EIF4G3,115,0.10754,121,0.30896,93,-0.3625
ENSG00000117298,ECE1,86,1.39215,27,-0.8329,38,-0.0081
ENSG00000076864,RAP1GAP,104,-0.8094,246,1.08578,119,-0.8726
ENSG00000090686,USP48,1,-4.2535,32,0.08055,37,0.52550
ENSG00000070831,CDC42,257,0.15372,252,0.19813,210,-0.2668
ENSG00000004487,KDM1A,92,0.61238,77,0.56060,42,-0.9121
ENSG00000169641,LUZP1,32,-0.8972,73,0.73839,47,-0.4742
ENSG00000125944,HNRNPR,112,0.21593,89,-0.2211,103,0.12680
ENSG00000125945,ZNF436,31,0.37318,33,0.84277,15,-1.1029
ENSG00000117318,ID3,330,3.49965,14,-2.7790,43,-0.8331
ENSG00000142676,RPL11,758,0.62311,346,-0.9356,638,0.57446
ENSG00000057757,PITHD1,116,-0.4016,180,0.53945,126,-0.4092
ENSG00000011009,LYPLA2,53,-0.3796,82,0.55997,56,-0.4385
ENSG00000117308,GALE,8,-1.6647,32,0.76221,21,-0.3455
ENSG00000117305,HMGCL,19,-0.5316,18,-0.8820,37,1.01423
ENSG00000189266,PNRC2,80,0.20816,65,-0.1998,74,0.10956
ENSG00000188529,SRSF10,59,0.11269,59,0.17166,51,-0.2213
ENSG00000001461,NIPAL3,41,-0.5933,74,0.57486,51,-0.3857
ENSG00000133226,SRRM1,85,0.76088,51,-0.1708,50,-0.2044
ENSG00000169504,CLIC4,106,1.70851,16,-1.8457,48,0.48314
ENSG00000117614,SYF2,52,0.07690,44,-0.3217,55,0.28291
ENSG00000117616,RSRP1,101,0.59122,74,0.09736,61,-0.3821
ENSG00000183726,TMEM50A,106,-0.1144,89,-0.5800,140,0.59913
ENSG00000204178,MACO1,40,0.30981,36,0.26718,27,-0.4130
ENSG00000117643,MAN1C1,60,0.73358,47,0.57488,24,-1.0107
ENSG00000162430,SELENON,47,-1.0938,94,-0.0317,108,0.35462
ENSG00000117640,MTFR1L,72,-0.4772,100,0.07559,101,0.09169
ENSG00000117632,STMN1,670,-0.5552,1356,1.11713,614,-0.9895
ENSG00000158008,EXTL1,34,-1.2997,97,0.62266,70,-0.2645
ENSG00000142684,ZNF593,23,-0.4945,39,0.56446,27,-0.4053
ENSG00000142669,SH3BGRL3,273,0.07387,287,0.26032,231,-0.2967
ENSG00000158062,UBXN11,29,0.16720,28,0.13289,24,-0.2053
ENSG00000117682,DHDDS,3,-3.1477,33,0.79263,23,-0.2315
ENSG00000198830,HMGN2,159,0.72559,69,-0.9078,123,0.49401
ENSG00000117713,ARID1A,51,-0.5016,71,0.03783,74,0.13669
ENSG00000204160,ZDHHC18,55,0.24704,63,0.85578,30,-1.0453
ENSG00000142751,GPN2,32,0.32190,26,-0.0117,25,-0.1293
ENSG00000090273,NUDC,137,-0.5976,223,0.29898,192,-0.0983
ENSG00000253368,TRNP1,74,1.09919,35,-0.2464,33,-0.3476
ENSG00000090020,SLC9A1,62,0.57778,57,0.80480,25,-1.1881
ENSG00000142784,WDTC1,106,0.59912,63,-0.3645,76,0.07637
ENSG00000186501,TMEM222,119,-0.1657,155,0.45467,111,-0.4042
ENSG00000158195,WASF2,117,1.55964,27,-1.2666,52,0.21340
ENSG00000126705,AHDC1,62,-0.3687,102,0.76753,59,-0.6664
ENSG00000126709,IFI6,435,0.62711,363,0.55608,200,-0.9163
ENSG00000117758,STX12,117,0.40426,86,-0.1444,90,-0.0366
ENSG00000117751,PPP1R8,41,-0.4496,58,0.21876,53,-0.0610
ENSG00000117748,RPA2,13,-1.9127,61,0.77882,41,-0.3273
ENSG00000126698,DNAJC8,140,0.32378,115,-0.0063,109,-0.1357
ENSG00000130770,ATP5IF1,256,0.00427,285,0.30173,225,-0.3107
ENSG00000198492,YTHDF2,70,-0.3553,110,0.65598,70,-0.5499
ENSG00000116350,SRSF4,63,0.25077,56,0.10743,50,-0.2173
ENSG00000116353,MECR,41,0.23295,42,0.43223,28,-0.5533
ENSG00000060656,PTPRU,4,-2.5907,38,1.10779,20,-0.5917
ENSG00000162512,SDC3,170,-0.4656,237,0.10119,233,0.06252
ENSG00000134644,PUM1,180,0.08369,212,0.61365,128,-0.6825
ENSG00000121766,ZCCHC17,90,-0.6540,167,0.56780,118,-0.3604
ENSG00000121769,FABP3,77,-0.7415,179,1.20861,77,-1.0302
ENSG00000162517,PEF1,102,-0.0968,125,0.38547,94,-0.3578
ENSG00000084636,COL16A1,41,-0.3649,50,-0.0921,57,0.22260
ENSG00000121753,ADGRB2,221,-0.6745,422,0.63148,285,-0.4215
ENSG00000184007,PTP4A2,283,0.50134,195,-0.1784,205,-0.0523
ENSG00000121774,KHDRBS1,111,-0.1985,148,0.46426,106,-0.4019
ENSG00000121775,TMEM39B,20,-0.4993,37,0.86771,20,-0.7306
ENSG00000025800,KPNA6,24,-0.6566,47,0.78590,28,-0.5914
ENSG00000084652,TXLNA,27,-0.1095,31,0.14088,28,-0.0994
ENSG00000160050,CCDC28B,19,-0.5459,22,-0.5085,35,0.67690
ENSG00000084623,EIF3I,115,-0.0551,122,0.05653,118,-0.0349
ENSG00000175130,MARCKSL1,285,-0.0206,190,-0.9448,388,0.88714
ENSG00000160058,BSDC1,57,-0.4049,79,0.20058,71,-0.0567
ENSG00000176261,ZBTB8OS,30,-0.5003,41,-0.0186,44,0.19230
ENSG00000162521,RBBP4,81,-0.2333,86,-0.2182,105,0.30119
ENSG00000162522,KIAA1522,29,-0.2063,25,-0.6046,41,0.65531
ENSG00000134684,YARS,110,0.15893,113,0.35328,83,-0.4329
ENSG00000160097,FNDC5,1,-3.8558,31,0.55426,25,0.03980
ENSG00000121905,HPCA,187,-1.2796,598,1.06136,311,-0.7283
ENSG00000121900,TMEM54,28,-0.9602,48,-0.1910,62,0.48136
ENSG00000004455,AK2,40,0.49392,19,-1.0421,38,0.73165
ENSG00000160094,ZNF362,72,1.07659,32,-0.4286,36,-0.1521
ENSG00000134686,PHC2,118,0.70306,76,-0.0343,68,-0.3092
ENSG00000163866,SMIM12,51,0.06022,52,0.18329,45,-0.2109
ENSG00000116544,DLGAP3,124,-0.3482,152,-0.0414,164,0.16726
ENSG00000116560,SFPQ,129,-0.3051,165,0.13628,155,-0.0245
ENSG00000146463,ZMYM4,101,1.28036,41,-0.3416,41,-0.3837
ENSG00000142687,KIAA0319L,57,-0.1301,68,0.25558,57,-0.2092
ENSG00000020129,NCDN,228,-1.1568,668,1.03787,349,-0.7303
ENSG00000126067,PSMB2,66,-0.9662,152,0.60153,108,-0.3139
ENSG00000142686,C1orf216,53,-1.0629,149,1.06467,75,-0.7814
ENSG00000092847,AGO1,8,-2.3685,41,0.14929,44,0.35797
ENSG00000054116,TRAPPC3,91,0.33361,75,0.02092,70,-0.1681
ENSG00000116871,MAP7D1,131,-0.6211,230,0.48633,173,-0.2848
ENSG00000054118,THRAP3,73,0.03598,77,0.17208,67,-0.1891
