Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,16,-0.4349,19,-0.1908,25,0.23737,35,0.83214,18,-0.2709,23,0.11351,19,-0.1789,16,-0.4527
ENSG00000188976,NOC2L,30,-1.0778,38,-0.7134,80,0.47570,95,0.77172,78,0.44171,50,-0.3104,54,-0.1678,56,-0.1219
ENSG00000188290,HES4,93,0.42746,78,0.13313,90,0.37404,84,0.25768,91,0.39078,48,-0.6580,64,-0.2058,29,-1.4312
ENSG00000187608,ISG15,71,0.13495,54,-0.3310,66,-0.0031,84,0.40160,85,0.42537,60,-0.1498,61,-0.1147,46,-0.5787
ENSG00000188157,AGRN,39,-0.0893,35,-0.2856,38,-0.1419,39,-0.1118,62,0.65892,36,-0.2237,52,0.35259,33,-0.3946
ENSG00000078808,SDF4,106,0.28120,63,-0.5680,90,0.00592,81,-0.1673,82,-0.1472,80,-0.1840,106,0.27249,110,0.33590
ENSG00000176022,B3GALT6,18,-1.1374,39,0.12315,49,0.48291,31,-0.2353,31,-0.2812,26,-0.5618,51,0.57840,47,0.42037
ENSG00000160087,UBE2J2,35,-0.4463,46,0.00440,47,0.01505,59,0.41046,49,0.11620,45,-0.0518,50,0.12751,38,-0.3016
ENSG00000131584,ACAP3,79,-0.4762,80,-0.4375,82,-0.4041,143,0.51312,137,0.43211,62,-0.8434,121,0.22380,141,0.48213
ENSG00000127054,INTS11,59,0.01081,49,-0.3176,82,0.54110,62,0.08150,63,0.10135,62,0.07370,38,-0.6865,58,-0.0289
ENSG00000224051,CPTP,43,0.12151,30,-0.4719,30,-0.4476,52,0.44934,65,0.84572,33,-0.3178,21,-1.0367,45,0.21066
ENSG00000107404,DVL1,51,-0.4582,79,0.26004,44,-0.7003,56,-0.3036,73,0.12350,69,0.02298,123,1.02701,48,-0.5608
ENSG00000175756,AURKAIP1,175,0.00557,149,-0.2533,208,0.29162,157,-0.1710,194,0.17718,171,-0.0304,173,-0.0164,168,-0.0590
ENSG00000221978,CCNL2,49,-0.0811,30,-0.8655,69,0.48083,41,-0.3627,66,0.41497,53,0.03931,45,-0.2177,60,0.24392
ENSG00000242485,MRPL20,202,0.08863,201,0.08031,183,-0.0720,228,0.29681,214,0.19013,204,0.10699,152,-0.3663,145,-0.4489
ENSG00000235098,ANKRD65,21,-0.4052,29,0.15856,41,0.70978,25,-0.1046,25,-0.1325,28,0.09708,19,-0.5772,26,-0.0238
ENSG00000179403,VWA1,63,1.33330,5,-2.5016,36,0.32303,15,-1.0847,13,-1.2417,76,1.71845,22,-0.4375,5,-2.5495
ENSG00000197785,ATAD3A,11,-1.1458,17,-0.4903,29,0.40576,32,0.59669,47,1.28405,15,-0.6020,14,-0.7755,16,-0.5462
ENSG00000205090,TMEM240,24,-0.8018,34,-0.2512,36,-0.1894,32,-0.3738,54,0.51146,28,-0.5620,54,0.48615,59,0.64226
ENSG00000160075,SSU72,137,-0.5209,176,-0.1232,211,0.17882,172,-0.1604,213,0.19793,185,-0.0409,230,0.32453,192,0.01972
ENSG00000228594,FNDC10,30,-0.4108,48,0.31616,31,-0.3614,45,0.23782,40,0.02898,43,0.15094,44,0.17472,33,-0.2878
ENSG00000272106,AL691432.2,28,0.01178,12,-1.2388,22,-0.3309,23,-0.2793,19,-0.5807,37,0.50285,36,0.46032,42,0.71470
