Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,13,-0.3505,6,-1.5824,33,1.12973,24,0.68691,18,0.14158,25,0.63706,12,-0.4625,9,-0.8380,2,-3.2106
ENSG00000188976,NOC2L,25,-1.0670,37,-0.4414,85,0.89615,72,0.72458,35,-0.5436,59,0.28375,20,-1.3701,48,-0.0449,40,-0.3169
ENSG00000188290,HES4,138,0.15680,74,-0.8140,84,-0.6295,80,-0.7663,87,-0.5754,96,-0.4125,99,-0.3633,343,1.76322,169,0.49483
ENSG00000187608,ISG15,68,-0.1467,85,0.20940,64,-0.2441,74,-0.0319,74,-0.0206,47,-0.7222,45,-0.8042,145,1.10011,74,-0.0213
ENSG00000188157,AGRN,45,-0.2196,30,-0.8630,70,0.47662,46,-0.2111,24,-1.2016,27,-0.9907,36,-0.5887,146,1.79355,51,-0.0339
ENSG00000078808,SDF4,60,-0.4093,70,-0.1656,92,0.27195,73,-0.1172,75,-0.0657,54,-0.5775,66,-0.2745,145,1.03771,72,-0.1343
ENSG00000176022,B3GALT6,28,-0.2854,20,-0.7776,38,0.16094,45,0.53553,68,1.16243,37,0.15824,23,-0.6226,16,-1.1821,19,-0.9155
ENSG00000160087,UBE2J2,36,-0.4154,28,-0.7861,63,0.48483,61,0.48304,47,-0.0013,41,-0.2223,38,-0.3364,39,-0.2843,55,0.26362
ENSG00000162572,SCNN1D,12,-0.4765,16,-0.0040,9,-0.9192,30,1.25582,15,-0.1093,13,-0.2681,12,-0.4523,23,0.56038,0,-5.0992
ENSG00000131584,ACAP3,103,0.20357,78,-0.2402,115,0.37005,130,0.66614,77,-0.2664,127,0.53795,67,-0.4794,53,-0.8361,32,-1.6106
ENSG00000127054,INTS11,46,-0.1736,46,-0.1677,64,0.36108,44,-0.2730,74,0.59942,34,-0.6261,49,-0.0775,66,0.42218,45,-0.2054
ENSG00000224051,CPTP,29,-0.2492,25,-0.4998,39,0.17870,30,-0.2431,37,0.12167,32,-0.1292,39,0.18313,24,-0.5492,60,0.91177
ENSG00000107404,DVL1,85,0.31720,78,0.18380,54,-0.4053,69,-0.0188,63,-0.1700,57,-0.3150,93,0.46990,90,0.41122,40,-0.8771
ENSG00000175756,AURKAIP1,148,0.03923,105,-0.5087,135,-0.1080,136,-0.1166,131,-0.1627,187,0.41953,207,0.58570,103,-0.5297,160,0.15645
ENSG00000221978,CCNL2,51,-0.0122,24,-1.1341,80,0.74699,39,-0.4757,57,0.17811,39,-0.4050,43,-0.2730,85,0.84846,53,0.04774
ENSG00000242485,MRPL20,155,0.01402,101,-0.6578,139,-0.1589,139,-0.1706,189,0.33505,188,0.33269,263,0.89713,145,-0.0852,75,-1.1047
ENSG00000179403,VWA1,71,1.24881,55,0.79601,10,-1.8230,12,-1.6871,10,-1.8248,9,-1.9202,46,0.49200,45,0.46962,68,1.16518
ENSG00000197785,ATAD3A,15,-0.2134,13,-0.5183,29,0.81499,16,-0.1387,17,-0.0549,17,-0.0204,13,-0.4735,11,-0.7556,29,0.78603
ENSG00000205090,TMEM240,22,-0.8147,19,-0.9952,38,0.04369,60,0.91502,56,0.65541,30,-0.3355,35,-0.0795,11,-1.8709,41,0.15594
ENSG00000160075,SSU72,154,-0.0480,107,-0.6224,183,0.22669,190,0.33459,172,0.13091,152,-0.0710,174,0.14918,152,-0.0691,113,-0.5331
ENSG00000228594,FNDC10,15,-1.5037,24,-0.7669,23,-0.8770,84,1.50082,57,0.55901,49,0.33353,38,-0.0902,28,-0.5569,0,-6.3264
ENSG00000272106,AL691432.2,18,-0.2496,12,-0.8239,24,0.19261,23,0.11701,23,0.14190,29,0.48079,24,0.18362,25,0.24805,12,-0.8667
ENSG00000197530,MIB2,46,0.05857,28,-0.7092,44,-0.0126,33,-0.5032,63,0.55761,29,-0.6520,39,-0.2063,72,0.77315,58,0.42089
ENSG00000189339,SLC35E2B,16,0.15971,11,-0.4099,18,0.35964,18,0.44379,9,-0.7099,14,-0.0097,25,0.97344,6,-1.2590,6,-1.1584
ENSG00000215790,SLC35E2A,28,-0.1498,20,-0.6348,36,0.26123,18,-0.8473,73,1.47745,31,0.02206,40,0.44656,16,-0.9795,24,-0.3507
ENSG00000008130,NADK,30,-0.2664,21,-0.7810,45,0.37063,33,-0.1491,36,-0.0063,25,-0.5647,47,0.43691,46,0.42479,41,0.22741
ENSG00000078369,GNB1,412,-0.0024,357,-0.2302,534,0.41642,390,-0.1006,627,0.68654,380,-0.1345,519,0.36965,239,-0.8519,282,-0.6004
ENSG00000187730,GABRD,45,-1.1268,29,-1.7718,178,1.08454,101,0.15795,146,0.73983,163,0.93533,128,0.52532,23,-2.1018,15,-2.7344
ENSG00000067606,PRKCZ,153,-0.2602,127,-0.5552,243,0.48645,285,0.88136,197,0.14498,209,0.23648,167,-0.1187,78,-1.2922,60,-1.6853
ENSG00000162585,FAAP20,84,0.61545,71,0.32563,36,-0.7313,45,-0.4246,92,0.75353,35,-0.7605,72,0.34210,82,0.56301,16,-1.9061
ENSG00000157933,SKI,36,0.04428,28,-0.3753,18,-1.0035,51,0.68874,31,-0.1856,41,0.23755,17,-1.0709,36,0.03379,43,0.31422
ENSG00000157916,RER1,66,0.19735,57,-0.0442,96,0.82072,43,-0.5388,56,-0.0689,44,-0.4502,63,0.11488,76,0.41929,41,-0.5376
ENSG00000157911,PEX10,53,0.72043,29,-0.2644,32,-0.0717,31,-0.1670,42,0.35638,14,-1.3069,35,0.06026,18,-0.9768,54,0.75692
