Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,39,-0.3080,7,-2.8674,20,-1.3315,83,0.94141,36,-0.4299,38,-0.3610,61,0.39913,63,0.47250,81,0.88580
ENSG00000188290,HES4,67,0.85023,36,-0.1920,60,0.64414,29,-0.5303,23,-0.8860,40,-0.0165,19,-1.1756,60,0.65780,30,-0.4489
ENSG00000187608,ISG15,303,1.60282,98,-0.3470,33,-2.0134,31,-2.0789,106,-0.2255,48,-1.4493,182,0.66596,94,-0.4175,204,0.86198
ENSG00000078808,SDF4,82,0.15370,42,-0.8875,81,0.14640,126,0.89076,45,-0.7756,60,-0.3371,51,-0.5913,92,0.34602,89,0.29708
ENSG00000176022,B3GALT6,18,-0.8854,20,-0.7943,31,-0.1003,32,-0.0495,23,-0.5713,22,-0.5925,60,1.00840,40,0.32331,49,0.68022
ENSG00000160087,UBE2J2,16,-1.5041,20,-1.1994,46,0.12962,39,-0.1634,63,0.64649,43,0.01886,77,0.99664,38,-0.2112,43,0.01772
ENSG00000131584,ACAP3,79,-0.0956,49,-0.8385,120,0.58745,167,1.17223,55,-0.6704,58,-0.5902,42,-1.0651,90,0.11449,96,0.21854
ENSG00000127054,INTS11,64,0.20875,26,-1.2204,85,0.68200,45,-0.3661,29,-1.0067,55,-0.0512,52,-0.1287,70,0.35624,82,0.61471
ENSG00000224051,CPTP,21,-0.3726,23,-0.2318,15,-0.8665,17,-0.6959,15,-0.8655,34,0.40092,29,0.11681,65,1.55173,21,-0.3998
ENSG00000107404,DVL1,51,0.05201,27,-0.9050,62,0.38955,66,0.48992,46,-0.1049,25,-1.0659,43,-0.2056,49,0.00862,72,0.63645
